snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Eccles,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,N. Ireland,Neilston,Pelham,Penwortham,Peterhead,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-02-27 10:00:00,5562.471704,1219.269145,1306.924638,5525.029828,731.798493,387.939377,319.68081800000004,579.176696,842.086728,3051.111113,3434.1315419999996,784.865451,1469.021015,6575.621858,824.957992,6324.9906480455575,342.439277,6594.562823,8911.713512642385,2067.249954,2740.904498,1915.01297,12696.796269,364.322494,1408.131687,579.207279,1296.893313,4724.1080440000005,10544.094993
2050-02-27 11:00:00,5597.152548999999,1249.4220930000001,1395.3855640000002,4805.295883,874.048672,515.878289,307.382388,607.846641,885.4852530000001,3406.513614,3390.5777139638926,841.189357,1575.490499,5492.358413,876.2580360000001,6528.385771045558,456.60226000000006,6573.07453,8559.978381830912,2175.311905,2971.636372,1993.3845629999998,13116.942152,425.28229,1670.8918290000001,828.44806,1694.476895,5198.433793,11614.263057
2050-02-27 12:00:00,5260.048125,1274.453025,1298.783163,5040.334736999999,985.261891,608.680224,317.66219,585.250283,997.25443,3490.057746,1406.831598417592,868.369585,1670.922996,5718.379303000001,1039.33265,6645.894071045557,391.049814,6585.399507,7903.712256483763,2231.200094,3484.854743,2039.104404,13556.666387,469.353526,1627.564034,691.7718910000001,1600.705903,5324.210056,12381.626157
2050-02-27 13:00:00,5930.581844,1266.206788,1380.790188,6233.279565,1133.697008,729.387989,266.009506,538.81767,1023.5196380000001,3412.401439,553.878869,540.0959240000001,1604.498256,5633.787497,1026.631159,6754.696608045557,371.187817,6650.2957320000005,7868.33796174762,2161.149712,3516.0883289999997,2070.464892,13852.720396,512.60442,951.163884,659.003033,1569.828013,5341.8723039999995,12196.991837000001
2050-02-27 14:00:00,7197.8320779999995,498.10934317065664,1389.372587,6682.000496,1150.635768,754.483341,257.672004,464.958802,1005.1188370000001,3410.0387490000003,530.777682,509.3823,564.18988,6625.309822,925.51188,6597.620427045557,351.990191,6591.891214,7852.949470114241,2121.169476,3119.092712,2093.922624,13996.080761,435.794709,1146.265387,677.732739,1631.720246,5357.468664,12439.252821999999
2050-02-27 15:00:00,8088.739211,170.51382874845822,1356.060066,5113.884684,1051.790778,782.778882,250.973142,396.580778,931.250456,3404.212297,530.167715,481.165439,655.4943779999999,8065.488471000001,773.444532,6576.642923045557,363.484074,6548.585537,7846.587670743863,2029.49535,2989.273827,2090.025211,14062.364728999999,391.052713,805.024197,613.422178,1573.0869790000002,5358.912279,12844.74023
2050-02-27 16:00:00,7816.978718,1220.704872,1375.186251,4876.864197999999,1020.530678,805.018416,250.111606,330.85220200000003,860.517279,3217.0900309999997,989.7404983362654,695.971467,1656.66274,5283.549989,660.7745140000001,6664.578250045557,186.272743,6533.409885,8036.258024349046,1940.8627009999998,3016.413765,2057.424408,14141.5163,447.515024,1254.773736,646.680051,1592.191983,5329.179732,11706.326787
2050-02-27 17:00:00,7449.4919660000005,1186.499937,1383.564722,4913.485468999999,1060.627528,789.277957,326.668665,281.530048,770.5260860000001,3094.386752,3351.4498029999995,628.328794,1501.617556,4820.207651000001,675.9430060000001,6841.374004045557,120.704824,6513.396504,8785.26540008339,1886.907467,2705.681529,1864.944898,14150.027087,510.094223,1094.710952,684.989834,1690.651724,5276.784893,10608.453031
2050-02-27 18:00:00,6743.352197,1175.134052,1389.011169,4961.161658999999,1100.151515,730.562238,380.899792,262.87935600000003,686.5301870000001,3038.574318,3305.564254,595.3764610000001,1418.693048,4607.475718000001,778.438384,7003.888467045557,91.9517,6506.384963,8962.697648345944,1878.8434089999998,2340.219113,1817.593697,13873.702701,555.9613039999999,1090.669893,696.682983,1665.1276579999999,5171.726557000001,10516.379047999999
2050-02-27 19:00:00,6853.071637999999,1175.254248,1418.364782,6699.042909,1128.991066,639.399116,339.573529,273.669779,629.269954,3125.349577,3318.8591239999996,594.85341,1428.332527,4687.777132,864.7613180000001,7114.984127,97.414354,6525.979888,9041.535708498628,1877.3439759999999,2361.150047,1872.570919,13525.706672999999,561.638318,1100.039739,711.9758370000001,1624.176794,5162.950407,11375.121009999999
