snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,Neilston,Pelham,Penwortham,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole
2050-02-27 10:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,122.278626,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 11:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,117.8764040989168,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 12:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,57.725567622527755,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 13:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,31.440516,78.1557144,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 14:00:00,14.0816556,22.8845090451197,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,31.440516,78.1557144,18.144852,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,30.660969599999998,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 15:00:00,14.0816556,14.533628452453748,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,31.440516,78.1557144,18.144852,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,30.660969599999998,5.057327999999999,52.3716612,5.55,33.2523132,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 16:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,48.86810653008796,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 17:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,122.278626,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 18:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,122.278626,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
2050-02-27 19:00:00,14.0816556,46.58214,54.1632936,83.21040839999999,7.437564,0.7618848,35.5677936,6.8862552,19.171821599999998,122.278626,87.7151544,49.025591999999996,156.0047208,10.7328,10.926599999999999,17.109372,70.5762168,51.8651196,5.057327999999999,52.3716612,5.55,50.1922032,17.366658,114.56954400000001,14.18325,18.495528
