snapshot,Bramford,Bramley,Daines,Deeside,Denny/Bonnybridge,Eccles,Errochty,Feckenham,Harker,Keadby,Kemsley,London,Lovedean,Melksham,N. Ireland,Neilston,Pelham,Penwortham,Peterhead,Ratcliffe,S.W.Penisula,Sellindge,Stella West,Strathaven,Sundon/East Claydon,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Torness,Walpole,Average
2050-02-27 14:00:00,1.9563745649249364,45.94274200811219,38.983994723079995,12.4529186206753,6.4638734574779875,0.0,2.95680084825979,76.49665614890328,6.851185100215169,5.622171186653573,59.234811609882264,153.43233245442568,32.16089590263476,23.546781205909923,0.0,1.6267683354445708,31.04234231345384,2.595517954492748,0.0,33.27231397516112,9.830092411821838,2.415241108737359,3.7418804659896887,12.735354251398219,29.009262232917802,25.62464080697155,70.21396240002284,2.6473789936104795,1.4868680832090575,23.873902109116756
2050-02-27 15:00:00,1.7408962302617126,85.23430949341791,39.94166258414102,16.271467493262698,7.071334105194065,0.0,3.0357224439577686,89.68612593724853,7.39463283548717,5.631793768236893,59.30296227109943,162.43002523712016,27.681171050409837,19.342253275908252,0.0,1.631957234958072,30.060739332419825,2.61268206749851,0.0,34.77525425224552,10.256995971082041,2.419744974071511,3.7242428431682586,14.192460032875415,41.305979775412894,28.311102243844857,72.83102938963428,2.646665827238856,1.4399300934714192,26.58528071598851
2050-02-27 16:00:00,1.8014192065758672,38.16003447555668,39.38615119269397,17.06227711530794,7.287937697841555,0.0,3.0461793124466205,107.50357224462421,8.00246011097239,5.959367445504978,49.3746659980412,126.03268748659778,29.59298281797537,29.526496602623514,0.0,1.6104244855894119,58.659145852595294,2.6187507444284583,0.0,36.36332274489931,17.194298806682447,2.45808690726877,3.7033978598179034,12.401818268340417,40.00099919209657,26.8551008696571,71.95711649303036,2.661432098984047,1.5799599939871385,25.54483055255653
2050-02-27 17:00:00,1.89028401725509,39.260128506858905,39.14763996129124,16.935108269880587,7.0124184067000765,0.0,2.332286140759782,126.33746860299615,8.937082501318455,6.1956772493317604,36.485292392129566,139.60072375737724,32.64852079286692,32.36473033846068,0.0,1.5688076684089043,90.5233083310738,2.6267972461822047,0.0,37.403114903249254,19.168966873632378,2.711784141946268,3.7011703849044366,10.880342787179536,45.84973148236121,25.353161664586107,67.76649641886858,2.6878582863620246,1.7434707912598006,27.62525420404279
2050-02-27 18:00:00,2.0882278114236246,39.63985208387102,38.994138282555454,16.77236383721718,6.7604906220576355,0.0,2.0002237228840496,135.30082445880612,10.030520624433954,6.3094792470368,36.991755901290674,147.32721252142346,34.55687054300699,33.85904350847411,0.0,1.5324058985946996,118.82977693723986,2.629627988091119,0.0,37.56365030844356,22.162505772167837,2.7824304234479307,3.774887088810481,9.982709156319268,46.01961007829892,24.92763340539351,68.80526153628998,2.7424593786387996,1.7587353893940778,29.453196431917632
2050-02-27 19:00:00,2.054794746623952,39.63579802350989,38.18713936454748,12.421238306774963,6.587797037536522,0.0,2.2436519190516764,129.96609903353635,10.943244876427073,6.1342967011078775,36.843572273301476,147.45675644693705,34.3236543824784,33.279039597482296,0.0,1.5084784180011144,112.16622141743093,2.6217322599263273,0.0,37.593652363257696,21.966041364418206,2.7007404358819906,3.872009238862488,9.8818043964016,45.6276272761088,24.39220138871089,70.5400695436854,2.7471210997436954,1.6259631861270194,28.873129141305903
2050-02-27 20:00:00,2.0187737504623513,39.64658860352695,37.94782920533221,13.641217333558409,6.649104884596304,0.0,2.396543857506454,134.63272839326922,11.567982389553578,5.831133393950412,36.815666654852286,147.3225627939673,35.0115847096477,31.23026078655686,0.0,1.5043698715351554,106.66007986220579,2.6218745731937028,0.0,37.7137664996587,20.920242076632384,2.7199737464960028,3.997180542851125,10.667638765980925,45.969380473913,23.73845664742576,71.16139715820908,2.7682282293716303,1.510398436355916,28.85051598760721
2050-02-27 21:00:00,1.6824269648833217,39.65750771834968,37.56581066873713,17.267505884043914,6.751909752275211,0.0,2.806259097019889,137.52078884033975,11.103538002717553,5.841002515275104,101.77528401636074,147.5779090659249,36.7987051816042,21.208327056294653,0.0,1.5405516480883985,106.44855892825377,2.6143450954259477,0.0,37.96803025496136,19.51626767261789,2.6864425479811556,4.00469304673184,11.792108417639152,49.0888563195006,24.97116515572757,73.94592634626999,2.8058199100857375,1.4746307923090416,31.255667962048914
2050-02-27 22:00:00,1.4191074569210607,44.12984850285774,42.05248717762268,19.83937201501545,6.917616035299834,0.0,2.9259144150770333,167.942598541215,11.191696865684307,6.064607345317558,100.5125146193117,286.5859833750701,76.27379613147332,30.738329528006187,0.0,1.596993197729576,131.22513700330165,2.6747768247237054,0.0,38.67521922176164,17.241073119081218,2.6471705636208647,4.191896920866428,11.456041204824794,93.60789879048964,36.63189912401864,88.85430553495169,3.0711835862217307,1.5347032644068062,42.41386794361621
2050-02-27 23:00:00,1.398976697312742,301.0844938992651,58.967704276119036,14.023944680668233,6.834988062275697,0.0,3.1671677104838185,171.4661110556502,6.580198278585496,5.697737761357153,107.12663471871659,284.72344915354535,69.9662740143023,47.70138536058597,0.0,1.5898488894980385,114.58530900689858,2.6984514879393084,0.0,140.1723004683442,17.376689879807365,2.7325839149204953,4.157675951148384,11.287396127203275,75.02206561321762,32.22551357865278,79.4140062831708,2.986369046233201,1.4302129380631903,53.94543065013673
