generator,carrier,empirical_mc,support_type_inferred,n_bmus,median_bid,mean_bid,std_bid
middle muir wind farm,wind_onshore,39.5,CfD_or_merchant,1,39.5,27.7959705290236,74.37569766488043
milww,wind_onshore,-150.0,ROC,1,-150.0,-144.09366961190022,29.321379843171336
minnygap wind farm,wind_onshore,-47.385,ROC,1,-47.385,-47.385,47.385662481737626
minsca wind farm,wind_onshore,-87.0,ROC,1,-87.0,-23.46985795772285,88.457356577955
moray east owf1,wind_offshore,0.0,CfD_or_merchant,1,0.0,-34.78058394609729,38.68230720568405
moray east owf2,wind_offshore,0.0,CfD_or_merchant,1,0.0,-31.027340160984227,36.88558099972208
moray east owf3,wind_offshore,0.0,CfD_or_merchant,1,0.0,-30.779946676262757,36.562692273155015
moy windfarm,wind_onshore,-84.0,ROC,1,-84.0,-74.380773962644,45.78178249141794
ormonde energy limited 1,wind_offshore,0.0,CfD_or_merchant,1,0.0,-15.164839626471782,47.509745232336044
penyclun,wind_onshore,-20.12,ROC,1,-20.12,-113.00623641761807,213.19308005476998
pnycw-1 export,wind_onshore,-38.0,ROC,1,-38.0,-39.575718599709205,39.890536109066666
pogbie wf,wind_onshore,0.0,CfD_or_merchant,1,0.0,0.0,0.0
race_bank_z01,wind_offshore,-24.129999999999995,ROC,1,-24.129999999999995,-25.249023319539198,125.2540441856739
race_bank_z02,wind_offshore,-24.129999999999995,ROC,1,-24.129999999999995,-25.249023319539198,125.2540441856739
rampion offshore wind bmu 1,wind_offshore,-171.58,ROC,1,-171.58,-165.70110424970528,11.427875650458486
rampion offshore wind bmu 2,wind_offshore,-171.58,ROC,1,-171.58,-165.69912337844667,11.42929120572628
sandy knowe wind farm,wind_onshore,-75.0,ROC,1,-75.0,-61.05441225813667,29.179847001148392
sanquhar,wind_onshore,-81.0,ROC,1,-81.0,-80.44108600827649,6.899067749840534
seagreen1 offshore wf 1,wind_offshore,0.0,CfD_or_merchant,1,0.0,-16.95893418433876,108.96322744842227
seagreen1 offshore wf 2,wind_offshore,0.0,CfD_or_merchant,1,0.0,-17.945445369483537,112.36542622370659
seagreen1 offshore wf 3,wind_offshore,0.0,CfD_or_merchant,1,0.0,-7.425027681467397,73.67471386382316
seagreen1 offshore wf 4,wind_offshore,0.0,CfD_or_merchant,1,0.0,-9.738357931775976,81.75488716002496
seagreen1 offshore wf 5,wind_offshore,0.0,CfD_or_merchant,1,0.0,-29.51988808774811,122.4541723602735
seagreen1 offshore wf 6,wind_offshore,0.0,CfD_or_merchant,1,0.0,-11.326915613466056,89.78096156183491
sheringham shoal unit 1,wind_offshore,-80.0,ROC,1,-80.0,-45.453528688066214,191.54122047231542
sheringham shoal unit 2,wind_offshore,-80.0,ROC,1,-80.0,-45.453528688066214,191.54122047231542
solwaybank wf,wind_onshore,0.0,CfD_or_merchant,1,0.0,0.0,0.0
south kyle wind farm,wind_onshore,0.0,CfD_or_merchant,1,0.0,0.0,0.0
strathy north wind farm 1,wind_onshore,-71.77,ROC,1,-71.77,-31.117819315512804,77.97755596680379
stronelairg windfarm 1,wind_onshore,-79.67,ROC,1,-79.67,-35.412887260932784,81.56927927443398
stronelairg windfarm 2,wind_onshore,-79.67,ROC,1,-79.67,-35.412887260932784,81.56927927443398
stronelairg windfarm 3,wind_onshore,-79.67,ROC,1,-79.67,-35.412887260932784,81.56927927443398
sutton bridge solar,wind_onshore,12.5,CfD_or_merchant,1,12.5,11.25,16.72397710584105
sutton bridge solar farm,solar_pv,0.0,CfD_or_merchant,1,0.0,0.0,0.0
t-dougw-1,wind_onshore,-25.0,ROC,1,-25.0,-36.44831674309361,36.43506588317581
t_blla-1,wind_onshore,-44.595,ROC,1,-44.595,-46.91466726316967,46.975935299122284
t_rrew-1,wind_onshore,-188.47,ROC,1,-188.47,-186.93539636363636,2.687214237746965
