site_code,site_name,lat,lon,source
STYC,STAYTHORPE C,53.073543,-0.857761,exact_name_match (power_stations)
SYEL,SOUTH YELL,60.499,-1.055,nominatim_geocode
YELL,SOUTH YELL,60.499,-1.055,nominatim_geocode
TEAL,TEALING,56.533153,-2.959138,nominatim_geocode
THTO,THORNTON,53.9,-0.822,manual_correction
THUS,THURSO SOUTH,58.59508,-3.519748,nominatim_geocode
TINP,TINSLEY PARK,53.397722,-1.39921,nominatim_geocode
TKNO,TRITON KNOLL ONSHORE,52.962038,-0.197527,nominatim_geocode
TODP,TOD POINT,54.617252,-1.102984,nominatim_geocode
TOMT,TOMATIN,57.3336,-3.989204,nominatim_geocode
TORN,TORNESS,55.968002,-2.408716,exact_name_match (power_stations)
TREM,TREMORFA,51.487596,-3.141489,nominatim_geocode
TREU,TREUDDYN,53.115324,-3.121601,nominatim_geocode
TRLO,TRALORG,55.23328,-4.780926,nominatim_geocode
TUMM,TUMMEL BRIDGE,56.7064,-4.0228,manual_correction
TWNE,TWINEHAM ONSHORE,50.96588,-0.211207,nominatim_geocode
WAAO,WALNEY 1 ONSHORE,54.095579,-3.227549,nominatim_geocode
WAAW,WALNEY 1 OFFSHORE,54.039,-3.516,manual_correction
WABO,WALNEY 2 ONSHORE,54.095579,-3.227549,nominatim_geocode
WABW,WALNEY 2 OFFSHORE,54.081,-3.609,manual_correction
WACW,WALNEY 3 OFFSHORE,54.087,-3.737,manual_correction
WADW,WALNEY 4 OFFSHORE,54.087,-3.737,manual_correction
WALX,WALTHAM CROSS,51.685783,-0.033,nominatim_geocode
WATS,WATFORD SOUTH,51.638812,-0.446723,nominatim_geocode
WDSO,WEST OF DUDDON SANDS ONSHORE,54.0324,-2.8908,manual_correction
WDSW,WEST OF DUDDON SANDS OFFSHORE,53.984,-3.464,manual_correction
WEAV,WEAVER JUNCTION,53.294489,-2.634631,nominatim_geocode
WFIB,WESTFIELD BOUNDARY,55.931459,-3.701599,nominatim_geocode
WHIB,WHITE BRIDGE,56.97683,-3.615623,nominatim_geocode
