name,load,BritNed,EastWest,Moyle,Nemo,IFA,IFA2
2020-01-04 15:00:00,36282.5,-0.0,-0.0,56.0,-0.0,-0.0,1.0
2020-01-04 16:00:00,36470.0,-0.0,-0.0,240.5,-0.0,-0.0,1.0
2020-01-04 17:00:00,39129.5,-0.0,-0.0,167.0,-0.0,-0.0,1.0
2020-01-04 18:00:00,40875.0,-0.0,-0.0,138.0,-0.0,-0.0,1.0
2020-01-04 19:00:00,40388.5,-0.0,-0.0,113.5,-0.0,-0.0,1.0
2020-01-04 20:00:00,38891.0,-0.0,-0.0,39.0,-0.0,-0.0,1.0
2020-01-04 21:00:00,36675.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-04 22:00:00,34138.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-04 23:00:00,31247.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 00:00:00,28576.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 01:00:00,27813.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 02:00:00,27165.0,375.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 03:00:00,26006.0,568.0,-0.0,-0.0,222.5,-0.0,1.0
2020-01-05 04:00:00,25106.0,400.5,-0.0,-0.0,131.5,-0.0,1.0
2020-01-05 05:00:00,24433.0,301.0,-0.0,-0.0,132.0,1030.5,1.0
2020-01-05 06:00:00,24455.0,370.5,-0.0,-0.0,73.5,1133.0,1.0
2020-01-05 07:00:00,25577.5,377.0,-0.0,-0.0,444.5,682.5,1.0
2020-01-05 08:00:00,27072.5,534.5,-0.0,-0.0,501.0,110.0,1.0
2020-01-05 09:00:00,29544.5,373.5,-0.0,-0.0,379.0,-0.0,1.0
2020-01-05 10:00:00,32671.5,344.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 11:00:00,35270.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 12:00:00,36781.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 13:00:00,37806.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 14:00:00,37614.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 15:00:00,37891.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 16:00:00,38532.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 17:00:00,41137.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 18:00:00,42686.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 19:00:00,41567.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 20:00:00,39608.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 21:00:00,37144.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 22:00:00,34155.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-05 23:00:00,30981.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 00:00:00,27427.0,284.0,-0.0,-0.0,92.0,308.0,1.0
2020-01-06 01:00:00,26814.5,420.0,-0.0,-0.0,396.0,528.5,1.0
2020-01-06 02:00:00,26756.5,423.0,-0.0,-0.0,302.0,819.5,1.0
2020-01-06 03:00:00,26981.0,274.5,-0.0,-0.0,7.0,1604.0,1.0
2020-01-06 04:00:00,27333.5,-0.0,-0.0,-0.0,227.0,813.0,1.0
2020-01-06 05:00:00,25978.0,725.5,-0.0,-0.0,783.0,1625.0,1.0
2020-01-06 06:00:00,27249.0,649.0,-0.0,-0.0,789.0,1626.0,1.0
2020-01-06 07:00:00,32890.5,226.0,-0.0,-0.0,260.5,707.0,1.0
2020-01-06 08:00:00,37910.0,1.5,-0.0,-0.0,11.0,459.5,1.0
2020-01-06 09:00:00,40826.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 10:00:00,42348.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 11:00:00,42962.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
2020-01-06 12:00:00,43482.5,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
