name,BritNed,EastWest,Moyle,Nemo,IFA,IFA2
2019-12-02 22:00:00,0.96181816,0.0,0.0,0.7990909,0.9514286,0.0
2019-12-02 22:30:00,0.96181816,0.0,0.0,0.79545456,0.89,0.0
2019-12-02 23:00:00,0.9109091,0.0,0.0,0.7836364,0.102380954,0.0
2019-12-02 23:30:00,0.90909094,0.0,0.0,0.7836364,0.06714286,0.0
2019-12-03 00:00:00,0.90909094,0.0,0.0,0.87454545,0.30095237,0.0
2019-12-03 00:30:00,0.90909094,0.0,0.0,0.8781818,0.28809524,0.0
2019-12-03 01:00:00,0.91,0.0,0.0,0.6827273,0.9152381,0.0
2019-12-03 01:30:00,0.90909094,0.0,0.0,0.67545456,0.9514286,0.0
2019-12-03 02:00:00,0.90909094,0.0,0.0,0.6381818,0.9514286,0.0
2019-12-03 02:30:00,0.91,0.0,0.0,0.6372727,0.9514286,0.0
2019-12-03 03:00:00,0.90909094,0.0,0.0,0.52272725,0.9514286,0.0
2019-12-03 03:30:00,0.90818185,0.0,0.0,0.51545453,0.9514286,0.0
2019-12-03 04:00:00,0.5872727,0.0,0.0,0.10727273,0.9519048,0.0
2019-12-03 04:30:00,0.57272726,0.0,0.0,0.09,0.95238096,0.0
2019-12-03 05:00:00,0.52454543,0.0,0.07666667,0.0036363637,0.60380954,0.0
2019-12-03 05:30:00,0.52272725,0.108333334,0.0,0.0,0.59619045,0.0
2019-12-03 06:00:00,0.3272727,0.35333332,0.13666667,0.0,0.10047619,0.0
2019-12-03 06:30:00,0.3109091,0.4,0.32166666,0.0,0.105714284,0.0
2019-12-03 07:00:00,0.0,0.62833333,0.33,0.0,0.0,0.0
2019-12-03 07:30:00,0.0,0.5683333,0.215,0.0,0.0,0.0
2019-12-03 08:00:00,0.0,0.315,0.24333334,0.0,0.0,0.0
2019-12-03 08:30:00,0.0,0.185,0.055,0.0009090909,0.0,0.0
2019-12-03 09:00:00,0.088181816,0.015,0.1,0.28454545,0.0,0.0
2019-12-03 09:30:00,0.09272727,0.0,0.14666666,0.29545453,0.0,0.0
2019-12-03 10:00:00,0.45545456,0.0,0.08166666,0.010909091,0.022857143,0.0
2019-12-03 10:30:00,0.50454545,0.0,0.028333334,0.0009090909,0.02904762,0.0
2019-12-03 11:00:00,0.42545456,0.0,0.16,0.23727272,0.0,0.0
2019-12-03 11:30:00,0.42181817,0.0,0.065,0.24636364,0.0,0.0
2019-12-03 12:00:00,0.40454546,0.0,0.13,0.15454546,0.0,0.0
2019-12-03 12:30:00,0.39636365,0.0,0.135,0.1509091,0.0,0.0
2019-12-03 13:00:00,0.095454544,0.0,0.14666666,0.12,0.0,0.0
2019-12-03 13:30:00,0.09272727,0.0,0.20333333,0.11818182,0.0,0.0
2019-12-03 14:00:00,0.0,0.108333334,0.32,0.046363637,0.0,0.0
2019-12-03 14:30:00,0.0,0.365,0.32833335,0.044545453,0.0,0.0
2019-12-03 15:00:00,0.0,0.605,0.33,0.0018181818,0.0,0.0
2019-12-03 15:30:00,0.0,0.6933333,0.33,0.0,0.0,0.0
2019-12-03 16:00:00,0.0,0.55333334,0.33,0.17272727,0.7247619,0.0
2019-12-03 16:30:00,0.0,0.61833334,0.33,0.1790909,0.79285717,0.0
2019-12-03 17:00:00,0.0,0.38333333,0.32666665,0.0063636363,0.50142854,0.0
2019-12-03 17:30:00,0.0,0.13166666,0.165,0.0,0.50285715,0.0
2019-12-03 18:00:00,0.29727274,0.0,0.0,0.033636365,0.05809524,0.0
2019-12-03 18:30:00,0.3309091,0.0,0.0,0.035454545,0.045714285,0.0
2019-12-03 19:00:00,0.36545455,0.10666667,0.13666667,0.14272727,0.11285714,0.0
2019-12-03 19:30:00,0.36818182,0.17,0.32166666,0.14727272,0.10095238,0.0
2019-12-03 20:00:00,0.69,0.39833334,0.33,0.41454545,0.82285714,0.0
2019-12-03 20:30:00,0.70454544,0.49333334,0.33,0.42545456,0.85571426,0.0
2019-12-03 21:00:00,0.7609091,0.735,0.33,0.53636366,0.16904762,0.0
2019-12-03 21:30:00,0.76454544,0.84,0.33,0.54,0.15523809,0.0
2019-12-03 22:00:00,0.95363635,0.8066667,0.33,0.3390909,0.026190476,0.0
2019-12-03 22:30:00,0.96272725,0.61833334,0.31,0.3318182,0.032380953,0.0
2019-12-03 23:00:00,0.9118182,0.7033333,0.32833335,0.44454545,0.0,0.0
2019-12-03 23:30:00,0.90909094,0.51166666,0.29833335,0.44454545,0.0,0.0
