,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,605.423,4.6%,622.732,4.6%,656.2,4.6%,697.095,4.6%,746.842,4.6%,828.149,4.6%,909.356,4.5%,990.424,4.5%,1077.711,4.5%,1171.179,4.5%,1278.767,4.5%,1397.152,4.5%,1519.367,4.5%,1634.013,4.4%,1762.248,4.4%,1863.872,4.4%,1930.637,4.4%,1989.073,4.4%,2055.758,4.4%,2151.143,4.4%,2248.583,4.4%,2345.782,4.4%,2442.731,4.4%,2539.461,4.4%,2627.85,4.4%,2716.059,4.4%,2804.088,4.4%,2891.937,4.4%,2979.586,4.3%,3067.065,4.3%,3154.355,4.3%,,,,,
Pelham,75.1926,,612.797,4.7%,625.232,4.6%,654.253,4.6%,693.42,4.6%,738.566,4.5%,799.611,4.4%,860.456,4.3%,921.121,4.2%,990.986,4.2%,1070.01,4.1%,1169.906,4.1%,1281.046,4.1%,1397.859,4.1%,1503.479,4.1%,1629.199,4.1%,1715.541,4.1%,1750.301,4.0%,1772.733,3.9%,1807.363,3.9%,1884.484,3.9%,1962.249,3.8%,2039.663,3.8%,2116.726,3.8%,2193.43,3.8%,2257.834,3.8%,2321.949,3.7%,2385.803,3.7%,2449.376,3.7%,2512.68,3.7%,2575.705,3.6%,2638.469,3.6%,,,,,
Sundon/East Claydon,106.11918,,1210.073,9.3%,1237.529,9.2%,1297.593,9.1%,1362.472,9.0%,1439.473,8.8%,1555.645,8.6%,1671.558,8.4%,1787.19,8.2%,1915.193,8.0%,2055.475,7.9%,2223.77,7.8%,2409.869,7.7%,2603.578,7.6%,2782.266,7.6%,2987.916,7.5%,3140.756,7.5%,3224.396,7.4%,3291.516,7.3%,3374.996,7.2%,3515.465,7.2%,3658.197,7.2%,3800.41,7.1%,3942.172,7.1%,4083.456,7.0%,4208.229,7.0%,4332.65,7.0%,4456.684,6.9%,4580.367,6.9%,4703.68,6.9%,4826.612,6.8%,4949.175,6.8%,,,,,
Melksham,233.18009,,2039.377,15.6%,2084.915,15.5%,2185.466,15.4%,2296.866,15.2%,2428.532,14.9%,2624.127,14.5%,2819.249,14.1%,3013.91,13.8%,3230.574,13.5%,3469.016,13.3%,3757.271,13.2%,4076.331,13.1%,4408.921,12.9%,4714.772,12.8%,5068.612,12.8%,5328.532,12.6%,5465.413,12.5%,5572.942,12.4%,5709.574,12.3%,5947.494,12.2%,6188.966,12.1%,6429.583,12.0%,6669.394,12.0%,6908.343,11.9%,7117.901,11.8%,7326.852,11.8%,7535.142,11.7%,7742.771,11.7%,7949.759,11.6%,8156.069,11.5%,8361.76,11.5%,,,,,
Bramley,76.73228,,176.491,1.4%,182.696,1.4%,193.566,1.4%,206.882,1.4%,223.557,1.4%,253.2,1.4%,282.813,1.4%,312.396,1.4%,343.4,1.4%,375.813,1.4%,411.436,1.4%,450.415,1.4%,490.253,1.4%,528.372,1.4%,569.591,1.4%,604.751,1.4%,631.969,1.4%,657.298,1.5%,684.497,1.5%,718.236,1.5%,752.888,1.5%,787.48,1.5%,822.021,1.5%,856.503,1.5%,889.095,1.5%,921.646,1.5%,954.158,1.5%,986.62,1.5%,1019.042,1.5%,1051.423,1.5%,1083.765,1.5%,,,,,
London,142.44145,,258.246,2.0%,272.338,2.0%,293.011,2.1%,338.613,2.2%,394.392,2.4%,487.464,2.7%,580.26,2.9%,672.993,3.1%,772.151,3.2%,877.731,3.4%,998.25,3.5%,1130.591,3.6%,1266.902,3.7%,1395.271,3.8%,1537.922,3.9%,1652.666,3.9%,1731.077,4.0%,1800.77,4.0%,1879.135,4.0%,1987.447,4.1%,2098.225,4.1%,2208.661,4.1%,2319.001,4.2%,2428.947,4.2%,2530.334,4.2%,2631.432,4.2%,2732.338,4.2%,2833.083,4.3%,2933.631,4.3%,3034.001,4.3%,3134.185,4.3%,,,,,
Kemsley,65.51442,,257.322,2.0%,265.451,2.0%,280.41,2.0%,313.206,2.1%,351.715,2.2%,407.566,2.2%,463.259,2.3%,518.83,2.4%,581.202,2.4%,650.323,2.5%,734.866,2.6%,828.565,2.7%,926.455,2.7%,1016.085,2.8%,1120.556,2.8%,1195.944,2.8%,1233.235,2.8%,1261.433,2.8%,1298.643,2.8%,1367.233,2.8%,1436.718,2.8%,1505.952,2.8%,1574.915,2.8%,1643.62,2.8%,1703.244,2.8%,1762.647,2.8%,1821.871,2.8%,1880.875,2.8%,1939.678,2.8%,1998.292,2.8%,2056.697,2.8%,,,,,
Sellindge,47.47516,,389.289,3.0%,399.714,3.0%,420.568,3.0%,444.414,2.9%,473.343,2.9%,520.11,2.9%,566.818,2.8%,613.444,2.8%,663.833,2.8%,717.94,2.8%,780.568,2.7%,849.527,2.7%,920.785,2.7%,987.503,2.7%,1062.402,2.7%,1121.251,2.7%,1159.07,2.7%,1191.867,2.6%,1229.646,2.6%,1284.726,2.6%,1340.956,2.6%,1397.045,2.6%,1452.984,2.6%,1508.783,2.6%,1559.553,2.6%,1610.223,2.6%,1660.772,2.6%,1711.222,2.6%,1761.551,2.6%,1811.762,2.6%,1861.889,2.6%,,,,,
Lovedean,122.52657,,737.999,5.7%,755.955,5.6%,793.755,5.6%,833.486,5.5%,881.301,5.4%,956.806,5.3%,1032.169,5.2%,1107.392,5.1%,1189.326,5.0%,1277.97,4.9%,1381.872,4.9%,1496.448,4.8%,1615.183,4.7%,1725.729,4.7%,1850.956,4.7%,1947.412,4.6%,2006.179,4.6%,2055.944,4.6%,2114.6,4.5%,2204.335,4.5%,2295.762,4.5%,2386.92,4.5%,2477.847,4.4%,2568.504,4.4%,2650.162,4.4%,2731.609,4.4%,2812.866,4.4%,2893.923,4.4%,2974.781,4.3%,3055.438,4.3%,3135.895,4.3%,,,,,
S.W.Penisula,299.57007,,2101.583,16.1%,2151.783,16.0%,2258.542,15.9%,2375.996,15.7%,2516.395,15.4%,2733.201,15.1%,2949.571,14.7%,3165.496,14.5%,3402.554,14.3%,3660.581,14.1%,3966.469,13.9%,4304.238,13.8%,4655.059,13.7%,4980.19,13.6%,5351.401,13.5%,5632.37,13.4%,5795.062,13.3%,5929.521,13.2%,6091.942,13.1%,6351.761,13.0%,6616.144,12.9%,6879.685,12.9%,7142.448,12.8%,7404.399,12.8%,7638.123,12.7%,7871.203,12.6%,8103.685,12.6%,8335.518,12.5%,8566.728,12.5%,8797.332,12.5%,9027.273,12.4%,,,,,
," 2,900.02 ",," 13,049.11 ",100%," 13,449.07 ",100%," 14,199.09 ",100%," 15,149.16 ",100%," 16,299.32 ",100%," 18,149.12 ",100%," 19,999.50 ",100%," 21,849.16 ",100%," 23,849.20 ",100%," 25,999.05 ",100%," 28,449.36 ",100%," 31,199.44 ",100%," 34,049.19 ",100%," 36,728.06 ",100%," 39,740.84 ",100%," 42,124.15 ",100%," 43,684.19 ",100%," 45,024.46 ",100%," 46,574.51 ",100%," 48,824.53 ",100%," 51,124.60 ",100%," 53,424.29 ",100%," 55,724.21 ",100%," 58,024.30 ",100%," 60,124.60 ",100%," 62,224.72 ",100%," 64,324.37 ",100%," 66,424.62 ",100%," 68,524.28 ",100%," 70,624.59 ",100%," 72,724.34 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
