,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,605.423,4.6%,610.247,4.6%,616.22,4.6%,622.955,4.6%,629.688,4.6%,637.442,4.6%,649.744,4.6%,667.383,4.6%,688.248,4.6%,713.294,4.5%,746.873,4.5%,786.253,4.5%,831.762,4.5%,876.152,4.5%,932.172,4.4%,972.131,4.4%,981.46,4.4%,990.78,4.4%,1000.099,4.4%,1021.759,4.4%,1047.429,4.4%,1072.988,4.4%,1098.447,4.4%,1123.807,4.3%,1149.046,4.3%,1174.196,4.3%,1199.235,4.3%,1224.155,4.3%,1248.994,4.3%,1273.713,4.3%,1298.323,4.3%,,,,,
Pelham,75.1926,,612.797,4.7%,616.989,4.7%,622.632,4.7%,630.246,4.7%,637.829,4.7%,646.942,4.7%,658,4.6%,675.826,4.6%,697.209,4.6%,724.77,4.6%,762.596,4.6%,809.02,4.6%,864.495,4.7%,918.33,4.7%,989.365,4.7%,1036.639,4.7%,1038.586,4.7%,1040.521,4.6%,1042.455,4.6%,1062.64,4.6%,1088.765,4.6%,1114.74,4.5%,1140.544,4.5%,1166.2,4.5%,1191.706,4.5%,1217.05,4.5%,1242.246,4.5%,1267.28,4.5%,1292.155,4.4%,1316.87,4.4%,1341.445,4.4%,,,,,
Sundon/East Claydon,106.11918,,1210.073,9.3%,1218.757,9.3%,1230.141,9.2%,1241.714,9.2%,1253.247,9.2%,1266.839,9.1%,1285.8,9.1%,1314.502,9.0%,1348.666,8.9%,1391.118,8.9%,1448.735,8.8%,1517.863,8.7%,1599.117,8.6%,1678.175,8.5%,1780.301,8.5%,1850.588,8.4%,1860.043,8.4%,1869.501,8.3%,1878.948,8.3%,1912.874,8.2%,1954.79,8.2%,1996.486,8.1%,2037.964,8.1%,2079.22,8.0%,2120.296,8.0%,2161.142,8.0%,2201.788,7.9%,2242.217,7.9%,2282.442,7.8%,2322.469,7.8%,2362.264,7.8%,,,,,
Melksham,233.18009,,2039.377,15.6%,2053.907,15.6%,2073.037,15.6%,2093.176,15.5%,2113.265,15.5%,2136.975,15.4%,2169.379,15.3%,2218.861,15.2%,2277.866,15.1%,2351.603,15.0%,2451.815,14.9%,2572.52,14.7%,2714.807,14.6%,2853.141,14.5%,3032.566,14.4%,3155.322,14.4%,3169.942,14.3%,3184.588,14.2%,3199.202,14.1%,3257.326,14.0%,3329.643,13.9%,3401.568,13.8%,3473.12,13.8%,3544.316,13.7%,3615.121,13.6%,3685.585,13.6%,3755.661,13.5%,3825.363,13.4%,3894.678,13.4%,3963.644,13.3%,4032.249,13.3%,,,,,
Bramley,76.73228,,176.491,1.4%,178.054,1.4%,179.887,1.4%,181.859,1.3%,183.843,1.3%,186.056,1.3%,190.184,1.3%,195.765,1.3%,202.296,1.3%,209.778,1.3%,219.643,1.3%,230.838,1.3%,243.422,1.3%,255.757,1.3%,270.741,1.3%,282.056,1.3%,286.411,1.3%,290.755,1.3%,295.11,1.3%,302.265,1.3%,310.329,1.3%,318.384,1.3%,326.398,1.3%,334.393,1.3%,342.368,1.3%,350.322,1.3%,358.247,1.3%,366.151,1.3%,374.026,1.3%,381.881,1.3%,389.714,1.3%,,,,,
London,142.44145,,258.246,2.0%,261.202,2.0%,264.289,2.0%,271.665,2.0%,279.001,2.0%,287.448,2.1%,301.217,2.1%,320.81,2.2%,343.894,2.3%,371.266,2.4%,407.968,2.5%,450.729,2.6%,499.909,2.7%,547.919,2.8%,607.969,2.9%,651.419,3.0%,662.655,3.0%,673.977,3.0%,685.336,3.0%,709.629,3.0%,738.055,3.1%,766.268,3.1%,794.518,3.1%,822.536,3.2%,850.606,3.2%,878.474,3.2%,906.216,3.3%,933.827,3.3%,961.369,3.3%,988.825,3.3%,1016.124,3.3%,,,,,
Kemsley,65.51442,,257.322,2.0%,259.485,2.0%,262.089,2.0%,268.134,2.0%,274.147,2.0%,281.311,2.0%,290.795,2.1%,305.438,2.1%,322.965,2.1%,345.032,2.2%,375.131,2.3%,411.561,2.4%,454.692,2.5%,496.591,2.5%,551.212,2.6%,588.262,2.7%,591.843,2.7%,595.433,2.6%,599.013,2.6%,616.073,2.6%,637.524,2.7%,658.864,2.7%,680.086,2.7%,701.186,2.7%,722.165,2.7%,743.026,2.7%,763.786,2.7%,784.427,2.8%,804.957,2.8%,825.358,2.8%,845.647,2.8%,,,,,
Sellindge,47.47516,,389.289,3.0%,392.29,3.0%,396.09,3.0%,400.073,3.0%,404.033,3.0%,408.624,2.9%,415.756,2.9%,426.088,2.9%,438.3,2.9%,453.044,2.9%,472.846,2.9%,496.15,2.8%,523.154,2.8%,549.477,2.8%,582.811,2.8%,606.474,2.8%,611.638,2.8%,616.812,2.7%,621.974,2.7%,634.599,2.7%,649.621,2.7%,664.596,2.7%,679.488,2.7%,694.332,2.7%,709.115,2.7%,723.818,2.7%,738.472,2.7%,753.056,2.6%,767.58,2.6%,782.023,2.6%,796.426,2.6%,,,,,
Lovedean,122.52657,,737.999,5.7%,743.439,5.6%,750.49,5.6%,757.282,5.6%,764.043,5.6%,771.955,5.6%,783.75,5.5%,801.085,5.5%,821.65,5.4%,846.754,5.4%,880.581,5.3%,920.669,5.3%,967.385,5.2%,1012.902,5.2%,1070.998,5.1%,1111.725,5.1%,1119.321,5.0%,1126.908,5.0%,1134.514,5.0%,1155.432,5.0%,1180.697,4.9%,1205.866,4.9%,1230.911,4.9%,1255.838,4.9%,1280.644,4.8%,1305.341,4.8%,1329.929,4.8%,1354.405,4.8%,1378.761,4.7%,1403.007,4.7%,1427.134,4.7%,,,,,
S.W.Penisula,299.57007,,2101.583,16.1%,2116.988,16.1%,2136.928,16.0%,2157.471,16.0%,2177.902,15.9%,2201.883,15.9%,2236.457,15.8%,2288.077,15.7%,2349.402,15.6%,2424.89,15.4%,2526.997,15.3%,2648.776,15.2%,2791.303,15.0%,2930.069,14.9%,3108.278,14.8%,3232.045,14.7%,3251.863,14.6%,3271.68,14.6%,3291.507,14.5%,3353.165,14.4%,3428.414,14.3%,3503.31,14.3%,3577.857,14.2%,3652.064,14.1%,3725.891,14.0%,3799.368,14.0%,3872.468,13.9%,3945.245,13.9%,4017.661,13.8%,4089.69,13.7%,4161.386,13.7%,,,,,
," 2,900.02 ",," 13,049.11 ",100%," 13,174.07 ",100%," 13,324.18 ",100%," 13,499.27 ",100%," 13,674.30 ",100%," 13,874.20 ",100%," 14,173.95 ",100%," 14,599.40 ",100%," 15,099.19 ",100%," 15,699.32 ",100%," 16,499.41 ",100%," 17,449.29 ",100%," 18,549.07 ",100%," 19,628.25 ",100%," 20,990.47 ",100%," 21,974.44 ",100%," 22,229.18 ",100%," 22,474.48 ",100%," 22,724.43 ",100%," 23,274.70 ",100%," 23,924.42 ",100%," 24,574.31 ",100%," 25,224.46 ",100%," 25,874.36 ",100%," 26,524.39 ",100%," 27,174.75 ",100%," 27,824.73 ",100%," 28,474.43 ",100%," 29,124.30 ",100%," 29,774.41 ",100%," 30,424.39 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
