,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,605.423,4.6%,629.742,4.6%,691.13,4.6%,774.855,4.6%,871.522,4.6%,997.379,4.5%,1122.876,4.5%,1248.024,4.5%,1372.821,4.5%,1497.259,4.4%,1623.867,4.4%,1766.472,4.4%,1916.947,4.4%,2059.683,4.4%,2205.368,4.4%,2316.012,4.4%,2393.797,4.4%,2450.773,4.4%,2528.358,4.4%,2632.543,4.4%,2761.093,4.3%,2888.822,4.3%,3026.601,4.3%,3145.761,4.3%,3236.25,4.3%,3306.359,4.3%,3368.368,4.3%,3430.347,4.3%,3492.296,4.3%,3554.225,4.3%,3616.125,4.3%,,,,,
Pelham,75.1926,,612.797,4.7%,634.042,4.7%,698.193,4.7%,800.75,4.7%,915.306,4.8%,1042.271,4.7%,1168.676,4.7%,1294.571,4.6%,1419.946,4.6%,1544.78,4.6%,1672.836,4.6%,1819.816,4.6%,1978.449,4.6%,2125.619,4.5%,2277.169,4.5%,2376.861,4.5%,2427.921,4.4%,2448.183,4.4%,2498.963,4.3%,2589.074,4.3%,2712.889,4.3%,2835.493,4.3%,2972.946,4.2%,3082.89,4.2%,3150.364,4.2%,3187.709,4.2%,3213.053,4.1%,3238.356,4.1%,3263.61,4.0%,3288.825,4.0%,3314.009,3.9%,,,,,
Sundon/East Claydon,106.11918,,1210.073,9.3%,1253.949,9.2%,1379.473,9.2%,1529.382,9.1%,1699.513,8.9%,1904.075,8.6%,2107.938,8.4%,2311.07,8.3%,2513.513,8.2%,2715.245,8.1%,2921.3,8.0%,3155.459,7.9%,3405.268,7.8%,3639.696,7.8%,3880.006,7.7%,4050.736,7.7%,4156.256,7.6%,4220.476,7.5%,4325.606,7.5%,4483.505,7.4%,4687.977,7.4%,4890.82,7.3%,5113.582,7.3%,5299.456,7.3%,5428.369,7.2%,5516.86,7.2%,5589.254,7.1%,5661.567,7.1%,5733.84,7.1%,5806.082,7.0%,5878.255,7.0%,,,,,
Melksham,233.18009,,2039.377,15.6%,2112.835,15.5%,2324.666,15.6%,2587.246,15.3%,2884.492,15.1%,3237.227,14.7%,3588.719,14.4%,3938.94,14.1%,4287.914,13.9%,4635.636,13.8%,4991.021,13.7%,5395.541,13.5%,5827.861,13.4%,6232.792,13.3%,6648.222,13.2%,6939.982,13.1%,7115.783,13.0%,7218.112,12.9%,7393.214,12.8%,7662.124,12.7%,8013.426,12.6%,8361.803,12.5%,8745.594,12.5%,9063.823,12.4%,9280.751,12.4%,9425.812,12.3%,9542.272,12.2%,9658.621,12.1%,9774.889,12.0%,9891.059,11.9%,10007.16,11.9%,,,,,
Bramley,76.73228,,176.491,1.4%,184.346,1.4%,201.786,1.3%,224.852,1.3%,252.197,1.3%,291.99,1.3%,331.683,1.3%,371.316,1.3%,410.85,1.3%,450.313,1.3%,490.266,1.3%,534.755,1.3%,581.033,1.3%,625.552,1.3%,670.741,1.3%,707.951,1.3%,737.679,1.3%,762.668,1.4%,792.357,1.4%,828.096,1.4%,869.828,1.4%,911.37,1.4%,955.201,1.4%,994.803,1.4%,1027.865,1.4%,1056.296,1.4%,1082.878,1.4%,1109.46,1.4%,1136.022,1.4%,1162.593,1.4%,1189.145,1.4%,,,,,
London,142.44145,,258.246,2.0%,273.048,2.0%,296.591,2.0%,387.003,2.3%,491.782,2.6%,631.304,2.9%,770.49,3.1%,909.113,3.3%,1047.601,3.4%,1185.621,3.5%,1325.83,3.6%,1483.491,3.7%,1649.262,3.8%,1807.051,3.9%,1967.892,3.9%,2092.126,4.0%,2181.997,4.0%,2250.26,4.0%,2340.025,4.0%,2457.457,4.1%,2600.745,4.1%,2743.101,4.1%,2896.051,4.1%,3029.477,4.2%,3132.984,4.2%,3215.262,4.2%,3288.978,4.2%,3362.633,4.2%,3436.361,4.2%,3510.051,4.2%,3583.695,4.3%,,,,,
Kemsley,65.51442,,257.322,2.0%,268.171,2.0%,293.97,2.0%,373.566,2.2%,463.355,2.4%,567.866,2.6%,671.989,2.7%,775.72,2.8%,879.072,2.9%,982.033,2.9%,1087.356,3.0%,1207.525,3.0%,1336.315,3.1%,1456.615,3.1%,1580.176,3.1%,1665.404,3.1%,1714.745,3.1%,1741.353,3.1%,1790.463,3.1%,1868.643,3.1%,1972.148,3.1%,2074.742,3.1%,2188.315,3.1%,2281.56,3.1%,2343.454,3.1%,2383.087,3.1%,2413.871,3.1%,2444.595,3.1%,2475.318,3.0%,2506.002,3.0%,2536.667,3.0%,,,,,
Sellindge,47.47516,,389.289,3.0%,404.464,3.0%,444.208,3.0%,493.904,2.9%,551.133,2.9%,624.78,2.8%,698.228,2.8%,771.434,2.8%,844.453,2.7%,917.24,2.7%,991.348,2.7%,1074.917,2.7%,1163.235,2.7%,1246.883,2.7%,1332.322,2.6%,1396.611,2.6%,1441.07,2.6%,1472.977,2.6%,1517.326,2.6%,1577.726,2.6%,1652.726,2.6%,1727.235,2.6%,1807.784,2.6%,1877.143,2.6%,1929.173,2.6%,1968.923,2.6%,2003.782,2.6%,2038.612,2.6%,2073.441,2.6%,2108.252,2.5%,2143.029,2.5%,,,,,
Lovedean,122.52657,,737.999,5.7%,765.555,5.6%,841.635,5.6%,927.716,5.5%,1026.241,5.4%,1149.916,5.2%,1273.189,5.1%,1396.082,5.0%,1518.596,4.9%,1640.72,4.9%,1765.172,4.8%,1905.938,4.8%,2055.243,4.7%,2196.149,4.7%,2340.266,4.7%,2446.462,4.6%,2517.159,4.6%,2565.334,4.6%,2635.79,4.5%,2735.005,4.5%,2860.092,4.5%,2984.27,4.5%,3119.317,4.5%,3234.274,4.4%,3318.172,4.4%,3380.079,4.4%,3433.176,4.4%,3486.283,4.4%,3539.341,4.4%,3592.358,4.3%,3645.375,4.3%,,,,,
S.W.Penisula,299.57007,,2101.583,16.1%,2179.443,16.0%,2396.432,16.0%,2659.226,15.7%,2958.755,15.5%,3326.621,15.1%,3693.311,14.8%,4058.776,14.6%,4423.044,14.4%,4786.091,14.2%,5156.519,14.1%,5576.458,14.0%,6023.129,13.9%,6443.52,13.8%,6873.951,13.7%,7185.5,13.6%,7385.572,13.5%,7515.071,13.4%,7714.482,13.3%,8004.081,13.2%,8374.024,13.2%,8741.155,13.1%,9142.348,13.1%,9480.489,13.0%,9721.273,12.9%,9893.003,12.9%,10037.175,12.8%,10181.278,12.8%,10325.288,12.7%,10469.212,12.6%,10613.053,12.6%,,,,,
," 2,900.02 ",," 13,049.11 ",100%," 13,599.13 ",100%," 14,949.15 ",100%," 16,899.01 ",100%," 19,149.44 ",100%," 22,049.36 ",100%," 24,949.34 ",100%," 27,849.02 ",100%," 30,749.44 ",100%," 33,649.21 ",100%," 36,549.33 ",100%," 39,899.17 ",100%," 43,449.08 ",100%," 46,828.02 ",100%," 50,290.45 ",100%," 52,924.48 ",100%," 54,787.09 ",100%," 56,124.44 ",100%," 57,974.65 ",100%," 60,474.75 ",100%," 63,571.97 ",100%," 66,659.81 ",100%," 70,005.52 ",100%," 72,905.95 ",100%," 75,105.59 ",100%," 76,805.64 ",100%," 78,305.65 ",100%," 79,805.55 ",100%," 81,305.76 ",100%," 82,805.72 ",100%," 84,305.65 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.232328784,,0.232397128,,0.236822929,,0.241330165,,0.245920335,,0.250594963,,0.255355605,,0.260203843,,0.265141288,,0.270169582,,0.275290397,,0.280505434,,0.285816429,,0.291225145,,0.296733382,,0.302342971,,0.308055776,,0.313873697,,0.319798667,,0.325832657,,0.331977672,,0.338235756,,0.344608988,,0.351099488,,0.357709413,,0.36444096,,0.371296368,,0.378277916,,0.385387924,,0.392628756,,0.40000282,,,,
,,,,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,#REF!,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
