,1,16
188,-276.29820181625644,-0.0
189,-193.84147240680426,-0.0
190,-0.0,-0.0
191,-0.0,-0.0
192,-0.0,-0.0
193,-0.0,-0.0
194,-0.0,-0.0
195,-0.0,-0.0
196,-0.0,-0.0
197,-0.0,-0.0
198,-0.0,-0.0
199,-0.0,-0.0
200,-0.0,-0.0
201,-0.0,-0.0
202,-0.0,-0.0
203,-0.0,-0.0
204,-0.0,-0.0
205,-0.0,-0.0
206,-0.0,-0.0
207,-0.0,-0.0
208,-0.0,-0.0
209,-0.0,-0.0
210,-0.0,-0.0
211,-0.0,-0.0
212,-0.0,-0.0
213,-0.0,-0.0
214,-0.0,-0.0
215,-0.0,-0.0
216,-0.0,-0.0
217,-0.0,-0.0
218,-0.0,-0.0
219,-0.0,-0.0
220,-0.0,-0.0
221,-0.0,-0.0
222,-0.0,-0.0
223,-0.0,-0.0
224,-0.0,-0.0
225,-0.0,-0.0
226,-0.0,-0.0
227,-0.0,-0.0
228,-193.02311609313344,-0.0
229,-276.69294209659205,-0.0
230,-276.69294207320604,-0.0
231,-249.4668906468142,-8.02616218239371
232,-132.83281449137309,-42.40955457043089
233,-132.83281448005476,-42.52458649851938
234,-132.8328144958598,-44.299122328609485
235,-132.83281446297383,-42.505866932256346
236,-132.83281442100213,-42.40955459173506
237,-113.47694805882156,-48.11560868211352
238,-113.16835158621488,-47.98476003492738
239,-113.10310341044318,-47.95709401563698
240,-113.03715089010436,-47.929129343924195
241,-113.03715079121417,-47.92912930166072
242,-113.03715088020138,-47.92912933913403
243,-112.47155497094117,-47.689309781682034
244,-112.47155496791225,-47.689309780567406
245,-112.47155497071388,-47.689309781971644
246,-112.4715549674628,-47.68930978125353
247,-113.03715088607304,-47.92912934335003
248,-113.03715089073349,-47.929129345291194
249,-113.03715088882102,-47.92912934508401
250,-113.03715089056789,-47.9291293429647
251,-113.03715089898893,-47.92912934037326
252,-132.83281440844334,-42.12933176881992
253,-276.5613641942511,-0.019276018185472872
254,-276.6271563561499,-0.0
255,-276.561364113817,-0.019276044730356167
256,-206.93019190267387,-20.420042271199744
257,-206.9301919161804,-20.451921666240484
258,-276.5613641200134,-0.019319323451858605
259,-276.5613642736187,-0.01931861214002806
260,-276.62715636008954,-0.0
261,-276.6271563973745,-0.0
262,-276.62715639987806,-0.0
263,-276.62715640459993,-0.0
264,-276.56136422083205,-0.0
265,-276.56136422121375,-0.0
266,-276.56136422000037,-0.0
267,-276.5613642180434,-0.0
268,-276.56136421743315,-0.0
269,-276.56136421885145,-0.0
270,-276.5613642165968,-0.0
271,-276.5613642124775,-0.0
272,-276.5613642092977,-0.0
273,-276.5613642028519,-0.0
274,-276.56136420783474,-0.0
275,-276.56136421416664,-0.0
276,-276.56136421875414,-0.0
277,-276.56136421761175,-0.0
278,-276.5613642165306,-0.0
279,-276.56136421549076,-0.0
280,-276.56136421777484,-0.0
281,-276.5613642196186,-0.0
282,-276.56136422282697,-0.0
283,-276.561364219826,-0.0
284,-276.56136421513196,-0.0
285,-276.5613641996522,-0.0
286,-276.5613641811445,-0.0
287,-276.56136408644755,-0.0
288,-144.37515365175128,-38.70906783314155
289,-144.3751535460681,-38.3826778416626
290,-192.95680847308063,-24.269083356377678
291,-192.95680847798857,-24.475457352577205
292,-114.21702164229688,-47.54489497306714
293,-114.21702152658155,-47.544895010294724
294,-112.98338209614495,-47.90633068461227
295,-114.21702150619033,-47.57268405439312
296,-114.21702153579362,-47.839253000668975
297,-114.21702152170165,-47.83925300690001
298,-114.21702153716653,-47.839253001774985
299,-114.21702152011186,-47.83925300690212
300,-114.21702180317465,-47.83925291332907
301,-152.6505870760525,-36.509147697137934
302,-114.21702154315862,-47.83925299698551
303,-152.6505871063902,-36.50914768626
304,-114.21702149994768,-47.83925301308343
305,-152.65058695726668,-36.509147733461596
306,-152.65058709065883,-36.509147697996205
307,-152.65058706955418,-36.50914769985708
