,Dinorwig,Ffestiniog,Cruachan,Foyers
647,7681.457387615242,846.2668314796963,1249.66475256152,6299.998146548766
648,7681.457387280534,846.2668310089874,1307.636317942294,6008.7908632859
649,7681.457386952267,846.266830536065,1366.9387756465333,5725.6484482052965
650,7681.457386628822,846.2668300617876,1453.012435166284,5416.925798893696
651,7681.4573863089,846.2668295872809,1554.220727731737,5103.344421317874
652,7681.457385991002,846.2668291131063,1657.225071404361,4789.294190866113
653,7681.457385674266,846.2668286415957,1761.5451601844347,4475.892258386183
654,7681.457385355543,846.2668281726228,1863.350718958576,4163.102540493124
655,7681.457385023239,846.2668276975635,1953.796756388124,3849.9808652814663
656,7681.457384684988,846.2668272113999,2033.4075997425562,3534.9850789903558
657,7681.457384347311,846.2668267280062,2109.0834028996424,3220.6499490072447
658,7681.4573840103685,846.2668262443829,2179.9261553886017,2907.0631644366576
659,7681.457383670466,846.2668257624637,2250.5373389584884,2592.8397073483843
660,7681.457383329505,846.2668252841127,2323.0103266200067,2278.2209962442826
661,7681.457382991052,846.2668248071673,2395.9553263985617,1963.7598758979543
662,7681.457382653701,846.2668243326707,2470.1107265868973,1648.930602399278
663,7681.457382315389,846.2668238599225,2544.420040407783,1337.619235736406
664,7681.457381976777,846.2668233886292,2615.5357899573128,1027.5886763461117
665,7681.4573816329075,846.2668229080716,2674.2086739124516,723.2734429606228
666,7681.457381293346,846.2668224260786,2724.877454787396,421.9850301339857
667,7681.457380956834,846.2668219440834,2762.1611348939696,146.28232544520736
668,7681.457380618967,846.2668214622762,2787.652321937869,2.7888378164259003e-07
669,7681.45738026818,846.2668209789041,2554.110899374715,8.853789168490398e-07
670,7681.4573799497175,846.2668205108283,2045.440540246928,259.49999987368665
671,7681.457379636198,846.2668200418702,1536.7701811372865,518.9999988653477
672,7681.457379195033,846.26681945105,1181.2300220042991,778.4999978584952
673,7681.457378751815,846.266818857718,1019.9988714654974,1037.9999968508891
674,7681.45737760114,846.2668175358289,1122.6918013989766,1297.499995843135
675,7681.457376450428,846.2668162088266,1266.7485444388708,1556.99999483505
676,7681.457375289084,846.2668148763771,1502.305751343705,1816.4999938267165
677,7681.457369172747,846.266808431382,1882.9057509720083,2075.9999928180337
678,7681.457363131502,846.2668020834417,2263.505750604871,2335.4999918088397
679,7681.457361962171,846.2668007655471,2382.8092660721313,2594.9999907967695
680,7681.457361501429,846.2668001531224,1956.733681903503,2854.4999897848006
681,7681.457361242227,846.2667997148714,1448.0633229076316,3113.9999887730783
682,7681.45736098899,846.266799273156,939.3929651375037,3356.274688259643
683,7681.457360734076,846.2667988306331,430.72260919995114,3306.9733803116706
684,7681.457360473567,846.2667983920859,2.952463719892171e-07,2960.15268282199
685,7681.457357147427,846.2667947963099,125.13586238862248,2762.955777633574
686,7681.457353749117,846.2667911475505,447.844347964311,2614.1314892556657
687,7681.457350307445,846.2667874261218,828.4442383744315,2343.875854916432
688,7681.457346862854,846.2667837062062,1209.0441292153757,2190.742653822431
689,7681.45734300522,846.2667796271938,1506.672184860018,2072.5384440888415
690,7681.457339241213,846.2667755264414,1540.2189512058485,1851.507650690424
691,7681.457335452915,846.2667713924005,1556.278699378755,1606.971053297346
692,7681.457334744013,846.2667705092836,1463.8706364660409,1260.1503536222147
693,7681.457330965138,846.2667663674432,1514.8324757653897,1041.4680220813354
694,7681.457327686533,846.2667627342651,1774.2142632776888,876.5705950819416
695,7681.457321676882,846.2667561541655,2154.8142621384945,855.2229098096915
696,7681.457316537935,846.2667504457517,2535.41426071654,874.6423854092451
697,7681.457312587113,846.266745960377,2916.014259631755,844.5943071366157
698,7681.457310199821,846.2667431623584,3274.219268560082,693.6414000532261
699,7681.457309613871,846.2667423495107,2978.758705782922,346.82070037047765
700,7681.457309046817,846.2667415502293,2649.5889811176244,7.02344781082826e-07
701,7681.457307109889,846.2667392538247,2638.1200527396404,26.745741101148443
702,7681.457302068966,846.2667335840898,2852.0828665804925,225.03288189466394
703,7681.457296925967,846.2667279034476,3072.974274262674,416.75126980576283
704,7681.457290342589,846.2667207613596,3072.974319419364,601.3622725846965
705,7681.45728367886,846.2667136016306,3072.974362510114,782.9838026986996
706,7681.457277019439,846.2667064674586,3072.9744060922053,963.5859318520112
707,7681.457270338512,846.2666993711723,3072.9744456363014,1136.0014722882877
708,7681.457263652371,846.2666922793932,3072.9744849108915,1309.4449838924647
709,7681.4572569530355,846.2666851821305,3072.9745238583605,1481.1769096735954
710,7681.457250322784,846.2666781375136,3072.9745636184443,1651.2401213948417
711,7681.457243820041,846.2666712176798,3072.9746068025424,1819.6998507933474
712,7681.4572371642125,846.2666641734323,3072.974646361825,1986.6432632275496
713,7681.457230443125,846.2666570650673,3072.974685912374,2151.955066968294
714,7681.457228260424,846.2666545946848,2968.956805242956,2315.3371991826916
715,7681.457226105303,846.2666521085506,2603.329458885598,2477.01511928421
716,7681.457223940135,846.2666496153587,2293.911777023365,2638.349508364315
717,7681.457221887305,846.2666472560512,2091.9838602510545,2799.8996556256016
718,7681.45721656651,846.2666413757868,2091.9844222561633,2962.413301825919
719,7681.4572114526445,846.2666356542276,2357.948729307129,3126.4537442701185
720,7681.457205864376,846.266629378248,2357.9488221294405,3286.498403099452
721,7681.457200282333,846.2666230597222,2357.9489180227865,3441.648641332087
722,7681.457197314186,846.266619566672,2357.948918435641,3603.406849462873
723,7681.457195631525,846.2666175291241,2297.9561754553365,3751.780864393821
724,7681.457191984372,846.2666132917628,2394.4725655940174,3878.012189812363
725,7681.457188210039,846.2666089761723,2775.0725426128406,3984.675097186779
726,7681.457184440276,846.2666046885458,3155.6725196837797,3883.7546123633356
727,7681.457178887889,846.2665984626144,3214.1458727629624,3536.934028773949
728,7681.457178218515,846.2665975869464,3075.060176542018,3190.113329022686
729,7681.457177550454,846.2665967119336,2786.404961842952,2843.2926292738434
730,7681.457177314907,846.2665962647603,2277.7346026260234,2496.4719294714005
731,7681.457175161021,846.266593782553,2104.86380432062,2215.0586622651267
732,7681.457169018894,846.2665871542565,2104.8638614264173,2015.8555369060816
733,7681.457162886988,846.2665805218087,2104.8639265669826,2131.676802292287
734,7681.457157009666,846.2665741423552,2104.8640133492304,2285.4825500441398
735,7681.457151132559,846.2665677713517,2104.8640981015533,2443.825658513774
736,7681.45714522923,846.266561423354,2104.864180484622,2605.8498048018987
737,7681.457139058425,846.266554835204,2104.8642422409234,2760.0808395349018
738,7681.457131747988,846.2665470580708,2104.8642725776763,2917.9932589211185
739,7681.457124481976,846.2665392609556,2104.864303388452,3077.1276897157704
740,7681.457118347671,846.2665326425878,2104.864365278518,3237.1704607144893
741,7681.457112588714,846.2665264132879,2104.8644660698815,3397.9178101907714
742,7681.457106922097,846.2665202064959,2104.864566040934,3559.1855546645947
743,7681.457101323018,846.2665140240563,2104.8646632721548,3720.7418131473232
744,7681.457096341719,846.2665085054163,2485.464401070231,3888.0055738183128
745,7681.457091431386,846.266503046013,2866.0641784506106,4053.391227887677
746,7681.457086460861,846.2664975430896,3246.663925751063,4213.64349650681
747,7681.457082607024,846.2664932143932,3627.2639009949166,4384.81455892738
748,7681.457079193033,846.2664893728199,4007.8638844271545,4552.135117104511
749,7681.4570757666015,846.2664855443263,4388.463867884101,4718.9926264092255
750,7681.457071873314,846.2664812458313,4769.063843178338,4886.392527669508
751,7681.4570667492735,846.2664757616715,5149.663576164108,5055.072154814361
752,7681.457061726024,846.2664703004809,5530.263344456648,5223.80830406586
753,7681.45705668476,846.2664649468345,5910.863132561027,5396.881471639523
754,7681.457051623453,846.2664596042092,6291.462921295099,5578.621822400984
755,7681.457046618122,846.2664542665689,6672.062710998086,5763.291341523435
756,7681.457042779023,846.2664500719673,7049.828022927218,5951.2849834150065
757,7681.457039444214,846.2664463746006,7099.839999279546,6135.95564361786
758,7681.457038419639,846.2664451539916,7074.013422912835,6299.99999987158
759,7681.457038224764,846.2664447577106,6779.068826621932,6289.8247119040525
760,7681.457038016573,846.2664443575703,6270.398500110997,6064.514742800013
761,7681.457037762016,846.266443948022,5761.728174651189,5756.158174292413
762,7681.457037509657,846.2664435338517,5253.057848086495,5410.842391210709
763,7681.4570372573935,846.2664431213113,4744.387538881856,5064.02174302871
764,7681.457037004138,846.2664427093383,4235.717228261817,4717.201096237288
765,7681.45703674696,846.2664422987397,3727.0469167274578,4370.380450244176
766,7681.457036488883,846.2664418867726,3218.376604928911,4023.5598045016773
767,7681.457036228341,846.2664414766593,2709.7062927451607,3676.7391593409084
768,7681.457035994975,846.2664410894421,2649.057388532001,3518.183800869901
769,7681.457035763586,846.2664407015868,2589.2892676291367,3337.4464012814865
770,7681.457035532738,846.2664403117853,2528.7859566236375,3161.687278990236
