,Dinorwig,Ffestiniog,Cruachan,Foyers
46,4.6126657166159366e-06,4.8923268340105865e-06,4.3480874366718044e-07,141.8280209960355
47,7.753191892064203e-07,7.940125049825404e-07,3.2423615582290936e-05,139.10265369850967
48,8.222135949206963e-07,8.377301814247427e-07,74.96677593429125,132.5363832567009
49,8.225983751754359e-07,8.37653467456463e-07,25.551325652737848,126.70449717069864
50,8.279931821123051e-07,8.434549990367277e-07,155.027703367614,130.72888953123254
51,8.256022260725988e-07,8.438427211313593e-07,264.44382168077027,132.85606315530853
52,8.258502597347715e-07,8.453048303429833e-07,351.215168647558,133.4382449466624
53,8.2872485606617e-07,8.426533907787537e-07,328.66102785677845,129.34813846636249
54,8.319104225373953e-07,8.386200539091557e-07,186.49732601640915,122.52887301229445
55,8.326565913614563e-07,8.390844935323099e-07,299.7167673272773,125.6269169645684
56,8.358134101669246e-07,8.406870368888114e-07,359.9546611034855,128.85925650043177
57,8.393511962174803e-07,8.400535807116309e-07,365.01290335999977,128.08564504667288
58,8.363600610095452e-07,8.407004260834242e-07,369.8056954495905,121.85535773198468
59,8.353399180726911e-07,8.386319581881446e-07,371.25982773054,120.51333032362967
60,8.387020628994992e-07,8.365458498821807e-07,372.4273826154007,116.99254749185175
61,8.399066254293627e-07,8.353098662591729e-07,370.14322990105745,106.22579190975904
62,8.38344998940371e-07,8.321543568278242e-07,365.66172677387414,105.27362595430388
63,8.379135690898317e-07,8.284770357129294e-07,346.1048316322933,97.03340782445079
64,8.413290317169311e-07,8.288947276181052e-07,323.4478372872344,92.72924985906823
65,8.369025903868008e-07,8.320034168286764e-07,361.21402499234233,90.84311248382022
66,8.287467682009285e-07,8.337982790763979e-07,370.909090540863,88.69149331563663
67,8.31575428582707e-07,8.337086894442652e-07,283.33925477100155,85.84861848010914
68,8.332122462773826e-07,8.328674300212613e-07,196.00312293969534,83.26910352258778
69,5.807356824543959e-06,5.9249885244777345e-06,3.8611939720609874e-07,81.34889337031026
70,5.564757706373803e-06,5.738632883496415e-06,3.828055200877438e-07,72.06132224506177
71,0.00038669297924670814,0.00023457023165513184,2.4558101141529334e-07,70.79580181924445
72,3.036771661953051e-05,2.9345813150697612e-05,2.4400934944233675e-07,68.00066941346815
73,2.9837442838238334e-05,2.8830393319282424e-05,2.4251247074521443e-07,57.472744735142314
74,2.9447162701745785e-05,2.835396570644106e-05,2.4157458569859526e-07,58.64562527380448
75,2.8912088602756368e-05,2.786514637700735e-05,2.4067151608761147e-07,58.65672653366636
76,2.841290973949829e-05,2.74051384331665e-05,2.4111485617230895e-07,61.85093118433845
77,2.775329711417429e-05,2.6973928374432628e-05,2.415648479519272e-07,67.88393794294446
78,2.7884438485159334e-05,2.682479125577615e-05,2.396014847429598e-07,125.04763250386267
