,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley,Interconnector Deeside
54,0.0226562503125,0.0675,0.2940909,0.068333335
55,0.54890624375,0.0,0.54136366,0.0
56,0.705624969375,0.0,0.82,0.0
57,0.90375003125,0.0,0.49681818,0.0
58,0.9362499953125,0.0,0.5377273,0.0
59,0.9368750015625,0.0,0.0,0.0
60,0.9370312875,0.0,0.20590909,0.0
61,0.93671878125,0.0,0.30045456,0.0
62,0.9365624984375,0.0,0.67,0.0
63,0.92671877375,0.0,0.72227275,0.0
64,0.9368750359375,0.0,0.71363634,0.0
65,0.9431250296875,0.0,0.8831818,0.0
66,0.94328128125,0.0,0.90818185,0.0
67,0.9431250296875,0.0,0.88,0.0
68,0.94328128125,0.0,0.9590909,0.0
69,0.935937515625,0.0,0.9604545,0.0
70,0.5562500162499999,0.0,0.91,0.0025
71,0.2720312549999999,0.09916667,0.8031818,0.06916667
72,0.204375015625,0.0,0.33636364,0.0
73,0.2403124968749999,0.0,0.0,0.054166667
74,0.01937499953125,0.0291666669999999,0.0,0.30666667
75,0.0003124999968749,0.08166666,0.3018182,0.0175
76,0.0,0.07333333,0.0013636363,0.0
77,0.0,0.045,0.0,0.0
78,0.0,0.11,0.13636364,0.16416667
79,0.2154687562499999,0.0,0.39909092,0.4525
80,0.250624996875,0.0,0.5531818,0.1225
81,0.78281250625,0.135,0.0,0.21083333
82,0.85890625,0.055,0.7790909,0.034166668
83,0.8681250075,0.0,0.92,0.0
84,0.9354687428125,0.0,0.92136365,0.0
85,0.936875029375,0.0,0.8677273,0.0
86,0.9368750359375,0.0,0.86727273,0.0
87,0.9370312875,0.0,0.84818184,0.0
88,0.8917187478125002,0.0,0.8404545,0.0
89,0.9256250265625,0.0,0.90727276,0.0
90,0.943281236875,0.0,0.9086364,0.0
91,0.9434374884375,0.0,0.9590909,0.0
92,0.943437529375,0.0,0.9604545,0.0
93,0.94328128125,0.11833333,0.96,0.21833333
94,0.9374999978125,0.135,0.72227275,0.62916666
95,0.89093749375,0.135,0.37772727,0.79833335
96,0.664843733125,0.085,0.6381818,0.4866666800000001
97,0.6401562578125001,0.21,0.29818183,0.42166665
98,0.565625001875,0.20666666,0.0,0.7525
99,0.3693750046875,0.2191666699999999,0.0,0.84
100,0.0371875021875,0.22,0.0,0.84
101,0.0,0.22,0.0,0.84
102,0.0,0.22,0.0,0.84
103,0.0,0.22,0.0,0.84
104,0.0,0.22,0.0,0.84
