,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,117.062,1.8%,117.288,1.8%,117.504,1.8%,117.937,1.8%,118.38,1.8%,118.831,1.8%,119.393,1.8%,120.064,1.8%,120.763,1.7%,121.462,1.7%,122.401,1.7%,123.36,1.7%,124.319,1.7%,125.328,1.7%,126.336,1.7%,127.356,1.6%,128.422,1.6%,129.5,1.6%,130.596,1.6%,131.723,1.6%,132.859,1.6%,134.034,1.6%,135.219,1.5%,136.443,1.5%,137.688,1.5%,138.952,1.5%,140.245,1.5%,141.557,1.5%,142.9,1.5%,144.282,1.5%,145.674,1.4%,,,,,
Pelham,75.1926,,48.179,0.7%,48.412,0.7%,48.657,0.7%,49.141,0.7%,49.626,0.7%,50.122,0.8%,50.749,0.8%,51.496,0.8%,52.264,0.8%,53.042,0.8%,54.09,0.8%,55.169,0.8%,56.246,0.8%,57.365,0.8%,58.503,0.8%,59.662,0.8%,60.841,0.8%,62.05,0.8%,63.282,0.8%,64.541,0.8%,65.821,0.8%,67.123,0.8%,68.454,0.8%,69.805,0.8%,71.197,0.8%,72.608,0.8%,74.051,0.8%,75.525,0.8%,77.028,0.8%,78.562,0.8%,80.115,0.8%,,,,,
Sundon/East Claydon,106.11918,,273.362,4.2%,274.712,4.2%,276.064,4.2%,278.762,4.2%,281.499,4.2%,284.274,4.3%,287.746,4.3%,291.928,4.3%,296.226,4.3%,300.584,4.3%,306.412,4.3%,312.36,4.3%,318.449,4.3%,324.638,4.3%,330.936,4.3%,337.375,4.3%,343.967,4.4%,350.672,4.4%,357.527,4.4%,364.51,4.4%,371.624,4.4%,378.913,4.4%,386.345,4.4%,393.915,4.4%,401.614,4.4%,409.473,4.4%,417.529,4.4%,425.734,4.5%,434.089,4.5%,442.604,4.5%,451.299,4.5%,,,,,
Melksham,233.18009,,629.166,9.7%,632.229,9.7%,635.322,9.8%,641.438,9.8%,647.609,9.8%,653.914,9.8%,661.771,9.8%,671.295,9.8%,681.007,9.8%,690.879,9.8%,704.05,9.9%,717.463,9.9%,731.164,9.9%,745.115,9.9%,759.318,10.0%,773.82,10.0%,788.687,10.0%,803.868,10.0%,819.304,10.0%,835.031,10.0%,851.111,10.1%,867.575,10.1%,884.329,10.1%,901.425,10.1%,918.838,10.1%,936.595,10.2%,954.802,10.2%,973.354,10.2%,992.234,10.2%,1011.507,10.2%,1031.129,10.2%,,,,,
Bramley,76.73228,,2.616,0.0%,2.628,0.0%,2.64,0.0%,2.663,0.0%,2.686,0.0%,2.72,0.0%,2.745,0.0%,2.779,0.0%,2.824,0.0%,2.859,0.0%,2.905,0.0%,2.96,0.0%,3.015,0.0%,3.06,0.0%,3.117,0.0%,3.172,0.0%,3.228,0.0%,3.285,0.0%,3.351,0.0%,3.407,0.0%,3.474,0.0%,3.531,0.0%,3.598,0.0%,3.666,0.0%,3.723,0.0%,3.79,0.0%,3.869,0.0%,3.937,0.0%,4.006,0.0%,4.084,0.0%,4.153,0.0%,,,,,
London,142.44145,,14.52,0.2%,14.577,0.2%,14.656,0.2%,14.791,0.2%,14.929,0.2%,15.067,0.2%,15.235,0.2%,15.445,0.2%,15.66,0.2%,15.884,0.2%,16.158,0.2%,16.452,0.2%,16.745,0.2%,17.048,0.2%,17.373,0.2%,17.666,0.2%,18.004,0.2%,18.321,0.2%,18.66,0.2%,18.998,0.2%,19.348,0.2%,19.71,0.2%,20.074,0.2%,20.446,0.2%,20.829,0.2%,21.215,0.2%,21.615,0.2%,22.021,0.2%,22.429,0.2%,22.846,0.2%,23.286,0.2%,,,,,
Kemsley,65.51442,,70.731,1.1%,71.094,1.1%,71.445,1.1%,72.149,1.1%,72.871,1.1%,73.596,1.1%,74.5,1.1%,75.625,1.1%,76.749,1.1%,77.895,1.1%,79.459,1.1%,81.035,1.1%,82.641,1.1%,84.296,1.1%,85.982,1.1%,87.677,1.1%,89.433,1.1%,91.21,1.1%,93.027,1.1%,94.883,1.1%,96.769,1.1%,98.707,1.1%,100.664,1.2%,102.682,1.2%,104.73,1.2%,106.807,1.2%,108.946,1.2%,111.114,1.2%,113.333,1.2%,115.591,1.2%,117.9,1.2%,,,,,
Sellindge,47.47516,,212.879,3.3%,213.223,3.3%,213.577,3.3%,214.273,3.3%,214.98,3.2%,215.688,3.2%,216.586,3.2%,217.676,3.2%,218.786,3.2%,219.906,3.1%,221.427,3.1%,222.978,3.1%,224.549,3.0%,226.158,3.0%,227.799,3.0%,229.48,3.0%,231.193,2.9%,232.936,2.9%,234.717,2.9%,236.531,2.8%,238.374,2.8%,240.268,2.8%,242.203,2.8%,244.158,2.7%,246.163,2.7%,248.208,2.7%,250.294,2.7%,252.431,2.6%,254.6,2.6%,256.806,2.6%,259.062,2.6%,,,,,
Lovedean,122.52657,,0.347,0.0%,0.348,0.0%,0.349,0.0%,0.352,0.0%,0.354,0.0%,0.356,0.0%,0.358,0.0%,0.36,0.0%,0.364,0.0%,0.368,0.0%,0.371,0.0%,0.374,0.0%,0.377,0.0%,0.379,0.0%,0.384,0.0%,0.386,0.0%,0.39,0.0%,0.393,0.0%,0.398,0.0%,0.402,0.0%,0.404,0.0%,0.41,0.0%,0.415,0.0%,0.418,0.0%,0.423,0.0%,0.428,0.0%,0.432,0.0%,0.437,0.0%,0.442,0.0%,0.447,0.0%,0.453,0.0%,,,,,
S.W.Penisula,299.57007,,264.78,4.1%,266.015,4.1%,267.248,4.1%,269.612,4.1%,271.99,4.1%,274.517,4.1%,277.576,4.1%,281.18,4.1%,284.96,4.1%,288.79,4.1%,293.759,4.1%,298.798,4.1%,303.937,4.1%,309.177,4.1%,314.485,4.1%,319.905,4.1%,325.527,4.1%,331.279,4.1%,337.099,4.1%,343.031,4.1%,349.072,4.1%,355.344,4.1%,361.706,4.1%,368.191,4.1%,374.792,4.1%,381.508,4.1%,388.452,4.1%,395.525,4.1%,402.722,4.1%,410.034,4.1%,417.481,4.1%,,,,,
," 2,900.02 ",," 6,459.53 ",100%," 6,487.21 ",100%," 6,515.07 ",100%," 6,570.03 ",100%," 6,625.51 ",100%," 6,682.53 ",100%," 6,753.35 ",100%," 6,838.64 ",100%," 6,926.15 ",100%," 7,014.83 ",100%," 7,133.11 ",100%," 7,253.58 ",100%," 7,376.39 ",100%," 7,501.65 ",100%," 7,629.28 ",100%," 7,759.28 ",100%," 7,893.57 ",100%," 8,028.98 ",100%," 8,167.68 ",100%," 8,309.04 ",100%," 8,453.14 ",100%," 8,600.98 ",100%," 8,751.62 ",100%," 8,905.19 ",100%," 9,061.53 ",100%," 9,220.99 ",100%," 9,384.59 ",100%," 9,551.22 ",100%," 9,720.95 ",100%," 9,894.01 ",100%," 10,070.31 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
