,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Pelham,75.1926,,70.989,7.0%,71.23,6.9%,71.487,6.6%,84.368,6.8%,84.681,5.6%,85.063,5.3%,85.516,5.0%,86.065,4.6%,86.702,4.3%,87.411,4.2%,145.192,6.5%,146.061,6.4%,147.021,6.3%,148.06,6.0%,149.175,5.3%,150.368,4.7%,151.645,4.2%,152.993,3.9%,154.418,3.7%,204.421,4.6%,239.302,4.8%,240.97,4.5%,318.705,5.6%,320.517,5.4%,367.908,5.8%,369.875,5.5%,371.921,5.3%,374.043,5.2%,376.244,5.1%,378.521,4.9%,380.876,4.8%,,,,,
Sundon/East Claydon,106.11918,,66.512,6.5%,67.167,6.5%,67.869,6.3%,120.635,9.7%,121.485,8.1%,122.529,7.7%,170.761,10.0%,172.254,9.2%,223.891,11.1%,225.82,10.9%,227.946,10.2%,230.311,10.1%,232.926,9.9%,301.351,12.1%,304.389,10.8%,399.64,12.5%,403.111,11.2%,406.782,10.5%,422.863,10.1%,476.454,10.7%,510.757,10.2%,520.396,9.8%,525.12,9.3%,580.058,9.8%,592.403,9.3%,597.76,8.9%,614.727,8.8%,620.506,8.6%,726.494,9.8%,732.698,9.6%,739.107,9.4%,,,,,
Melksham,233.18009,,40.5,4.0%,41.526,4.0%,42.621,4.0%,43.821,3.5%,125.049,8.3%,126.681,8.0%,178.61,10.4%,180.942,9.7%,183.658,9.1%,186.675,9.0%,242.6,10.9%,246.298,10.7%,250.388,10.7%,254.804,10.2%,270.955,9.6%,305.536,9.6%,341.966,9.5%,354.707,9.1%,367.974,8.8%,396.374,8.9%,558.202,11.2%,567.3,10.7%,580.889,10.3%,628.108,10.6%,687.152,10.8%,700.53,10.5%,709.237,10.2%,718.274,9.9%,727.638,9.8%,737.336,9.6%,752.665,9.5%,,,,,
Bramley,76.73228,,1.482,0.1%,1.716,0.2%,1.965,0.2%,2.238,0.2%,2.541,0.2%,2.913,0.2%,3.352,0.2%,3.884,0.2%,4.502,0.2%,5.19,0.2%,5.946,0.3%,6.789,0.3%,7.721,0.3%,8.727,0.4%,39.809,1.4%,40.966,1.3%,62.204,1.7%,63.511,1.6%,82.893,2.0%,84.351,1.9%,85.884,1.7%,117.5,2.2%,119.184,2.1%,120.942,2.0%,122.774,1.9%,124.683,1.9%,151.666,2.2%,153.725,2.1%,155.858,2.1%,158.067,2.1%,160.351,2.0%,,,,,
London,142.44145,,26.41,2.6%,27.066,2.6%,27.761,2.6%,28.528,2.3%,123.375,8.2%,124.417,7.8%,125.647,7.3%,127.135,6.8%,128.866,6.4%,130.79,6.3%,132.91,6.0%,135.269,5.9%,137.879,5.9%,140.696,5.7%,149.722,5.3%,200.463,6.3%,203.928,5.7%,209.987,5.4%,233.859,5.6%,237.942,5.3%,242.232,4.8%,253.957,4.8%,258.669,4.6%,263.594,4.4%,268.722,4.2%,274.068,4.1%,279.619,4.0%,285.379,3.9%,291.354,3.9%,297.542,3.9%,303.93,3.8%,,,,,
Kemsley,65.51442,,37.321,3.7%,37.604,3.6%,37.906,3.5%,71.534,5.7%,71.901,4.8%,90.451,5.7%,90.981,5.3%,91.623,4.9%,92.37,4.6%,93.202,4.5%,94.118,4.2%,95.136,4.2%,96.261,4.1%,97.478,3.9%,98.787,3.5%,104.986,3.3%,106.481,3.0%,155.061,4.0%,156.734,3.8%,158.495,3.5%,179.348,3.6%,205.102,3.9%,207.137,3.7%,209.262,3.5%,211.478,3.3%,254.185,3.8%,260.381,3.7%,262.871,3.6%,265.449,3.6%,268.12,3.5%,270.88,3.4%,,,,,
Sellindge,47.47516,,47.643,4.7%,47.953,4.6%,48.285,4.5%,48.649,3.9%,49.051,3.3%,49.545,3.1%,50.129,2.9%,50.838,2.7%,51.659,2.6%,52.574,2.5%,53.581,2.4%,54.7,2.4%,55.939,2.4%,57.279,2.3%,58.718,2.1%,60.256,1.9%,61.902,1.7%,63.641,1.6%,65.478,1.6%,67.418,1.5%,69.456,1.4%,121.508,2.3%,123.746,2.2%,126.083,2.1%,179.12,2.8%,181.659,2.7%,184.296,2.6%,187.035,2.6%,189.871,2.6%,192.81,2.5%,195.847,2.5%,,,,,
Lovedean,122.52657,,9.872,1.0%,10.347,1.0%,10.857,1.0%,11.412,0.9%,12.028,0.8%,45.085,2.8%,45.979,2.7%,47.062,2.5%,48.323,2.4%,49.723,2.4%,51.265,2.3%,52.981,2.3%,54.878,2.3%,56.929,2.3%,93.333,3.3%,100.689,3.2%,104.709,2.9%,132.373,3.4%,142.087,3.4%,154.556,3.5%,204.277,4.1%,212.773,4.0%,266.101,4.7%,269.681,4.6%,273.414,4.3%,277.302,4.1%,281.341,4.0%,291.833,4.0%,296.178,4.0%,300.677,3.9%,305.329,3.9%,,,,,
S.W.Penisula,299.57007,,35.112,3.4%,36.411,3.5%,37.798,3.5%,39.315,3.2%,41,2.7%,43.062,2.7%,45.505,2.7%,48.46,2.6%,51.896,2.6%,55.718,2.7%,59.927,2.7%,64.606,2.8%,69.784,3.0%,75.379,3.0%,131.393,4.7%,166.822,5.2%,243.197,6.8%,253.464,6.5%,261.146,6.3%,284.746,6.4%,293.264,5.9%,322.25,6.1%,331.604,5.9%,341.374,5.8%,363.562,5.7%,474.166,7.1%,485.19,7.0%,521.63,7.2%,533.484,7.2%,545.759,7.1%,658.452,8.3%,,,,,
," 2,900.02 ",," 1,019.24 ",100%," 1,035.71 ",100%," 1,077.12 ",100%," 1,247.14 ",100%," 1,505.50 ",100%," 1,591.11 ",100%," 1,710.82 ",100%," 1,868.22 ",100%," 2,014.99 ",100%," 2,079.05 ",100%," 2,227.81 ",100%," 2,291.36 ",100%," 2,350.24 ",100%," 2,487.90 ",100%," 2,809.36 ",100%," 3,194.00 ",100%," 3,584.08 ",100%," 3,883.87 ",100%," 4,170.95 ",100%," 4,472.84 ",100%," 5,005.99 ",100%," 5,307.22 ",100%," 5,649.14 ",100%," 5,924.96 ",100%," 6,343.34 ",100%," 6,699.13 ",100%," 6,969.68 ",100%," 7,227.42 ",100%," 7,437.76 ",100%," 7,671.98 ",100%," 7,897.71 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
