,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,20.53,2.0%,21.077,1.8%,21.638,1.8%,22.211,1.8%,22.8,1.5%,23.4,1.4%,24.057,1.2%,24.822,1.1%,25.636,1.1%,26.517,1.0%,27.488,1.0%,28.578,1.0%,29.715,0.9%,30.932,0.9%,32.205,0.8%,33.547,0.8%,34.956,0.8%,131.434,2.7%,170.98,3.1%,174.322,3.1%,276.074,4.7%,277.824,4.5%,279.666,4.4%,281.576,4.3%,283.588,4.1%,333.111,4.8%,335.203,4.7%,337.404,4.6%,339.633,4.6%,341.929,4.5%,344.293,4.5%,,,,,
Pelham,75.1926,,70.989,7.0%,71.227,6.1%,71.471,5.8%,71.722,5.8%,141.579,9.5%,141.841,8.3%,142.128,6.9%,142.462,6.2%,142.817,6.0%,143.202,5.5%,143.626,5.4%,144.103,5.2%,239.598,7.6%,259.13,7.3%,259.686,6.7%,260.272,6.3%,346.388,7.7%,347.034,7.0%,347.709,6.4%,382.468,6.8%,383.233,6.5%,383.996,6.3%,479.701,7.5%,480.535,7.3%,481.414,7.0%,482.298,6.9%,483.212,6.8%,493.672,6.7%,494.645,6.7%,495.648,6.6%,496.681,6.5%,,,,,
Sundon/East Claydon,106.11918,,66.512,6.5%,67.162,5.8%,114.829,9.3%,115.511,9.3%,121.209,8.2%,121.923,7.2%,235.303,11.3%,286.114,12.5%,287.082,12.1%,288.129,11.2%,289.284,10.8%,290.578,10.5%,291.93,9.3%,293.377,8.3%,294.89,7.6%,407.785,9.8%,454.962,10.1%,594.218,12.0%,695.856,12.8%,749.83,13.3%,751.912,12.8%,803.492,13.1%,805.683,12.6%,807.952,12.3%,810.345,11.9%,812.75,11.6%,815.239,11.4%,817.855,11.2%,820.504,11.1%,823.234,10.9%,826.046,10.8%,,,,,
Melksham,233.18009,,40.5,4.0%,41.517,3.6%,42.557,3.5%,43.625,3.5%,44.719,3.0%,45.837,2.7%,176.955,8.5%,230.979,10.1%,232.492,9.8%,234.131,9.1%,235.934,8.8%,237.963,8.6%,395.177,12.5%,397.438,11.2%,399.803,10.4%,402.296,9.7%,404.917,8.9%,407.665,8.2%,446.539,8.2%,452.754,8.0%,456.008,7.7%,459.26,7.5%,462.685,7.2%,466.237,7.1%,469.977,6.9%,473.741,6.8%,497.629,7.0%,501.72,6.9%,505.862,6.8%,510.132,6.8%,517.251,6.8%,,,,,
Bramley,76.73228,,1.482,0.1%,1.714,0.1%,1.951,0.2%,2.194,0.2%,2.443,0.2%,2.698,0.2%,2.975,0.1%,3.3,0.1%,3.645,0.2%,4.017,0.2%,4.428,0.2%,4.89,0.2%,55.272,1.8%,55.787,1.6%,86.326,2.2%,86.894,2.1%,87.491,1.9%,88.117,1.8%,106.771,2.0%,108.187,1.9%,108.928,1.8%,109.67,1.8%,110.449,1.7%,111.259,1.7%,112.11,1.6%,112.967,1.6%,113.853,1.6%,114.785,1.6%,115.729,1.6%,116.702,1.6%,117.703,1.5%,,,,,
London,142.44145,,26.41,2.6%,27.057,2.3%,27.722,2.3%,28.406,2.3%,29.096,2.0%,123.813,7.3%,124.591,6.0%,125.499,5.5%,126.465,5.3%,127.506,4.9%,128.659,4.8%,129.954,4.7%,131.301,4.2%,132.741,3.7%,134.25,3.5%,183.341,4.4%,185.015,4.1%,281.768,5.7%,283.6,5.2%,337.064,6.0%,339.139,5.8%,441.213,7.2%,443.395,6.9%,483.663,7.3%,486.047,7.1%,488.444,7.0%,538.326,7.5%,540.933,7.4%,543.577,7.3%,546.3,7.3%,549.103,7.2%,,,,,
Kemsley,65.51442,,37.321,3.7%,37.6,3.2%,37.887,3.1%,38.182,3.1%,71.783,4.8%,72.09,4.2%,90.525,4.4%,90.916,4.0%,91.334,3.8%,91.785,3.6%,92.281,3.4%,92.841,3.3%,93.422,3.0%,94.046,2.7%,189.697,4.9%,190.383,4.6%,246.304,5.4%,294.061,5.9%,438.153,8.1%,439.865,7.8%,459.761,7.8%,460.658,7.5%,461.6,7.2%,462.577,7.0%,563.607,8.2%,571.743,8.2%,576.615,8.1%,577.741,7.9%,578.882,7.8%,580.057,7.7%,581.269,7.6%,,,,,
Sellindge,47.47516,,47.643,4.7%,47.951,4.1%,48.267,3.9%,48.589,3.9%,48.921,3.3%,49.259,2.9%,49.628,2.4%,50.06,2.2%,50.518,2.1%,145.914,5.7%,146.46,5.5%,147.075,5.3%,147.715,4.7%,148.401,4.2%,149.118,3.9%,149.873,3.6%,150.668,3.3%,151.5,3.1%,152.371,2.8%,154.253,2.7%,155.239,2.6%,206.124,3.4%,207.162,3.2%,208.238,3.2%,255.972,3.7%,257.11,3.7%,258.289,3.6%,259.528,3.5%,260.784,3.5%,262.076,3.5%,263.409,3.5%,,,,,
Lovedean,122.52657,,9.872,1.0%,10.343,0.9%,17.126,1.4%,17.621,1.4%,18.129,1.2%,18.648,1.1%,51.513,2.5%,52.173,2.3%,52.875,2.2%,53.636,2.1%,54.471,2.0%,55.413,2.0%,56.394,1.8%,57.442,1.6%,92.741,2.4%,93.898,2.3%,95.114,2.1%,111.389,2.3%,119.623,2.2%,122.505,2.2%,220.516,3.7%,222.025,3.6%,271.015,4.2%,272.661,4.1%,274.396,4.0%,276.142,4.0%,277.946,3.9%,279.845,3.8%,281.767,3.8%,283.747,3.8%,285.788,3.7%,,,,,
S.W.Penisula,299.57007,,35.112,3.4%,36.4,3.1%,37.716,3.1%,39.07,3.1%,40.453,2.7%,41.867,2.5%,43.413,2.1%,45.212,2.0%,47.13,2.0%,49.202,1.9%,101.486,3.8%,104.055,3.8%,106.728,3.4%,109.594,3.1%,112.588,2.9%,115.745,2.8%,188.565,4.2%,192.039,3.9%,195.68,3.6%,203.545,3.6%,207.666,3.5%,211.786,3.5%,216.122,3.4%,220.616,3.3%,225.35,3.3%,280.114,4.0%,285.036,4.0%,290.217,4.0%,295.46,4.0%,300.865,4.0%,306.43,4.0%,,,,,
," 2,900.02 ",," 1,019.24 ",100%," 1,165.20 ",100%," 1,231.87 ",100%," 1,244.44 ",100%," 1,483.62 ",100%," 1,701.69 ",100%," 2,074.25 ",100%," 2,289.51 ",100%," 2,377.44 ",100%," 2,580.53 ",100%," 2,680.27 ",100%," 2,774.17 ",100%," 3,149.07 ",100%," 3,544.31 ",100%," 3,861.28 ",100%," 4,149.26 ",100%," 4,525.84 ",100%," 4,947.60 ",100%," 5,433.15 ",100%," 5,639.15 ",100%," 5,893.00 ",100%," 6,130.71 ",100%," 6,413.36 ",100%," 6,593.18 ",100%," 6,833.74 ",100%," 6,982.66 ",100%," 7,149.67 ",100%," 7,322.36 ",100%," 7,421.16 ",100%," 7,521.46 ",100%," 7,627.17 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
