name,East Anglia 3 (EA 3),Hornsea 3,The East Anglia Array - Norfolk Vanguard,Hornsea 2 - Optimus and Breesea,Dogger Bank C (was Teesside A),Inch Cape,Triton Knoll ,MacColl Offshore Windfarm (Moray East),Telford Offshore Windfarm (Moray East),Stevenson Offshore Windfarm (Moray East),Seagreen Phase 1 (Alpha),Dogger Bank A & B (was Creyke Beck A & B),Forth of Firth (Methil),Kincardine Offshore Windfarm,Moray Firth 2 (West),Dounreay Trì Floating Wind Demonstration,Neart na Gaoithe (Resubmission),The East Anglia Array - Norfolk Boreas,Sofia (Teesside B)
2018-07-14 11:00:00,60.285104274749756,570.7977022443499,160.71056311471125,380.5671977996827,461.6450827462333,227.19044418334963,70.95510373524259,23.797948620659962,98.40182871477946,68.12163516453334,236.28134429454806,847.3684583391462,7.849883725822449,24.287304221153263,179.2674609592983,4.285233146858215,52.4063938685826,181.82787997055053,538.5859298706056
2018-07-14 12:00:00,85.08889436721803,654.4711467197964,216.33990424019956,409.98455047607433,570.6501143319266,218.16063003540037,91.95610775266375,17.55851996949741,54.06103690011162,43.037797750745504,289.9962204694748,957.701633998326,9.150162030033112,34.19834996414185,113.25736250196185,4.034205410194397,42.201062474931994,240.10446107482915,665.758466720581
2018-07-14 13:00:00,102.95522689819336,806.4619445800781,267.7031952994211,445.08595466613775,652.489573614938,260.82737426757814,128.32909578595846,30.154746739523755,76.77887338910784,28.36991419383458,319.94761168956757,1089.0017018999374,12.152120571783065,40.74332195568085,74.65766893114363,4.156300346565247,53.15540518079486,284.7503182983399,761.2378358840942
2018-07-14 14:00:00,84.27081060409546,987.5372968401228,253.37024280003146,486.2835693359376,626.9951289040702,339.50149269104,136.7341975620815,39.80746020453318,114.60706958259856,23.83359523500715,379.64680194854736,1111.7633710588727,15.761874281173705,44.976828856468195,62.71998746054513,3.694580571365356,82.37590210778373,272.03423648071293,731.4943170547485
2018-07-14 15:00:00,77.95236492156982,1102.021359034947,243.93401690891815,517.3564720153809,492.60226658412387,381.51632347106937,121.46439809118002,4.030310560124261,55.6593524490084,29.737513114384242,464.8674130439758,978.5406957353864,16.157237907882692,50.0,78.2566134589059,3.211848480415344,106.82179416928973,264.14544542884823,574.7026443481445
2018-07-14 16:00:00,91.73673868179321,1171.023338862828,280.9819752829416,550.8217239379883,345.4129682268415,453.03196296691897,121.58380545888629,0.0,12.50697319660868,37.030493038722454,491.0925793647766,765.8018875122071,16.216038702632904,50.0,97.44866589137486,2.989596664905548,155.22611822400773,296.5318401489258,402.9817962646485
2018-07-14 17:00:00,103.49149703979492,1333.031804221017,309.95798655918674,691.7791557312013,336.0016332353864,501.7414142608642,147.29521121297566,0.0,6.3683699129308975,25.74347446714129,458.1887555122376,778.6913517543248,14.847512430837634,50.0,67.7459854398455,2.689920921993256,228.2910827228001,322.23914675903325,392.0019054412842
2018-07-14 18:00:00,137.4914436340332,1514.3080820356097,362.57880755833224,853.4377908706665,412.3706899370466,540.5752964019775,227.76632556915288,0.0,2.4010503683771405,46.86309119633266,412.47096061706543,795.6127003261022,12.25832399018097,50.0,123.32392420087542,2.5156991269111635,281.80771095412115,368.92400207519535,481.09913825988775
2018-07-14 19:00:00,139.24132919311523,1716.3031441824776,339.4473511832101,996.5873575210574,487.94615200587685,531.8145351409911,312.7868466241019,0.029086928537913732,2.9515037829535347,44.140584911618916,384.99205112457275,909.086903163365,9.95208600874424,46.69848918914795,116.15943397794452,2.652398669242859,267.3148804051536,348.40196356201176,569.270510673523
2018-07-14 20:00:00,147.42800903320312,1995.4372950962609,302.71361895969943,1166.8703079223633,510.3405230385917,448.7147720336914,450.3500800711768,0.0,3.3292756155558996,39.42846714837211,337.52282381057734,1043.2067952837263,7.277740692782403,38.21575730514526,103.75912407466343,2.4231656198501588,234.6486798354558,315.8119920959473,595.3972768783569
