,Grid
172,-10.5
173,-12.850000000000001
174,-14.300000000000004
175,-14.5
176,45.4952381
177,55.9952381
178,63.595238099999996
179,63.795238100000006
180,57.6952381
181,50.5452381
182,-62.4547619
183,-5.899999999999999
184,-11.450000000000003
185,-13.799999999999997
186,-8.0
187,-13.650000000000006
188,-10.099999999999994
189,-14.799999999999997
190,-3.1500000000000057
191,-12.200000000000003
192,-22.7
193,-12.5
194,-12.200000000000003
195,-25.55
196,-17.25
197,-27.349999999999998
198,-17.35
199,-23.75
200,-19.15
201,-25.85
202,-22.3
203,-18.5
204,-28.15
205,-21.65
206,-27.85
207,-23.75
208,-24.4
209,-19.55
210,-19.15
211,-9.050000000000004
212,-13.25
213,-12.200000000000003
214,-12.200000000000003
215,-13.25
216,-16.4
217,-12.200000000000003
218,-8.0
219,-11.150000000000006
220,-11.800000000000004
221,-14.700000000000003
222,-15.350000000000001
223,-5.049999999999997
224,-0.7047619000000012
225,11.495238099999995
226,20.29523809999999
227,19.445238099999997
228,7.695238099999997
229,2.1452381000000003
230,-62.9547619
231,-9.349999999999994
232,-13.25
233,-16.4
234,-5.899999999999999
235,-14.300000000000004
236,-12.200000000000003
237,-23.75
238,-9.050000000000004
239,-29.1
240,-27.95
241,-14.300000000000004
242,-14.300000000000004
243,-24.8
244,-22.7
245,-24.8
246,-24.3
247,-26.5
248,-22.7
249,-27.95
250,-29.0
251,-11.150000000000006
252,-17.35
253,-8.0
254,-14.300000000000004
255,-3.799999999999997
256,-12.299999999999997
257,-7.599999999999994
258,-13.25
259,-8.899999999999999
260,-8.0
261,-11.150000000000006
262,-13.25
263,-12.0
264,-15.200000000000003
265,-11.899999999999999
266,-12.700000000000003
267,-12.700000000000003
268,-10.099999999999994
269,-18.0
270,-12.200000000000003
271,-3.799999999999997
272,-9.1047619
273,4.1452381
274,1.8952381000000003
275,8.745238100000002
276,2.4452380999999974
277,-4.904761899999997
278,-67.3047619
279,-10.099999999999994
280,-9.25
281,-15.350000000000001
282,-9.800000000000004
283,-17.450000000000003
284,-8.0
285,-16.4
286,-22.7
287,-22.7
288,-22.7
289,-22.7
