,Heat_Pump
342,2.316474987
343,2.31066686
344,2.304858733
345,2.2985722385000003
346,2.292285744
347,2.287369972
348,2.2824542
349,2.2687343085
350,2.255014417
351,2.2445022925
352,2.233990168
353,2.240458821
354,2.246927474
355,2.260555132
356,2.27418279
357,2.288742516
358,2.303302242
359,2.314774676
360,2.32624711
361,2.3290708415
362,2.331894573
363,2.320249017
364,2.308603461
365,2.2810545305
366,2.2535056
367,2.233732813
368,2.213960026
369,2.2026667525
370,2.191373479
371,2.1833483769999997
372,2.175323275
373,2.1695345755
374,2.163745876
375,2.1621018115000004
376,2.160457747
377,2.1542181955000004
378,2.147978644
379,2.13875495
380,2.129531256
381,2.1234515365
382,2.117371817
383,2.1111319660000003
384,2.104892115
385,2.0994862945
386,2.094080474
387,2.09225883
388,2.090437186
389,2.095199373
390,2.09996156
391,2.1056807685
392,2.111399977
393,2.110964644
394,2.110529311
395,2.1112134185
396,2.111897526
397,2.1084155410000003
398,2.104933556
399,2.106612139
400,2.108290722
401,2.1231680685
402,2.138045415
403,2.155809468
404,2.173573521
405,2.18589494
406,2.198216359
407,2.207300072
408,2.216383785
409,2.2196026055
410,2.222821426
411,2.2099346195000003
412,2.197047813
413,2.1754450820000004
414,2.153842351
415,2.1405036180000003
416,2.127164885
417,2.124135242
418,2.121105599
419,2.1187616985
420,2.116417798
421,2.12013109
422,2.123844382
423,2.1346227425000004
424,2.145401103
425,2.1542821065
426,2.16316311
427,2.1734942425000003
428,2.183825375
429,2.1926070109999998
430,2.201388647
431,2.209387748
432,2.217386849
433,2.2249352865
434,2.232483724
435,2.238846938
436,2.245210152
437,2.2513488595
438,2.257487567
439,2.2641564315
440,2.270825296
441,2.2746450544999997
442,2.278464813
443,2.2818666465
444,2.28526848
445,2.2894706510000002
446,2.293672822
447,2.2995182009999997
448,2.30536358
449,2.316500632
450,2.327637684
451,2.4743423335
452,2.621046983
453,2.6341521775
454,2.647257372
455,2.6571364765
456,2.667015581
457,2.6680041995
458,2.668992818
459,2.6544120005
460,2.639831183
461,2.4778794015
462,2.31592762
463,2.3042958220000003
464,2.292664024
465,2.2904157045
466,2.288167385
467,2.2858778135
468,2.283588242
469,2.282622235
470,2.281656228
471,2.2811522795
472,2.280648331
473,2.2852692745
474,2.289890218
475,2.2935682374999997
476,2.297246257
477,2.300758013
478,2.304269769
479,2.3062682915
480,2.308266814
481,2.3072359235
482,2.306205033
483,2.30347078
484,2.300736527
485,2.2993698165
486,2.298003106
487,2.300189976
488,2.302376846
489,2.3060793195000002
490,2.309781793
491,2.3092557495
492,2.308729706
493,2.3046910599999997
494,2.300652414
495,2.292204335
496,2.283756256
497,2.2932558325
498,2.302755409
499,2.319896876
500,2.337038343
501,2.48157738
502,2.626116417
503,2.6342896255
504,2.642462834
505,2.6465292385
506,2.650595643
507,2.6456128359999997
508,2.640630029
509,2.491385955
510,2.342141881
511,2.3400961715
512,2.338050462
513,2.477648243
514,2.617246024
515,2.6280922149999997
516,2.638938406
517,2.6437090795
518,2.648479753
519,2.649772817
520,2.651065881
521,2.651982915
522,2.652899949
523,2.65776914
524,2.662638331
525,2.670831261
526,2.679024191
527,2.6858819565
528,2.692739722
529,2.700217237
530,2.707694752
531,2.6996985645000002
532,2.691702377
533,2.673500529
534,2.655298681
535,2.649985287
536,2.644671893
537,2.6457295729999997
538,2.646787253
539,2.646693231
540,2.646599209
541,2.6460351015
542,2.645470994
543,2.6472104595
544,2.648949925
545,2.6494436300000004
546,2.649937335
547,2.652900239
548,2.655863143
549,2.6616982735
550,2.667533404
551,2.6726899305
552,2.677846457
553,2.6834543195
554,2.689062182
555,2.7005735765
556,2.712084971
557,2.7251742859999997
558,2.738263601
559,2.7478466685000003
560,2.757429736
561,2.7607925575000003
562,2.764155379
563,2.7624027394999997
564,2.7606501
565,2.7566016085
566,2.752553117
567,2.74907454
568,2.745595963
569,2.7435852595
570,2.741574556
571,2.7406521745
572,2.739729793
573,2.74176391
574,2.743798027
575,2.7454067804999998
576,2.747015534
577,2.7469445525
578,2.746873571
579,2.7469208920000003
580,2.746968213
581,2.7474177765
582,2.74786734
583,2.7484115835000003
584,2.748955827
585,2.7507308029999997
586,2.752505779
587,2.7560332814999997
588,2.759560784
589,2.761668588
590,2.763776392
591,2.7608871895
592,2.757997987
593,2.746853956
594,2.735709925
595,2.724062697
596,2.712415469
597,2.7076011115
598,2.702786754
599,2.697763238
600,2.692739722
601,2.6850340025
602,2.677328283
603,2.6677482665000003
604,2.65816825
605,2.6455467635
606,2.632925277
607,2.6260710245
608,2.619216772
609,2.616565939
610,2.613915106
611,2.6108666275
612,2.607818149
613,2.4736723769999998
614,2.339526605
615,2.3371439780000003
616,2.334761351
617,2.3325692315
618,2.330377112
619,2.3255737964999996
620,2.320770481
621,2.317443869
622,2.314117257
623,2.3130859189999997
624,2.312054581
625,2.3090246225
626,2.305994664
627,2.3014312565
628,2.296867849
629,2.289451029
630,2.282034209
631,2.2716056955
632,2.261177182
633,2.253821945
634,2.246466708
635,2.2379690275
636,2.229471347
637,2.2273172525
638,2.225163158
639,2.2258741415000003
640,2.226585125
641,2.2344318875
642,2.24227865
643,2.2583146684999997
644,2.274350687
645,2.287312298
646,2.300273909
647,2.3112172005
648,2.322160492
649,2.330274172
650,2.338387852
651,2.3373968295
652,2.336405807
653,2.3208846935
654,2.30536358
655,2.2923970679999996
656,2.279430556
657,2.278024027
658,2.276617498
659,2.2865534745
660,2.296489451
661,2.310420277
662,2.324351103
663,2.4658736230000002
664,2.607396143
665,2.6181178679999997
666,2.628839593
667,2.635251742
668,2.641663891
669,2.6473994965
670,2.653135102
671,2.6579337775
672,2.662732453
673,2.6660980395
674,2.669463626
675,2.6708762045
676,2.672288783
677,2.6743139365
678,2.67633909
679,2.679966876
680,2.683594662
681,2.688992425
682,2.694390188
683,2.6997917759999996
684,2.705193364
685,2.7078129769999997
686,2.71043259
687,2.709795304
688,2.709158018
689,2.7078600075
690,2.706561997
691,2.7075767864999998
692,2.708591576
693,2.7102910605
694,2.711990545
695,2.7127932105
696,2.713595876
697,2.711140929
698,2.708685982
699,2.704037908
700,2.699389834
701,2.6922227255
702,2.685055617
703,2.6770948380000004
704,2.669134059
705,2.6659097255
706,2.662685392
707,2.665486012
708,2.668286632
709,2.6738674145
710,2.679448197
711,2.6846087645
712,2.689769332
713,2.6915610315
714,2.693352731
715,2.6935177775000003
716,2.693682824
717,2.691985377
718,2.69028793
719,2.6871297995
720,2.683971669
721,2.6823459785
722,2.680720288
723,2.6817804814999997
724,2.682840675
725,2.6861871434999998
726,2.689533612
727,2.6935418815
