,Heat_Demand,Elec_Demand
480,0.4978,0.361
481,0.4418,0.3365
482,0.38580000000000003,0.312
483,0.34114999999999995,0.289
484,0.2965,0.266
485,0.31685,0.246
486,0.3372,0.226
487,0.3669,0.2085
488,0.3966,0.191
489,0.43539999999999995,0.1785
490,0.4742,0.166
491,0.5136000000000001,0.1635
492,0.553,0.161
493,0.821,0.169
494,1.089,0.177
495,1.2195,0.1885
496,1.35,0.2
497,1.355,0.212
498,1.36,0.224
499,1.315,0.2355
500,1.27,0.247
501,1.0020499999999999,0.258
502,0.7341,0.269
503,0.60805,0.2795
504,0.482,0.29
505,0.48269999999999996,0.296
506,0.4834,0.302
507,0.525,0.302
508,0.5666,0.302
509,0.5938,0.3025
510,0.621,0.303
511,0.8715,0.308
512,1.122,0.313
513,1.226,0.326
514,1.33,0.339
515,1.3915,0.3535
516,1.453,0.368
517,1.476,0.3795
518,1.499,0.391
519,1.27,0.4
520,1.041,0.409
521,0.942,0.416
522,0.843,0.423
523,0.78325,0.4235
524,0.7235,0.424
525,0.65265,0.414
526,0.5818,0.404
527,0.5260499999999999,0.384
528,0.4703,0.364
529,0.42010000000000003,0.3405
530,0.36989999999999995,0.317
531,0.32095,0.2945
532,0.272,0.272
533,0.27595,0.252
534,0.2799,0.232
535,0.28945,0.2145
536,0.299,0.197
537,0.3143,0.1845
538,0.3296,0.172
539,0.35370000000000007,0.1675
540,0.3778,0.163
541,0.6266,0.165
542,0.8754,0.167
543,1.0002,0.177
544,1.125,0.187
545,1.11,0.2005
546,1.095,0.214
547,1.074,0.2285
548,1.053,0.243
549,0.8132,0.2565
550,0.5734,0.27
551,0.46044999999999997,0.2835
552,0.3475,0.297
553,0.37495,0.308
554,0.4024,0.319
555,0.42604999999999993,0.3255
556,0.4497,0.332
557,0.46545,0.3345
558,0.48119999999999996,0.337
559,0.7166,0.3405
560,0.952,0.344
561,1.0535,0.353
562,1.155,0.362
563,1.218,0.374
564,1.281,0.386
565,1.3055,0.3945
566,1.33,0.403
567,1.1114000000000002,0.4085
568,0.8927999999999999,0.414
569,0.79725,0.4175
570,0.7017,0.421
571,0.64365,0.4205
572,0.5856,0.42
573,0.5327000000000001,0.411
574,0.4798,0.402
575,0.44120000000000004,0.3825
576,0.4026,0.363
577,0.36920000000000003,0.339
578,0.3358,0.315
579,0.3039,0.293
580,0.272,0.271
581,0.27595,0.252
582,0.2799,0.233
583,0.28945,0.2165
584,0.299,0.2
585,0.3143,0.187
586,0.3296,0.174
587,0.35370000000000007,0.167
588,0.3778,0.16
589,0.6266,0.161
590,0.8754,0.162
591,1.0002,0.17
592,1.125,0.178
593,1.11,0.1915
594,1.095,0.205
595,1.074,0.221
596,1.053,0.237
597,0.8132,0.2545
598,0.5734,0.272
599,0.46044999999999997,0.2895
600,0.3475,0.307
601,0.37495,0.3225
602,0.4024,0.338
603,0.42604999999999993,0.3495
604,0.4497,0.361
605,0.46545,0.3685
606,0.48119999999999996,0.376
607,0.7166,0.383
608,0.952,0.39
609,1.0535,0.4005
610,1.155,0.411
611,1.218,0.4195
612,1.281,0.428
613,1.3055,0.4335
614,1.33,0.439
615,1.1114000000000002,0.443
616,0.8927999999999999,0.447
617,0.79725,0.4485
618,0.7017,0.45
619,0.64365,0.4455
620,0.5856,0.441
621,0.5327000000000001,0.427
622,0.4798,0.413
623,0.44120000000000004,0.3895
624,0.4026,0.366
625,0.37439999999999996,0.341
626,0.3462,0.316
627,0.3306,0.292
628,0.315,0.268
629,0.34305,0.247
630,0.37110000000000004,0.226
631,0.41025,0.2085
632,0.44939999999999997,0.191
633,0.49305,0.1785
634,0.5367000000000001,0.166
635,0.58035,0.1635
636,0.624,0.161
637,0.895,0.169
638,1.166,0.177
639,1.296,0.1885
640,1.426,0.2
641,1.3805,0.212
642,1.335,0.224
643,1.296,0.2355
644,1.257,0.247
645,0.99215,0.258
646,0.7273,0.269
647,0.6068,0.2795
648,0.4863,0.29
649,0.54055,0.296
650,0.5948,0.302
651,0.6316499999999999,0.302
652,0.6685,0.302
653,0.69235,0.3025
654,0.7162000000000001,0.303
655,0.9636,0.308
656,1.211,0.313
657,1.3105,0.326
658,1.41,0.339
659,1.469,0.3535
660,1.528,0.368
661,1.548,0.3795
662,1.568,0.391
663,1.3355,0.4
664,1.103,0.409
665,1.0025,0.416
666,0.902,0.423
667,0.8411000000000001,0.4235
668,0.7802,0.424
669,0.7022,0.414
670,0.6242000000000001,0.404
671,0.561,0.3825
672,0.4978,0.361
673,0.44065,0.3365
674,0.3835,0.312
675,0.32775,0.289
676,0.272,0.266
677,0.27595,0.246
678,0.2799,0.226
679,0.28945,0.2085
680,0.299,0.191
681,0.3143,0.1785
682,0.3296,0.166
683,0.35370000000000007,0.1635
684,0.3778,0.161
685,0.6266,0.169
686,0.8754,0.177
687,1.0002,0.1885
688,1.125,0.2
689,1.11,0.212
690,1.095,0.224
691,1.074,0.2355
692,1.053,0.247
693,0.8132,0.258
694,0.5734,0.269
695,0.46044999999999997,0.2795
696,0.3475,0.29
697,0.37495,0.296
698,0.4024,0.302
699,0.42604999999999993,0.302
700,0.4497,0.302
701,0.46545,0.3025
702,0.48119999999999996,0.303
703,0.7166,0.308
704,0.952,0.313
705,1.0535,0.326
706,1.155,0.339
707,1.218,0.3535
708,1.281,0.368
709,1.3055,0.3795
710,1.33,0.391
711,1.1114000000000002,0.4
712,0.8927999999999999,0.409
713,0.79725,0.416
714,0.7017,0.423
715,0.64365,0.4235
716,0.5856,0.424
717,0.5327000000000001,0.414
718,0.4798,0.404
719,0.44120000000000004,0.3825
720,0.4026,0.361
721,0.37439999999999996,0.3365
722,0.3462,0.312
723,0.3306,0.289
724,0.315,0.266
725,0.34305,0.246
726,0.37110000000000004,0.226
727,0.41025,0.2085
728,0.44939999999999997,0.191
729,0.49305,0.1785
730,0.5367000000000001,0.166
731,0.58035,0.1635
732,0.624,0.161
733,0.895,0.169
734,1.166,0.177
735,1.296,0.1885
736,1.426,0.2
737,1.3805,0.212
738,1.335,0.224
739,1.296,0.2355
740,1.257,0.247
741,0.99215,0.258
742,0.7273,0.269
743,0.6068,0.2795
744,0.4863,0.29
745,0.54055,0.296
746,0.5948,0.302
747,0.6316499999999999,0.302
748,0.6685,0.302
749,0.69235,0.3025
750,0.7162000000000001,0.303
751,0.9636,0.308
752,1.211,0.313
753,1.3105,0.326
754,1.41,0.339
755,1.469,0.3535
756,1.528,0.368
757,1.548,0.3795
758,1.568,0.391
759,1.3355,0.4
760,1.103,0.409
761,1.0025,0.416
762,0.902,0.423
763,0.8411000000000001,0.4235
764,0.7802,0.424
765,0.7022,0.414
766,0.6242000000000001,0.404
767,0.5616500000000001,0.3825
768,0.49910000000000004,0.361
769,0.4589,0.3365
770,0.41869999999999996,0.312
771,0.397,0.289
772,0.3753,0.266
773,0.42965,0.246
774,0.484,0.226
775,0.5551,0.2085
776,0.6262000000000001,0.191
777,0.692,0.1785
778,0.7577999999999999,0.166
779,0.8152,0.1635
780,0.8726,0.161
781,1.1498,0.169
782,1.427,0.177
783,1.552,0.1885
784,1.677,0.2
785,1.6245,0.212
786,1.572,0.224
787,1.515,0.2355
788,1.458,0.247
789,1.1789,0.258
790,0.8997999999999999,0.269
791,0.7677999999999999,0.2795
792,0.6357999999999999,0.29
793,0.681,0.296
794,0.7262000000000001,0.302
795,0.778,0.302
796,0.8298,0.302
797,0.8657999999999999,0.3025
798,0.9017999999999999,0.303
799,1.1659000000000002,0.308
800,1.43,0.313
801,1.5565,0.326
802,1.683,0.339
803,1.754,0.3535
804,1.825,0.368
805,1.8475,0.3795
806,1.87,0.391
807,1.6335,0.4
808,1.397,0.409
809,1.279,0.416
810,1.161,0.423
811,1.082,0.4235
812,1.003,0.424
813,0.89195,0.414
814,0.7808999999999999,0.404
815,0.6890499999999999,0.3825
816,0.5972000000000001,0.361
817,0.5303,0.3365
818,0.4634,0.312
819,0.41935,0.289
820,0.3753,0.266
821,0.42965,0.246
822,0.484,0.226
823,0.5551,0.2085
824,0.6262000000000001,0.191
825,0.692,0.1785
826,0.7577999999999999,0.166
827,0.8152,0.1635
828,0.8726,0.161
829,1.1498,0.169
830,1.427,0.177
831,1.552,0.1885
832,1.677,0.2
833,1.6245,0.212
834,1.572,0.224
835,1.515,0.2355
836,1.458,0.247
837,1.1789,0.258
838,0.8997999999999999,0.269
839,0.7677999999999999,0.2795
840,0.6357999999999999,0.29
841,0.681,0.296
842,0.7262000000000001,0.302
843,0.778,0.302
844,0.8298,0.302
845,0.8657999999999999,0.3025
846,0.9017999999999999,0.303
847,1.1659000000000002,0.308
848,1.43,0.313
849,1.5565,0.326
850,1.683,0.339
851,1.754,0.3535
852,1.825,0.368
853,1.8475,0.3795
854,1.87,0.391
855,1.6335,0.4
856,1.397,0.409
857,1.279,0.416
858,1.161,0.423
859,1.082,0.4235
860,1.003,0.424
861,0.89195,0.414
862,0.7808999999999999,0.404
863,0.6890499999999999,0.384
864,0.5972000000000001,0.364
865,0.5291500000000001,0.3405
866,0.4611,0.317
867,0.41475,0.2945
868,0.36839999999999995,0.272
