,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,605.423,4.6%,616.82,4.6%,641.647,4.6%,671.172,4.6%,704.547,4.6%,747.198,4.6%,794.297,4.5%,845.804,4.5%,903.531,4.5%,967.437,4.5%,1045.464,4.5%,1132.015,4.5%,1222.396,4.4%,1305.206,4.4%,1401.607,4.4%,1471.398,4.4%,1506.328,4.4%,1532.929,4.4%,1567.78,4.4%,1631.331,4.4%,1694.661,4.4%,1757.752,4.3%,1820.593,4.3%,1883.213,4.3%,1937.494,4.3%,1991.595,4.3%,2045.515,4.3%,2099.256,4.3%,2152.797,4.3%,2206.167,4.3%,2259.348,4.3%,,,,,
Pelham,75.1926,,612.797,4.7%,622.649,4.7%,647.898,4.7%,682.099,4.7%,720.096,4.7%,764.26,4.7%,810.209,4.6%,857.966,4.6%,914.921,4.6%,981.039,4.6%,1068.024,4.6%,1165.262,4.6%,1268.172,4.6%,1359.89,4.6%,1471.71,4.6%,1544.148,4.6%,1565.008,4.6%,1573.536,4.5%,1594.266,4.4%,1657.484,4.4%,1720.354,4.4%,1782.872,4.4%,1845.042,4.4%,1906.85,4.4%,1956.36,4.4%,2005.578,4.3%,2054.538,4.3%,2103.216,4.3%,2151.626,4.3%,2199.755,4.3%,2247.624,4.2%,,,,,
Sundon/East Claydon,106.11918,,1210.073,9.3%,1230.501,9.2%,1280.291,9.2%,1331.656,9.1%,1389.19,9.0%,1459.407,8.9%,1534.771,8.8%,1615.261,8.7%,1708.12,8.5%,1813.26,8.4%,1946.41,8.3%,2094.663,8.3%,2250.526,8.2%,2391.367,8.1%,2559.171,8.0%,2674.165,8.0%,2719.959,7.9%,2749.231,7.9%,2794.863,7.8%,2897.487,7.7%,2999.671,7.7%,3101.334,7.7%,3202.548,7.6%,3303.28,7.6%,3387.502,7.5%,3471.376,7.5%,3554.859,7.5%,3637.989,7.4%,3720.753,7.4%,3803.138,7.4%,3885.153,7.3%,,,,,
Melksham,233.18009,,2039.377,15.6%,2073.553,15.6%,2157.505,15.5%,2247.061,15.4%,2347.272,15.3%,2468.591,15.1%,2598.178,14.9%,2736.049,14.7%,2895.915,14.5%,3077.561,14.3%,3309.019,14.2%,3566.915,14.1%,3838.341,13.9%,4083.028,13.8%,4375.701,13.8%,4574.458,13.7%,4650.175,13.5%,4696.538,13.4%,4772.004,13.3%,4948.76,13.2%,5124.698,13.2%,5299.783,13.1%,5474.059,13.0%,5647.476,13.0%,5791.502,12.9%,5934.916,12.8%,6077.67,12.8%,6219.766,12.7%,6361.224,12.6%,6501.999,12.6%,6642.155,12.5%,,,,,
Bramley,76.73228,,176.491,1.4%,180.192,1.4%,187.404,1.4%,195.905,1.3%,205.647,1.3%,218.921,1.3%,234.09,1.3%,251.155,1.3%,269.64,1.3%,289.534,1.3%,312.64,1.3%,338.138,1.3%,364.496,1.3%,389.134,1.3%,416.872,1.3%,438.549,1.3%,452.288,1.3%,464.136,1.3%,477.854,1.3%,498.112,1.3%,518.319,1.3%,538.468,1.3%,558.566,1.3%,578.604,1.3%,596.751,1.3%,614.86,1.3%,632.928,1.3%,650.946,1.3%,668.923,1.3%,686.861,1.3%,704.76,1.3%,,,,,
London,142.44145,,258.246,2.0%,265.329,2.0%,275.756,2.0%,307.881,2.1%,344.248,2.2%,391.49,2.4%,443.846,2.5%,501.527,2.7%,565.644,2.8%,636.171,3.0%,721.643,3.1%,816.243,3.2%,914.809,3.3%,1005.437,3.4%,1110.343,3.5%,1187.342,3.5%,1228.009,3.6%,1259.954,3.6%,1300.583,3.6%,1371.154,3.7%,1441.49,3.7%,1511.485,3.7%,1581.384,3.8%,1650.892,3.8%,1711.838,3.8%,1772.498,3.8%,1832.964,3.8%,1893.269,3.9%,1953.38,3.9%,2013.303,3.9%,2073.056,3.9%,,,,,
Kemsley,65.51442,,257.322,2.0%,262.425,2.0%,272.961,2.0%,299.938,2.1%,330.064,2.1%,366.125,2.2%,404.357,2.3%,444.796,2.4%,492.034,2.5%,546.023,2.5%,615.432,2.6%,692.836,2.7%,774.427,2.8%,847.761,2.9%,935.934,2.9%,995.026,3.0%,1016.02,3.0%,1027.922,2.9%,1048.835,2.9%,1101.128,2.9%,1153.151,3.0%,1204.924,3.0%,1256.426,3.0%,1307.669,3.0%,1349.833,3.0%,1391.776,3.0%,1433.538,3.0%,1475.08,3.0%,1516.424,3.0%,1557.578,3.0%,1598.519,3.0%,,,,,
Sellindge,47.47516,,389.289,3.0%,396.384,3.0%,412.372,3.0%,429.814,2.9%,449.522,2.9%,474.518,2.9%,502.015,2.9%,531.992,2.8%,565.73,2.8%,603.189,2.8%,649.169,2.8%,700.197,2.8%,753.525,2.7%,802.315,2.7%,859.283,2.7%,900.202,2.7%,920.092,2.7%,934.961,2.7%,954.809,2.7%,991.959,2.7%,1028.978,2.6%,1065.857,2.6%,1102.586,2.6%,1139.176,2.6%,1170.734,2.6%,1202.194,2.6%,1233.533,2.6%,1264.771,2.6%,1295.891,2.6%,1326.889,2.6%,1357.809,2.6%,,,,,
Lovedean,122.52657,,737.999,5.7%,750.856,5.6%,781.202,5.6%,811.127,5.6%,844.822,5.5%,886.982,5.4%,932.926,5.3%,982.652,5.3%,1039.089,5.2%,1102.234,5.1%,1180.641,5.1%,1267.757,5.0%,1359.035,4.9%,1442.122,4.9%,1539.889,4.8%,1608.887,4.8%,1640.193,4.8%,1662.501,4.8%,1693.698,4.7%,1755.975,4.7%,1817.982,4.7%,1879.72,4.6%,1941.226,4.6%,2002.465,4.6%,2054.701,4.6%,2106.73,4.6%,2158.566,4.5%,2210.204,4.5%,2261.641,4.5%,2312.878,4.5%,2363.915,4.5%,,,,,
S.W.Penisula,299.57007,,2101.583,16.1%,2137.868,16.1%,2224.294,16.0%,2314.989,15.9%,2416.857,15.7%,2542.69,15.5%,2678.784,15.3%,2825.142,15.1%,2992.63,14.9%,3181.088,14.8%,3417.406,14.7%,3680.255,14.5%,3956.155,14.4%,4206.365,14.3%,4502.653,14.2%,4708.703,14.1%,4796.471,14.0%,4856.013,13.9%,4943.512,13.8%,5128.41,13.7%,5312.52,13.6%,5495.789,13.6%,5678.278,13.5%,5859.96,13.4%,6013.408,13.4%,6166.217,13.3%,6318.428,13.3%,6469.985,13.2%,6620.925,13.2%,6771.254,13.1%,6920.926,13.0%,,,,,
," 2,900.02 ",," 13,049.11 ",100%," 13,319.06 ",100%," 13,879.10 ",100%," 14,579.16 ",100%," 15,369.32 ",100%," 16,369.12 ",100%," 17,469.49 ",100%," 18,669.16 ",100%," 20,019.19 ",100%," 21,519.05 ",100%," 23,319.37 ",100%," 25,369.45 ",100%," 27,519.20 ",100%," 29,498.06 ",100%," 31,810.84 ",100%," 33,494.14 ",100%," 34,352.02 ",100%," 34,994.46 ",100%," 35,844.50 ",100%," 37,394.52 ",100%," 38,944.60 ",100%," 40,494.28 ",100%," 42,044.21 ",100%," 43,594.32 ",100%," 44,944.60 ",100%," 46,294.72 ",100%," 47,644.37 ",100%," 48,994.60 ",100%," 50,344.27 ",100%," 51,694.59 ",100%," 53,044.34 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
