name,N1,N2,N3,N4,NE1,NE2,NE3,NE4,NE6,NE7,NE8,E1,E2,E3,W1
2010-10-09 19:00:00,1979.8457118443082,1994.6599851335798,563.6280877249582,863.9375959123884,62.324974196297774,806.2212807791574,761.8233816964284,712.6282215118407,1293.3914457048688,2220.7260131835938,743.6650139944894,2050.493696757725,1499.7185298374718,440.9349952425276,1921.244408743722
2010-10-09 20:00:00,1953.1969996861048,1989.8869868687223,688.9703205653599,953.3237729753766,95.88235105787005,837.122917175293,801.610129220145,738.0040032523019,1484.1482979910713,2548.447200230189,848.2908521379742,1941.5025166102819,1524.2369515555245,483.65459782736644,1892.7650996616908
2010-10-09 21:00:00,1916.960198538644,1994.3316159929548,811.005551474435,968.7694440569196,111.49916103907994,870.1006208147322,858.4480558122906,794.1135678972515,1634.3228476388113,2607.606206621442,903.1059537615095,2021.325332777841,1567.1403067452566,598.0329717908586,1872.7015086582728
2010-10-09 22:00:00,1923.0469294956752,1994.8164149693082,893.2631083897181,975.353649684361,89.823476927621,833.5696629115513,854.2240687779016,831.6033227103097,1731.806809561593,2456.606728690011,781.4931869506836,2101.2122460774012,1537.5665937151225,687.6258237021309,1830.5210658482142
2010-10-09 23:00:00,1951.6859980991908,1997.4337441580633,953.8148948124476,986.0418592180525,107.4173947743007,841.6192190987722,865.3152738298688,847.4709647042409,1730.8985301426478,2525.346483503069,794.9638366699219,2703.116021837507,1777.0195552280968,758.387974330357,1858.8390895298548
2010-10-10 00:00:00,1949.040276663644,1997.694909232003,888.3374282291957,979.7098813738141,140.78446524483817,806.7211423601422,826.4203752790178,817.4878529139927,1661.0382625034874,2124.552982194083,679.8954316547938,2804.7052247183665,1836.8774959019252,746.2635040283203,1800.7084437779017
2010-10-10 01:00:00,1939.808861868722,1997.097554888044,762.9613944462368,962.9654966081891,134.12604740687777,745.2452523367746,774.24989427839,792.3822402954102,1620.6515175955635,1781.3420227595739,574.8407534190587,2762.3572213309153,1852.8494426182338,774.4527544294084,1776.7311641148158
2010-10-10 02:00:00,1932.3878261021205,1995.965826851981,598.9534241812569,928.719070979527,145.79594748360768,695.0098480497087,716.5113176618304,755.5672781808034,1551.2733459472656,1824.5877844946724,593.4713057109287,2856.0119492667063,1770.5372401646202,833.6090360369,1832.1100779942103
2010-10-10 03:00:00,1942.4171992710658,1997.331575666155,521.4234215872629,923.9803586687361,180.54512568882538,702.2931235177175,700.6286825452532,722.8949410574777,1533.8783264160156,2012.0578254972186,706.3995088849749,2884.253507341658,1750.4698344639369,835.9655652727398,1900.741250174386
2010-10-10 04:00:00,1962.2586604527066,1999.4289670671735,493.0241312299456,951.164082118443,210.657958984375,770.5390112740652,751.6809191022601,739.1612189156667,1570.4293932233538,2283.934184483119,781.1151232038225,2779.0736062186106,1734.8187037876671,811.518669128418,1870.2784129551478
2010-10-10 05:00:00,1993.9114924839566,2000.0,478.8624354771206,959.6403394426619,395.47808510916576,856.8483080182756,839.9100984845842,818.608283996582,1648.956298828125,2348.5761369977677,817.1532494681222,2694.632802690778,1755.1262446812223,815.3738294328961,1785.1955958775113
2010-10-10 06:00:00,1995.0304303850446,1999.9701581682477,429.3648992265974,930.2458081926618,592.3879895891462,867.7382741655621,847.3104749407086,804.8204694475445,1699.5299203055245,2359.5293590000697,824.6380942208425,2654.7269684927805,1737.450654166085,817.5006593976701,1728.7169047764366
2010-10-10 07:00:00,1995.0052588326591,1998.2086835588727,429.9465451921735,903.9484296526228,702.2457531520297,837.740216936384,865.9649167742047,864.6176610674177,1733.5753032139369,2455.0021035330633,830.7018280029297,2623.9128930228094,1724.0889140537804,794.6947642735072,1745.526559012277
2010-10-10 08:00:00,1994.3532289777484,1997.4906757899694,479.7021048409598,900.0098500932966,806.9083281925747,772.5906372070312,812.1978214808872,833.6177553449357,1641.64434160505,2343.7115805489675,781.3825607299805,2682.3241097586497,1674.0384783063616,803.0151639665875,1742.1330043247765
2010-10-10 09:00:00,1953.2864161900113,1999.5964050292969,412.2818265642439,884.0797696794782,830.6361743382045,690.6819888523646,723.7276349748884,749.5912824358257,1459.3849182128906,2106.727205004011,700.5522523607526,2680.0933701651434,1426.5932764325823,760.4092189243861,1731.1813899448937
2010-10-10 10:00:00,1928.642098563058,2000.0,489.7988591875349,894.9980054582867,730.619866507394,581.2971932547432,576.1341605867658,581.3142163412912,1026.5295096806117,1554.0435893195017,540.3320040021624,2106.8955251148773,937.6599856785365,423.54240758078436,1606.541769845145
2010-10-10 11:00:00,1872.246606009347,1998.3711569649831,383.46541268484935,876.3228688921248,674.5099340166365,493.338063785008,477.9300008501325,473.8578115190778,734.6046039036343,1331.8832976477486,438.6881147112165,1243.8103539603098,627.9141698564802,211.73182896205358,1720.0779506138392
2010-10-10 12:00:00,1804.7977992466517,1996.1629322596957,338.14528329031805,832.0999145507812,700.5420139857699,373.8039527620588,390.7974992479597,414.452246257237,666.2429673331125,1012.4584742954798,324.1678714752197,605.2153996058873,605.7618822370256,119.80191911969867,1627.3983546665734
2010-10-10 13:00:00,1737.0180674961634,1984.80954851423,330.73027474539623,847.3081588745117,793.902690070016,285.0992134639195,309.8865645272391,351.84072766985213,609.3453134809221,748.92270224435,243.87773786272322,536.0463074275425,605.4151262555803,129.10052708217074,1449.0438188825335
2010-10-10 14:00:00,1616.2449972970144,1935.1270076206752,328.59499795096264,851.0573250906808,848.5921927860804,263.50041116986955,272.73659024919783,313.47079277038574,540.8491134643555,661.2167767116001,222.44011334010534,866.745001929147,564.537525177002,218.9465182168143,1235.6949942452566
2010-10-10 15:00:00,1572.096415928432,1889.7949763706752,309.5549855913435,788.1547382899693,896.8599864414759,270.88191168648854,257.53254209245955,272.75921276637484,446.2844167436872,686.8238925933838,228.3935683114188,1130.9643132346016,441.09413964407787,272.38247735159734,800.6915637425014
2010-10-10 16:00:00,1577.0590645926338,1837.4929973057338,242.1713529314314,661.7059162684849,856.7419120243617,273.6715316772461,252.5526455470494,247.8818007877895,385.9626088823591,722.0466000693186,228.6095006125314,911.5688528333392,363.91833169119695,201.73117092677526,772.3434516361781
2010-10-10 17:00:00,1565.5354091099327,1779.1512080601285,225.29646737234935,545.5970014844622,810.2912494114468,292.3070294516427,260.6818539755685,246.87905311584475,387.98334939139227,789.1047069004604,239.7387981414795,670.0039795466832,412.1282849993025,139.46687153407507,915.7502719334193
2010-10-10 18:00:00,1471.3905879429408,1737.5925609043663,250.64395359584267,535.6087923049927,780.2181312016079,294.0789427076067,259.1449328831264,238.53851727076938,398.6457143511091,855.3349767412459,262.13171822684154,704.0456976209368,490.5929156712124,147.16717175074984,1097.0016547611779
2010-10-10 19:00:00,1331.6214765821182,1722.7961131504603,298.78142220633373,604.2088781084334,792.3338958195277,277.3491927555629,239.16422298976354,214.04186657496862,409.7117696489607,874.9005113329206,271.3766029902867,906.5203530447825,559.3312808445521,176.64786747523718,1222.124467577253
2010-10-10 20:00:00,1270.9980964660645,1745.95399584089,249.29284776960102,622.8321347917829,810.454136984689,236.88670567103796,206.4223425728934,187.02608517238073,369.0727506365095,710.318388257708,225.00025204249792,956.9019862583706,487.57584435599193,179.81478146144323,1265.2467250823975
2010-10-10 21:00:00,1212.1732575552803,1759.221131461007,170.70655277797152,568.1439059121268,761.4820548466273,171.75280026027136,148.52672985621862,141.22320583888464,240.17841339111325,464.36681066240595,146.32746151515414,764.0597411564419,300.8626256670271,136.20001247950964,1182.1771894182477
2010-10-10 22:00:00,1048.1565066746302,1741.6744777134484,97.01832158224924,506.5351281847272,658.4776197160993,63.67258208138602,56.64506980351039,66.64922169276646,53.34223406655448,159.84051704406738,41.10332318714686,354.2944662911552,118.58450617109024,48.899967670440674,1001.7892905644009
2010-10-10 23:00:00,953.6156245640346,1619.9169158935547,22.8440945489066,378.39317662375316,635.7546806335449,44.19014556067331,40.34987994602748,52.17137779508318,35.090871538434705,57.5951886177063,13.955273628234862,292.3467227390835,71.43988949911935,57.36807993480138,937.3592444828578
2010-10-11 00:00:00,802.942282812936,1387.7792494637627,5.418907574244907,256.9999626704625,493.56216703142434,18.349600860050746,16.24180964061192,33.622322763715474,16.101376669747488,19.22663722719465,6.065121037619453,186.35693039212907,20.044646944318497,30.793336459568568,877.2981234959193
2010-10-11 01:00:00,611.6368702479771,1094.3502221788679,1.4503233773367745,171.02886608668734,388.1988797869001,6.827613285609654,5.47750881740025,10.047634329114642,1.111501966203962,7.069737911224364,0.6895618779318672,91.81960753032139,12.380236216953822,7.837956973484585,927.6257106236048
2010-10-11 02:00:00,464.9273327418736,833.1302234104701,1.8373707362583704,109.47557176862445,251.85406821114682,0.584939888545445,0.45189925602504183,0.7430880410330636,0.0,9.139183248792376,0.4994395800999232,37.51201323100499,15.24449825286865,0.5514167036328996,923.9630767277308
2010-10-11 03:00:00,338.92119271414623,535.4414122445244,0.9697740418570381,35.52720172064645,187.488523210798,0.3907622609819684,0.24466787065778456,0.34024851662772043,0.0,34.486545835222515,1.6836268561226981,47.86293370383126,41.826633725847515,0.49455983298165457,697.4956376211983
2010-10-11 04:00:00,283.59825951712475,323.6947332109724,0.7440086773463659,0.6976420538766043,180.8172770908901,0.41840059416634695,0.36999923842293875,0.42841723987034386,0.6856390408107212,40.931196212768555,3.922397749764579,127.93662275586809,75.63886301858084,3.239013808114188,452.13063103812084
