name,bus0,bus1,r,x,b,s_nom,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
63,Bramford,Kemsley,0.00035,0.0023,0.2249,3746.570972886762,0,AC,1.4375e-08,2.1875e-09,3746.570972886762,400.0
64,Bramford,Kemsley,0.00035,0.0023,0.2249,3746.570972886762,0,AC,1.4375e-08,2.1875e-09,3746.570972886762,400.0
65,Bramford,Walpole,0.00178,0.0213,0.6682,2142.8229665071767,0,AC,1.33125e-07,1.1124999999999999e-08,2142.8229665071767,400.0
66,Bramford,Walpole,0.00132,0.0143,0.3656,2142.8229665071767,0,AC,8.9375e-08,8.25e-09,2142.8229665071767,400.0
67,Pelham,Keadby,0.00145,0.01824,0.9169,3746.570972886762,0,AC,1.14e-07,9.0625e-09,3746.570972886762,400.0
68,Pelham,Keadby,0.00145,0.01824,0.9169,3746.570972886762,0,AC,1.14e-07,9.0625e-09,3746.570972886762,400.0
69,Pelham,London,0.00025,0.01,0.1586,3746.570972886762,0,AC,6.25e-08,1.5625e-09,3746.570972886762,400.0
70,Pelham,London,0.00025,0.01,0.1586,3746.570972886762,0,AC,6.25e-08,1.5625e-09,3746.570972886762,400.0
71,Pelham,Bramford,0.0012,0.0048,0.4446,3746.570972886762,0,AC,3e-08,7.5e-09,3746.570972886762,400.0
72,Pelham,Bramford,0.0012,0.0048,0.7,3746.570972886762,0,AC,3e-08,7.5e-09,3746.570972886762,400.0
73,Pelham,Walpole,0.00037,0.0059,0.294,4083.492822966507,0,AC,3.6875e-08,2.3125e-09,4083.492822966507,400.0
74,Pelham,Walpole,0.00037,0.0059,0.2955,3746.570972886762,0,AC,3.6875e-08,2.3125e-09,3746.570972886762,400.0
75,Sundon/East Claydon,Keadby,0.00178,0.0172,0.8403,2708.8516746411483,0,AC,1.075e-07,1.1124999999999999e-08,2708.8516746411483,400.0
76,Sundon/East Claydon,Keadby,0.00178,0.0172,0.627,2708.8516746411483,0,AC,1.075e-07,1.1124999999999999e-08,2708.8516746411483,400.0
77,Sundon/East Claydon,London,0.00037,0.0041,0.4098,4413.676236044656,0,AC,2.5625000000000003e-08,2.3125e-09,4413.676236044656,400.0
78,Sundon/East Claydon,London,0.00034,0.0041,0.429,4413.676236044656,0,AC,2.5625000000000003e-08,2.125e-09,4413.676236044656,400.0
79,Sundon/East Claydon,Pelham,0.00019,0.00111,0.1232,3746.570972886762,0,AC,6.937500000000001e-09,1.1875e-09,3746.570972886762,400.0
80,Sundon/East Claydon,Pelham,0.00048,0.0061,0.3041,3746.570972886762,0,AC,3.8125000000000006e-08,3e-09,3746.570972886762,400.0
81,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2708.8516746411483,0,AC,1.1375000000000001e-07,9.437500000000001e-09,2708.8516746411483,400.0
82,Melksham,Bramley,0.00086,0.0008,0.9622,3746.570972886762,0,AC,5e-09,5.375e-09,3746.570972886762,400.0
83,Melksham,Bramley,0.00023,0.0007,2.8447,5929.824561403509,0,AC,4.375e-09,1.4375e-09,5929.824561403509,400.0
84,Melksham,Sundon/East Claydon,0.00055,0.003,0.3468,3746.570972886762,0,AC,1.875e-08,3.4375e-09,3746.570972886762,400.0
