Company Name,Station Name,Fuel,Type,Installed Capacity (MW),Year of commission or year generation began,"Location:
Scotland, Wales, Northern Ireland or English region",Geolocation
,Heysham 1,Nuclear,Nuclear,1155,1984,North West,"54.028886, -2.916089"
,Heysham 2,Nuclear,Nuclear,1230,1988,North West,"54.028886, -2.916089"
,Hinkley Point B,Nuclear,Nuclear,955,1976,South West,"51.209217, -3.127464"
,Hunterston B,Nuclear,Nuclear,965,1976,Scotland,"55.721849, -4.894551"
,Sizewell B,Nuclear,Nuclear,1198,1995,East,"52.215036, 1.619667"
,Torness,Nuclear,Nuclear,1185,1988,Scotland,"55.967327, -2.408485"
,Wylfa,Nuclear,Nuclear,490,1971,Wales,"53.416667, -4.483333"
,Kingsnorth,,,,,,"51.418947, 0.602702"
,Uskmouth,,,,,,"51.549071, -2.970539"
,Ironbridge,,,,,,"52.63005, -2.511999"
,Rugeley ,,,,,,"52.756882, -1.918463"
,Cockenzie,,,,,,"55.968333, -2.971667"
,Didcot A,,,,,,"51.62363, -1.26757"
,Heysham1,,,,,,"54.028889, -2.916111"
,Oldbury,,,,,,"51.6489, -2.5708"
,Barking,,,,,,"51.521, 0.147"
,Barry,,,,,,"51.408134, -3.228712"
,Glanford Brigg,,,,,,"53.540577, -0.503635"
,Kings Lynn,,,,,,"52.727256, 0.380117"
,Peterborough ,,,,,,"52.57684904233475, -0.2040108460278363"
,Roosecote,,,,,,"54.10499, -3.187732"
,South Humber Bank ,,,,,,"53.603, -0.146"
,Coryton ,,,,,,"51.512, 0.508"
,Teesside Power Station,,,,,,"54.576838, -1.120417"
,Deeside ,,,,,,"53.233439, -3.054589"
,Saltend ,,,,,,"53.743469, -0.235008"
,Wilton GT2,,,,,,"54.5894, -1.1185"
,Aberdare District Energy,,,,,,"51.71196174073048, -3.4537251615723954"
,Bridgewater District Energy,,,,,,"51.124369907703695, -3.005324639875771"
,Sevington District Energy,,,,,,"51.12776484353291, 0.9063589211668316"
,Solutia District Energy,,,,,,"51.55700304343962, -2.9422352428513916"
,Fife Power Station,,,,,,"56.168889, -3.306111"
,Pilkington - Greengate,,,,,,"53.485856819678084, -2.2624779089096227"
,Ravenhead,,,,,,"53.44127274835854, -2.7541029177500937"
,Peterhead (8),,,,,,"57.477213, -1.788879"
,Keadby,,,,,,"53.594444, -0.750442"
,Derwent,,,,,,"52.9064, -1.4007"
,London Heat & Power Company ,,,,,,"51.48086616351775, -0.05738719371893262"
,Shotton ,,,,,,"53.23375, -3.03265"
,Immingham CHP,,,,,,"53.63833, -0.23328"
,Fellside CHP,,,,,,"54.418293873963314, -3.4884502036991427"
,Wilton Power Station,,,,,,"54.5894, -1.1185"
,Baglan Bay,,,,,,"51.619735, -3.829637"
,Kingsnorth GT,,,,,,"51.418947, 0.602702"
,Cowes ,,,,,,"50.7459, -1.2864"
,Fawley GT,,,,,,"50.816696, -1.328881"
,Tilbury GT,,,,,,"51.454926, 0.391677"
,Fiddler’s Ferry GT,,,,,,"53.372, -2.687"
,Lynton,,,,,,"51.22715478042666, -3.8399584143926604"
,St Marys,,,,,,"49.913095305425635, -6.30620928053536"
,Severn,,,,,,"51.549071, -2.970539"
,Grain,,,,,,"51.445181, 0.715028"
,Teesside Power Station (17),,,,,,"54.576838, -1.120417"
,Peterhead (13),,,,,,"57.477213, -1.788879"
,Peterhead (16),,,,,,"57.477213, -1.788879"
,Teesside Power Station (11),,,,,,"54.576838, -1.120417"
,Pembroke (14),,,,,,"51.68311, -4.98842"
,Kings Lynn (8),,,,,,"52.727256, 0.380117"
,Barry (10),,,,,,"51.408134, -3.228712"
,Glanford Brigg (10),,,,,,"53.540577, -0.503635"
,Peterborough (10),,,,,,"52.57684904233475, -0.2040108460278363"
,Teesside (13),,,,,,"54.576838, -1.120417"
,Barkantine Heat & Power Company ,,,,,,"51.43415586852294, -0.5039229391755944"
,Barkantine Heat & Power Company * ,,,,,,"51.43415586852294, -0.5039229391755944"
,Fellside *,,,,,,"54.418293873963314, -3.4884502036991427"
,Grain GT *,,,,,,"51.445181, 0.715028"
,Peterborough,,,,,,"52.576975, -0.203917"
,Fiddler’s Ferry,,,,,,"53.372, -2.687"
,Saltend,,,,,,"53.733256291971934, -0.23976553975855663"
,Peterhead,,,,,,"57.477213, -1.788879"
,Uskmouth Power,,,,,,"51.549071, -2.970539"
,Carrington,,,,,,"53.435771, -2.410892"
,Uskmouth power,,,,,,"51.549071, -2.970539"
,Seabank,,,,,,"51.540047, -2.668858"
,Wilton GT *,,,,,,"54.589422, -1.118631"
,Barkantine Heat & Power *,,,,,,"51.43431639229231, -0.5046095846573879"
,London Heat & Power *,,,,,,"51.48086616351775, -0.05738719371893262"
,Baglan Bay GT,,,,,,"51.619722, -3.829722"
,Fellside CHP*,,,,,,"54.417175942412875, -3.4882007079443276"
,Wilton GT*,,,,,,"54.589422, -1.118631"
,Saltend*,,,,,,"53.733256291971934, -0.23976553975855663"
,Grain CHP*,,,,,,"51.445181, 0.715028"
,VPI Immingham*,,,,,,"53.6375348640383, -0.23483406082440553"
,Grain (OCGT),,,,,,"51.445181, 0.715028"
