,Moyle,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
1352,-1016.0846413983396,-2080.145336335916,76.47738405117343,-2385.4079203241117,1750.0,330.145336335916,2385.4079203241117,-76.47738405117343
1353,-1017.7138270219482,-2074.76944080976,71.96411638001518,-2387.469576348223,1750.0,324.76944080976,2387.469576348223,-71.96411638001518
1354,-1008.8745553647327,-2052.2869183268167,60.07823758055815,-2376.79092719027,1750.0,302.2869183268167,2376.79092719027,-60.07823758055815
1355,-967.6352176944844,-1974.4588405359696,25.729775968630747,-2342.557636863796,1750.0,224.45884053596956,2342.557636863796,-25.729775968630747
1356,-893.9203570534653,-1883.673931908555,-12.549293582207156,-2273.070025441327,1750.0,133.673931908555,2273.070025441327,12.549293582207156
1357,-756.4934411049578,-1860.6033346283025,-25.412215905460016,-2082.2124858596653,1750.0,110.60333462830249,2082.2124858596653,25.412215905460016
1358,-593.5463913153676,-1831.0073086531052,-36.530341206255116,-1815.825855717423,1750.0,81.00730865310516,1815.825855717423,36.530341206255116
1359,-516.8568506318262,-1819.1439059012623,-39.4953899927998,-1756.281332718072,1750.0,69.14390590126231,1756.281332718072,39.4953899927998
1360,-506.72428870899023,-1852.8512585244466,-17.59506593449146,-1887.8839003539547,1750.0,102.85125852444662,1887.8839003539547,17.59506593449146
1361,-536.3811130293623,-1952.5756981094619,23.47429698528822,-2114.2212373085677,1750.0,202.57569810946188,2114.2212373085677,-23.47429698528822
1362,-708.8927055036403,-1970.2208613078897,64.50903190914983,-2449.999998709628,1750.0,220.22086130788966,2449.999998709628,-64.50903190914983
1363,-658.3557985619291,-2086.283896458432,95.1500813028481,-2449.9999985909444,1750.0,336.2838964584321,2449.9999985909444,-95.1500813028481
1364,-663.6172095611431,-2045.9724613606413,83.58698335202598,-2449.9999985680674,1750.0,295.9724613606413,2449.9999985680674,-83.58698335202598
1365,-733.3497265422513,-1990.8103754920012,66.28808857609488,-2449.9999985438085,1750.0,240.81037549200119,2449.9999985438085,-66.28808857609488
1366,-890.38026751274,-2162.73156352865,99.23715272994787,-2449.999998524796,1750.0,412.73156352865,2449.999998524796,-99.23715272994787
1367,-776.5035765383498,-3500.0,1749.9939784041794,-2449.9999983251764,1050.002814090888,2449.997185909112,2449.9999983251764,-1749.9939784041794
1368,-730.3529264502303,-699.9971816111924,1749.9939759923568,-2449.9999983875014,-1750.0,2449.9971816111924,2449.9999983875014,-1749.9939759923568
1369,-771.0028294188523,-3500.0,1749.9939719841566,-2449.9999983674015,1050.0028204061741,2449.997179593826,2449.9999983674015,-1749.9939719841566
1370,-760.3245894154007,-3500.0,1749.9939736309016,-2449.9999983345115,1050.0028208533831,2449.997179146617,2449.9999983345115,-1749.9939736309016
1371,-687.9031214171878,-699.9971779745333,1749.9939789007994,-2449.999998308131,-1750.0,2449.9971779745333,2449.999998308131,-1749.9939789007994
1372,-807.3697764106012,-699.9971778290374,1749.9939801345515,-2449.999998300427,-1750.0,2449.9971778290374,2449.999998300427,-1749.9939801345515
1373,-955.8205343919824,-3500.0,1749.993974909631,-2449.9999983018306,1050.0028219924352,2449.997178007565,2449.9999983018306,-1749.993974909631
1374,-871.5240383858134,-3500.0,1749.9939747140163,-2449.9999982863533,1050.0028231535289,2449.997176846471,2449.9999982863533,-1749.9939747140163
1375,-988.4377345254601,-699.9976278931313,1749.9949673132942,-2449.9999983829944,-1750.0,2449.9976278931313,2449.9999983829944,-1749.9949673132942
1376,-1049.9999987013632,-3500.0,1749.994523098538,-2449.9999984041106,1050.0025720641925,2449.9974279358075,2449.9999984041106,-1749.994523098538
1377,-1049.9999986990272,-699.9974292558072,1749.9945169485713,-2449.9999984166598,-1750.0,2449.997429255807,2449.9999984166598,-1749.9945169485713
1378,-1049.9999986359394,-3500.0,1749.9945211277673,-2449.999998426149,1050.0025880355902,2449.99741196441,2449.999998426149,-1749.9945211277673
1379,-1012.787519198508,-699.9986276653935,1749.9970958418335,-2449.9999982643103,-1750.0,2449.9986276653935,2449.9999982643103,-1749.9970958418335
1380,-865.1415429363101,-1822.9420997666184,-36.00727806043801,-2351.61665730787,1750.0,72.94209976661841,2351.61665730787,36.00727806043801
1381,-525.5187036183908,-1863.149139525212,-33.29896598661276,-1811.092639663127,1750.0,113.14913952521192,1811.092639663127,33.29896598661276
1382,-373.2945535882255,-1853.3619943921904,-30.17108702752944,-1256.605854828432,1750.0,103.36199439219035,1256.605854828432,30.17108702752944
1383,-360.8257525623005,-1863.9438418978698,-22.013857547110774,-1120.8317306271922,1750.0,113.94384189786979,1120.8317306271922,22.013857547110774
1384,-372.5193043830873,-1878.1690239333866,-18.02692809264613,-1187.0680474819696,1750.0,128.1690239333866,1187.0680474819696,18.02692809264613
1385,-444.50444191193515,-1956.0155845895229,8.168021179830475,-1473.0809796147232,1750.0,206.01558458952286,1473.0809796147232,-8.168021179830475
1386,-876.2242622055309,-2217.430123686656,127.03812120193948,-2400.46819795099,1750.0,467.4301236866561,2400.46819795099,-127.03812120193948
1387,-700.4296919328074,-2149.0910590673775,111.70405145485688,-2411.6271216660307,1750.0,399.0910590673775,2411.6271216660307,-111.70405145485688
1388,-550.9726456823424,-2155.7406276613833,110.11851095785414,-2411.7563947853346,1750.0,405.7406276613833,2411.7563947853346,-110.11851095785414
1389,-625.1789572716617,-2148.2665430549405,108.8918015059935,-2411.59865934821,1750.0,398.2665430549405,2411.59865934821,-108.8918015059935
1390,-720.4846003648353,-2168.771193429712,110.54753111264472,-2393.519332337836,1750.0,418.7711934297124,2393.519332337836,-110.54753111264472
1391,-597.9611558532104,-2097.0345480445467,90.59198054389731,-2377.1379441118024,1750.0,347.0345480445467,2377.1379441118024,-90.59198054389731
1392,-605.9402843409033,-2041.5024734913004,71.30791553136737,-2364.243632036392,1750.0,291.5024734913004,2364.243632036392,-71.30791553136737
1393,-634.6948797101713,-1972.5314282944641,50.158414818199844,-2367.8962737874203,1750.0,222.53142829446415,2367.8962737874203,-50.158414818199844
1394,-674.7990191148232,-1939.8284257049804,35.039747583166445,-2374.8304112485625,1750.0,189.82842570498042,2374.8304112485625,-35.039747583166445
1395,-695.0997494723755,-1914.3311118136576,22.34316041723946,-2380.2204071619967,1750.0,164.33111181365757,2380.2204071619967,-22.34316041723946
