name,p_nom,carrier,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,build_year,p_nom_opt
Keadby Compressed Air,16.270929447302606,Compressed Air,5.000000000000001,0.69,0.69,81.35464723651305,Keadby,0,16.270929447302606
Ratcliffe Compressed Air,30.58016882671012,Compressed Air,5.000000000000001,0.69,0.69,152.9008441335506,Ratcliffe,0,30.58016882671012
Feckenham Compressed Air,55.29836721546017,Compressed Air,5.000000000000001,0.69,0.69,276.4918360773009,Feckenham,0,55.29836721546017
Walpole Compressed Air,15.065650158172662,Compressed Air,5.000000000000001,0.69,0.69,75.32825079086332,Walpole,0,15.065650158172662
Bramford Compressed Air,44.44420497223322,Compressed Air,5.000000000000001,0.69,0.69,222.22102486116611,Bramford,0,44.44420497223322
Pelham Compressed Air,58.02737865257362,Compressed Air,5.000000000000001,0.69,0.69,290.13689326286817,Pelham,0,58.02737865257362
Sundon/East Claydon Compressed Air,94.75063609939023,Compressed Air,5.000000000000001,0.69,0.69,473.7531804969513,Sundon/East Claydon,0,94.75063609939023
Melksham Compressed Air,79.99457394532793,Compressed Air,5.000000000000001,0.69,0.69,399.97286972663966,Melksham,0,79.99457394532793
Bramley Compressed Air,21.515769612752017,Compressed Air,5.000000000000001,0.69,0.69,107.5788480637601,Bramley,0,21.515769612752017
London Compressed Air,55.56635859346756,Compressed Air,5.000000000000001,0.69,0.69,277.83179296733783,London,0,55.56635859346756
Kemsley Compressed Air,52.45232264793825,Compressed Air,5.000000000000001,0.69,0.69,262.2616132396913,Kemsley,0,52.45232264793825
Sellindge Compressed Air,29.563438178850003,Compressed Air,5.000000000000001,0.69,0.69,147.81719089425005,Sellindge,0,29.563438178850003
Lovedean Compressed Air,37.38735440166893,Compressed Air,5.000000000000001,0.69,0.69,186.93677200834463,Lovedean,0,37.38735440166893
S.W.Penisula Compressed Air,59.05340035011656,Compressed Air,5.000000000000001,0.69,0.69,295.26700175058284,S.W.Penisula,0,59.05340035011656
Beauly Liquid Air,1.0853801050349752,Liquid Air,4.0,0.69,0.69,4.341520420139901,Beauly,0,1.0853801050349752
Peterhead Liquid Air,4.706628469040679,Liquid Air,4.0,0.69,0.69,18.826513876162718,Peterhead,0,4.706628469040679
Errochty Liquid Air,0.4330647350358293,Liquid Air,4.0,0.69,0.69,1.7322589401433173,Errochty,0,0.4330647350358293
Denny/Bonnybridge Liquid Air,12.68130257642817,Liquid Air,4.0,0.69,0.69,50.72521030571268,Denny/Bonnybridge,0,12.68130257642817
Neilston Liquid Air,8.75505772335862,Liquid Air,4.0,0.69,0.69,35.02023089343448,Neilston,0,8.75505772335862
Strathaven Liquid Air,0.8285554441174932,Liquid Air,4.0,0.69,0.69,3.3142217764699726,Strathaven,0,0.8285554441174932
Torness Liquid Air,0.9810536886494172,Liquid Air,4.0,0.69,0.69,3.924214754597669,Torness,0,0.9810536886494172
Eccles Liquid Air,0.5880059794237475,Liquid Air,4.0,0.69,0.69,2.35202391769499,Eccles,0,0.5880059794237475
Harker Liquid Air,4.051560423147454,Liquid Air,4.0,0.69,0.69,16.206241692589817,Harker,0,4.051560423147454
Stella West Liquid Air,13.970002204689484,Liquid Air,4.0,0.69,0.69,55.880008818757936,Stella West,0,13.970002204689484
Penwortham Liquid Air,13.806390031235225,Liquid Air,4.0,0.69,0.69,55.22556012494089,Penwortham,0,13.806390031235225
Deeside Liquid Air,19.489771132840826,Liquid Air,4.0,0.69,0.69,77.95908453136329,Deeside,0,19.489771132840826
Daines Liquid Air,22.217535310077466,Liquid Air,4.0,0.69,0.69,88.87014124030986,Daines,0,22.217535310077466
Th. Marsh/Stocksbridge Liquid Air,23.960185601720926,Liquid Air,4.0,0.69,0.69,95.8407424068837,Th. Marsh/Stocksbridge,0,23.960185601720926
Thornton/Drax/Eggborough Liquid Air,15.071691914396874,Liquid Air,4.0,0.69,0.69,60.2867676575875,Thornton/Drax/Eggborough,0,15.071691914396874
Keadby Liquid Air,6.568091133962285,Liquid Air,4.0,0.69,0.69,26.27236453584914,Keadby,0,6.568091133962285
Ratcliffe Liquid Air,12.344306230095665,Liquid Air,4.0,0.69,0.69,49.37722492038266,Ratcliffe,0,12.344306230095665
Feckenham Liquid Air,22.322309036295813,Liquid Air,4.0,0.69,0.69,89.28923614518325,Feckenham,0,22.322309036295813
Walpole Liquid Air,6.08155566968399,Liquid Air,4.0,0.69,0.69,24.32622267873596,Walpole,0,6.08155566968399
Bramford Liquid Air,17.940805998794428,Liquid Air,4.0,0.69,0.69,71.76322399517771,Bramford,0,17.940805998794428
Pelham Liquid Air,23.42392992910585,Liquid Air,4.0,0.69,0.69,93.69571971642338,Pelham,0,23.42392992910585
Sundon/East Claydon Liquid Air,38.2480186468304,Liquid Air,4.0,0.69,0.69,152.99207458732158,Sundon/East Claydon,0,38.2480186468304
Melksham Liquid Air,32.29143446273756,Liquid Air,4.0,0.69,0.69,129.16573785095022,Melksham,0,32.29143446273756
Bramley Liquid Air,8.68527738944374,Liquid Air,4.0,0.69,0.69,34.74110955777496,Bramley,0,8.68527738944374
London Liquid Air,22.43048919893308,Liquid Air,4.0,0.69,0.69,89.72195679573231,London,0,22.43048919893308
Kemsley Liquid Air,21.17344534345366,Liquid Air,4.0,0.69,0.69,84.69378137381464,Kemsley,0,21.17344534345366
Sellindge Liquid Air,11.933882254288626,Liquid Air,4.0,0.69,0.69,47.735529017154505,Sellindge,0,11.933882254288626
Lovedean Liquid Air,15.092164941359082,Liquid Air,4.0,0.69,0.69,60.36865976543633,Lovedean,0,15.092164941359082
S.W.Penisula Liquid Air,23.838104425818564,Liquid Air,4.0,0.69,0.69,95.35241770327426,S.W.Penisula,0,23.838104425818564
Dinorwig,2932.8950495049503,Pumped Storage Hydroelectric,17.401322871313617,0.865,0.865,51036.253704112976,Deeside,0,2932.8950495049503
Ffestiniog,611.0198019801979,Pumped Storage Hydroelectric,12.851071904014177,0.85,0.85,7852.259410024028,Deeside,0,611.0198019801979
Cruachan,746.8019801980197,Pumped Storage Hydroelectric,53.32087843743192,0.865,0.865,39820.13760297205,Errochty,0,746.8019801980197
Foyers,509.18316831683165,Pumped Storage Hydroelectric,69.3938056015165,0.865,0.865,35334.157797742475,Beauly,0,509.18316831683165
