dataset,settlementDate,settlement_period,timeFrom,level_from,timeTo,level_to,pair_id,offer_price,bid_price,nationalGridBmUnit,bmu_id
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-FLIM02,2__FANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-9000.0,-9999.0,AG-FLX00L,V__LFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,9000.0,AG-FLX00L,V__LFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-40,2020-11-21T01:00:00Z,-40,-1,10000.0,-10000.0,AG-GEDF01,2__GLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,40,2020-11-21T01:00:00Z,40,1,10000.0,-10000.0,AG-GEDF01,2__GLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-40,2020-11-21T01:00:00Z,-40,-1,10000.0,-10000.0,AG-GEDF02,2__GLOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,40,2020-11-21T01:00:00Z,40,1,10000.0,-10000.0,AG-GEDF02,2__GLOND002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-2,2020-11-21T01:00:00Z,-2,-1,9999.0,-9999.0,AG-GLIM01,2__GANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,2,2020-11-21T01:00:00Z,2,1,9999.0,-9999.0,AG-GLIM01,2__GANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,66.79,30.0,AG-GLIM02,2__GANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,66.79,30.0,AG-GLIM02,2__GANGE002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-GLIM03,2__GANGE003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-GLIM03,2__GANGE003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,66.79,30.0,AG-GLIM04,2__GANGE004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,66.79,30.0,AG-GLIM04,2__GANGE004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,74.0,20.0,AG-GSMA01,2__GSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,74.0,20.0,AG-GSMA01,2__GSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,47.1,22.1,AG-GSTK01,2__GSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,66.75,37.1,AG-GSTK01,2__GSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,47.1,22.1,AG-GSTK02,2__GSTAT002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,200.0,37.1,AG-GSTK02,2__GSTAT002
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-GUKP01,2__GUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-GUKP01,2__GUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-HEDF01,2__HLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-HEDF01,2__HLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-98,2020-11-21T01:00:00Z,-98,-1,-9994.01,-9999.0,AG-HEL00G,V__GHABI001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,98,2020-11-21T01:00:00Z,98,1,9999.0,9994.01,AG-HEL00G,V__GHABI001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-32,2020-11-21T01:00:00Z,-32,-1,-9994.01,-9999.0,AG-HEL01H,V__HHABI001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,40,2020-11-21T01:00:00Z,40,1,9999.0,9994.01,AG-HEL01H,V__HHABI001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-HFLX01,2__HFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-HFLX01,2__HFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-2,2020-11-21T01:00:00Z,-2,-1,9999.0,-9999.0,AG-HLIM01,2__HANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,2,2020-11-21T01:00:00Z,2,1,9999.0,-9999.0,AG-HLIM01,2__HANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-HLIM03,2__HANGE003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-HLIM03,2__HANGE003
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-HLIM04,2__HANGE004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-HLIM04,2__HANGE004
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-50,2020-11-21T01:00:00Z,-50,-1,74.0,20.0,AG-HSMA01,2__HSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,50,2020-11-21T01:00:00Z,50,1,74.0,20.0,AG-HSMA01,2__HSMAE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-JEDF01,2__JLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-JEDF01,2__JLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-JLIM01,2__JANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-JLIM01,2__JANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-JUKP01,2__JUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-JUKP01,2__JUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-48,2020-11-21T01:00:00Z,-48,-1,66.79,30.0,AG-KLIM01,2__KANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,48,2020-11-21T01:00:00Z,48,1,66.79,30.0,AG-KLIM01,2__KANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-60,2020-11-21T01:00:00Z,-60,-1,71.0,35.25,AG-KUKP01,2__KUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,60,2020-11-21T01:00:00Z,60,1,71.0,35.25,AG-KUKP01,2__KUKPR001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-LEDF01,2__LLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-LEDF01,2__LLOND001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,0.0,0.0,AG-LFLX01,2__LFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,0.0,0.0,AG-LFLX01,2__LFLEX001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,-1,-8999.0,-9999.0,AG-LLIM01,2__LANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,0,2020-11-21T01:00:00Z,0,1,9999.0,8999.0,AG-LLIM01,2__LANGE001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,-20,2020-11-21T01:00:00Z,-20,-1,55.3,25.3,AG-LSTK01,2__LSTAT001
BOD,2020-11-21,2,2020-11-21T00:30:00Z,20,2020-11-21T01:00:00Z,20,1,66.79,45.3,AG-LSTK01,2__LSTAT001
