,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,117.062,1.8%,117.47,1.8%,117.879,1.8%,118.735,1.8%,121.082,1.7%,129.448,1.8%,132.605,1.7%,135.95,1.7%,139.497,1.6%,143.252,1.6%,147.248,1.6%,151.49,1.5%,156.009,1.5%,160.796,1.5%,165.892,1.5%,171.294,1.4%,177.044,1.4%,183.153,1.4%,189.63,1.4%,196.503,1.3%,203.215,1.3%,209.714,1.3%,216.242,1.3%,222.767,1.2%,229.27,1.2%,235.691,1.2%,241.649,1.2%,247.826,1.2%,254.23,1.2%,260.882,1.2%,267.771,1.2%,,,,,
Pelham,75.1926,,48.179,0.7%,48.576,0.7%,48.961,0.7%,49.857,0.7%,52.482,0.8%,55.535,0.8%,59.047,0.8%,62.781,0.8%,66.743,0.8%,70.957,0.8%,75.429,0.8%,80.205,0.8%,85.264,0.8%,90.643,0.8%,96.364,0.8%,102.436,0.9%,108.901,0.9%,115.778,0.9%,123.075,0.9%,130.824,0.9%,138.376,0.9%,145.679,0.9%,153.003,0.9%,160.319,0.9%,167.596,0.9%,174.777,0.9%,181.407,0.9%,188.301,0.9%,195.434,0.9%,202.84,0.9%,210.548,0.9%,,,,,
Sundon/East Claydon,106.11918,,273.362,4.2%,275.699,4.2%,278.046,4.2%,283.182,4.2%,297.766,4.3%,314.889,4.3%,334.473,4.3%,355.267,4.4%,377.35,4.4%,400.784,4.5%,425.687,4.5%,452.174,4.6%,480.313,4.6%,510.217,4.7%,542,4.7%,575.779,4.8%,611.662,4.8%,649.8,4.9%,690.315,4.9%,733.345,5.0%,775.269,5.0%,815.832,5.0%,856.549,5.0%,897.26,5.0%,937.701,5.0%,977.715,5.1%,1014.687,5.1%,1053.051,5.1%,1092.882,5.1%,1134.2,5.1%,1177.062,5.1%,,,,,
Melksham,233.18009,,629.166,9.7%,634.749,9.7%,640.334,9.8%,652.308,9.8%,685.342,9.8%,724.179,9.9%,768.498,10.0%,815.485,10.1%,865.351,10.2%,918.219,10.3%,974.297,10.4%,1034.038,10.5%,1097.462,10.6%,1164.885,10.7%,1236.487,10.8%,1312.569,10.9%,1393.383,11.0%,1479.211,11.1%,1570.363,11.2%,1667.216,11.3%,1761.543,11.3%,1852.955,11.4%,1944.747,11.4%,2036.513,11.4%,2127.776,11.4%,2218.114,11.5%,2301.738,11.5%,2388.463,11.5%,2478.48,11.5%,2571.875,11.5%,2668.765,11.6%,,,,,
Bramley,76.73228,,2.616,0.0%,2.646,0.0%,2.677,0.0%,2.722,0.0%,2.848,0.0%,3,0.0%,3.171,0.0%,3.353,0.0%,3.544,0.0%,3.745,0.0%,3.956,0.0%,4.19,0.0%,4.424,0.0%,4.679,0.0%,4.956,0.0%,5.243,0.0%,5.543,0.0%,5.872,0.0%,6.213,0.0%,6.574,0.0%,6.928,0.0%,7.272,0.0%,7.626,0.0%,7.972,0.0%,8.32,0.0%,8.668,0.0%,8.987,0.0%,9.318,0.0%,9.669,0.0%,10.021,0.0%,10.395,0.0%,,,,,
London,142.44145,,14.52,0.2%,14.659,0.2%,14.795,0.2%,15.089,0.2%,15.809,0.2%,16.674,0.2%,17.649,0.2%,18.673,0.2%,19.749,0.2%,20.904,0.2%,22.109,0.2%,23.403,0.2%,24.782,0.2%,26.236,0.2%,27.786,0.2%,29.418,0.2%,31.166,0.2%,33.02,0.2%,34.978,0.2%,37.06,0.3%,39.097,0.3%,41.071,0.3%,43.056,0.3%,45.046,0.3%,47.026,0.3%,48.995,0.3%,50.82,0.3%,52.722,0.3%,54.687,0.3%,56.729,0.3%,58.832,0.3%,,,,,
Kemsley,65.51442,,70.731,1.1%,71.301,1.1%,71.871,1.1%,73.168,1.1%,77.035,1.1%,81.557,1.1%,86.738,1.1%,92.249,1.1%,98.1,1.2%,104.322,1.2%,110.942,1.2%,117.977,1.2%,125.461,1.2%,133.417,1.2%,141.873,1.2%,150.851,1.3%,160.401,1.3%,170.55,1.3%,181.351,1.3%,192.813,1.3%,203.977,1.3%,214.771,1.3%,225.596,1.3%,236.412,1.3%,247.141,1.3%,257.758,1.3%,267.538,1.3%,277.709,1.3%,288.251,1.3%,299.204,1.3%,310.548,1.3%,,,,,
Sellindge,47.47516,,212.879,3.3%,213.44,3.3%,214.022,3.3%,215.313,3.2%,219.084,3.1%,234.636,3.2%,239.72,3.1%,245.112,3.0%,250.844,3.0%,256.948,2.9%,263.418,2.8%,270.306,2.7%,277.624,2.7%,285.404,2.6%,293.688,2.6%,302.474,2.5%,311.811,2.5%,321.75,2.4%,332.301,2.4%,343.534,2.3%,354.451,2.3%,365.008,2.2%,375.597,2.2%,386.18,2.2%,396.684,2.1%,407.08,2.1%,416.67,2.1%,426.619,2.1%,436.942,2.0%,447.667,2.0%,458.794,2.0%,,,,,
Lovedean,122.52657,,0.347,0.0%,0.354,0.0%,0.359,0.0%,0.369,0.0%,0.379,0.0%,0.391,0.0%,0.403,0.0%,0.417,0.0%,0.429,0.0%,0.442,0.0%,0.454,0.0%,0.468,0.0%,0.482,0.0%,0.498,0.0%,0.513,0.0%,0.529,0.0%,0.548,0.0%,0.564,0.0%,0.583,0.0%,0.601,0.0%,0.621,0.0%,0.642,0.0%,0.661,0.0%,0.683,0.0%,0.705,0.0%,0.728,0.0%,0.751,0.0%,0.776,0.0%,0.801,0.0%,0.825,0.0%,0.851,0.0%,,,,,
S.W.Penisula,299.57007,,264.78,4.1%,267.58,4.1%,270.388,4.1%,275.835,4.1%,288.492,4.1%,303.579,4.1%,320.559,4.2%,338.443,4.2%,357.322,4.2%,377.239,4.2%,398.267,4.3%,420.698,4.3%,444.499,4.3%,469.744,4.3%,496.53,4.3%,524.931,4.4%,555.03,4.4%,586.972,4.4%,620.818,4.4%,656.681,4.4%,691.789,4.4%,725.998,4.5%,760.409,4.5%,794.902,4.5%,829.296,4.5%,863.483,4.5%,895.454,4.5%,928.584,4.5%,962.928,4.5%,998.501,4.5%,1035.359,4.5%,,,,,
," 2,900.02 ",," 6,459.53 ",100%," 6,510.82 ",100%," 6,562.44 ",100%," 6,671.70 ",100%," 6,968.61 ",100%," 7,343.97 ",100%," 7,706.02 ",100%," 8,087.84 ",100%," 8,490.68 ",100%," 8,915.62 ",100%," 9,364.10 ",100%," 9,839.47 ",100%," 10,342.03 ",100%," 10,873.40 ",100%," 11,435.26 ",100%," 12,029.14 ",100%," 12,659.29 ",100%," 13,320.82 ",100%," 14,022.38 ",100%," 14,763.94 ",100%," 15,547.80 ",100%," 16,307.68 ",100%," 17,071.03 ",100%," 17,834.29 ",100%," 18,593.71 ",100%," 19,345.65 ",100%," 20,042.47 ",100%," 20,765.43 ",100%," 21,515.45 ",100%," 22,293.50 ",100%," 23,100.53 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
