,,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,Domestic 2019,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Bramford,119.24258,,117.062,1.8%,117.384,1.8%,117.705,1.8%,118.394,1.8%,120.123,1.8%,127.539,1.8%,129.644,1.8%,131.907,1.7%,134.297,1.7%,136.825,1.6%,139.561,1.6%,142.444,1.6%,145.485,1.5%,148.704,1.5%,152.082,1.5%,155.656,1.5%,159.439,1.4%,163.409,1.4%,167.607,1.4%,172.034,1.3%,176.717,1.3%,181.259,1.3%,185.828,1.3%,190.415,1.3%,194.99,1.2%,199.523,1.2%,203.764,1.2%,208.163,1.2%,212.728,1.2%,217.443,1.2%,222.334,1.2%,,,,,
Pelham,75.1926,,48.179,0.7%,48.507,0.7%,48.873,0.7%,49.621,0.7%,51.589,0.8%,53.659,0.8%,56.05,0.8%,58.613,0.8%,61.329,0.8%,64.174,0.8%,67.263,0.8%,70.523,0.8%,73.954,0.8%,77.577,0.8%,81.393,0.8%,85.428,0.8%,89.676,0.8%,94.145,0.8%,98.876,0.8%,103.86,0.8%,109.126,0.8%,114.242,0.8%,119.369,0.8%,124.508,0.8%,129.629,0.8%,134.693,0.8%,139.417,0.8%,144.303,0.8%,149.381,0.8%,154.631,0.8%,160.082,0.8%,,,,,
Sundon/East Claydon,106.11918,,273.362,4.2%,275.284,4.2%,277.267,4.2%,281.505,4.2%,292.376,4.3%,303.81,4.3%,317.059,4.3%,331.264,4.3%,346.266,4.3%,362.081,4.4%,379.193,4.4%,397.262,4.4%,416.306,4.4%,436.385,4.5%,457.581,4.5%,479.941,4.5%,503.517,4.5%,528.389,4.5%,554.609,4.6%,582.292,4.6%,611.5,4.6%,639.905,4.6%,668.428,4.6%,697.001,4.6%,725.473,4.6%,753.72,4.6%,780.066,4.7%,807.353,4.7%,835.625,4.7%,864.959,4.7%,895.323,4.7%,,,,,
Melksham,233.18009,,629.166,9.7%,633.552,9.7%,638.147,9.8%,647.759,9.8%,672.101,9.8%,697.739,9.8%,727.464,9.8%,759.353,9.9%,793.01,9.9%,828.545,10.0%,867.037,10.0%,907.632,10.1%,950.472,10.1%,995.653,10.2%,1043.339,10.2%,1093.62,10.2%,1146.699,10.3%,1202.662,10.3%,1261.712,10.4%,1324,10.4%,1389.725,10.4%,1453.675,10.5%,1518.034,10.5%,1582.453,10.5%,1646.722,10.5%,1710.477,10.5%,1770.071,10.6%,1831.818,10.6%,1895.823,10.6%,1962.133,10.6%,2030.842,10.6%,,,,,
Bramley,76.73228,,2.616,0.0%,2.64,0.0%,2.654,0.0%,2.689,0.0%,2.785,0.0%,2.881,0.0%,2.988,0.0%,3.107,0.0%,3.236,0.0%,3.368,0.0%,3.509,0.0%,3.662,0.0%,3.826,0.0%,3.99,0.0%,4.166,0.0%,4.363,0.0%,4.561,0.0%,4.77,0.0%,4.991,0.0%,5.222,0.0%,5.474,0.0%,5.717,0.0%,5.962,0.0%,6.197,0.0%,6.444,0.0%,6.692,0.0%,6.92,0.0%,7.16,0.0%,7.401,0.0%,7.663,0.0%,7.925,0.0%,,,,,
London,142.44145,,14.52,0.2%,14.606,0.2%,14.717,0.2%,14.942,0.2%,15.455,0.2%,15.997,0.2%,16.63,0.2%,17.307,0.2%,18.04,0.2%,18.798,0.2%,19.609,0.2%,20.485,0.2%,21.408,0.2%,22.373,0.2%,23.412,0.2%,24.483,0.2%,25.633,0.2%,26.838,0.2%,28.107,0.2%,29.453,0.2%,30.864,0.2%,32.248,0.2%,33.637,0.2%,35.041,0.2%,36.429,0.2%,37.813,0.2%,39.122,0.2%,40.473,0.2%,41.88,0.2%,43.335,0.2%,44.841,0.2%,,,,,
Kemsley,65.51442,,70.731,1.1%,71.225,1.1%,71.74,1.1%,72.855,1.1%,75.77,1.1%,78.827,1.1%,82.374,1.1%,86.163,1.1%,90.173,1.1%,94.393,1.1%,98.965,1.1%,103.777,1.2%,108.853,1.2%,114.205,1.2%,119.842,1.2%,125.809,1.2%,132.088,1.2%,138.707,1.2%,145.697,1.2%,153.069,1.2%,160.841,1.2%,168.405,1.2%,175.99,1.2%,183.586,1.2%,191.141,1.2%,198.631,1.2%,205.599,1.2%,212.819,1.2%,220.29,1.2%,228.052,1.2%,236.086,1.2%,,,,,
Sellindge,47.47516,,212.879,3.3%,213.367,3.3%,213.865,3.3%,214.966,3.2%,217.816,3.2%,231.93,3.3%,235.404,3.2%,239.11,3.1%,243.02,3.0%,247.151,3.0%,251.615,2.9%,256.33,2.8%,261.297,2.8%,266.537,2.7%,272.05,2.7%,277.873,2.6%,284.019,2.5%,290.497,2.5%,297.338,2.4%,304.55,2.4%,312.154,2.3%,319.551,2.3%,326.969,2.3%,334.401,2.2%,341.803,2.2%,349.129,2.2%,355.967,2.1%,363.034,2.1%,370.366,2.1%,377.96,2.0%,385.835,2.0%,,,,,
Lovedean,122.52657,,0.347,0.0%,0.349,0.0%,0.353,0.0%,0.355,0.0%,0.358,0.0%,0.361,0.0%,0.368,0.0%,0.372,0.0%,0.378,0.0%,0.384,0.0%,0.391,0.0%,0.398,0.0%,0.405,0.0%,0.416,0.0%,0.424,0.0%,0.435,0.0%,0.446,0.0%,0.457,0.0%,0.468,0.0%,0.481,0.0%,0.494,0.0%,0.508,0.0%,0.523,0.0%,0.537,0.0%,0.554,0.0%,0.569,0.0%,0.587,0.0%,0.605,0.0%,0.623,0.0%,0.642,0.0%,0.661,0.0%,,,,,
S.W.Penisula,299.57007,,264.78,4.1%,266.638,4.1%,268.565,4.1%,272.304,4.1%,281.106,4.1%,290.426,4.1%,301.248,4.1%,312.892,4.1%,325.249,4.1%,338.319,4.1%,352.488,4.1%,367.482,4.1%,383.337,4.1%,400.072,4.1%,417.748,4.1%,436.429,4.1%,456.131,4.1%,476.933,4.1%,498.868,4.1%,522.015,4.1%,546.416,4.1%,570.305,4.1%,594.419,4.1%,618.644,4.1%,642.91,4.1%,667.088,4.1%,689.918,4.1%,713.59,4.1%,738.113,4.1%,763.53,4.1%,789.847,4.1%,,,,,
," 2,900.02 ",," 6,459.53 ",100%," 6,499.35 ",100%," 6,540.90 ",100%," 6,627.30 ",100%," 6,845.21 ",100%," 7,133.22 ",100%," 7,399.50 ",100%," 7,685.02 ",100%," 7,986.69 ",100%," 8,305.07 ",100%," 8,649.84 ",100%," 9,013.72 ",100%," 9,397.78 ",100%," 9,802.85 ",100%," 10,230.29 ",100%," 10,681.30 ",100%," 11,159.74 ",100%," 11,659.08 ",100%," 12,188.56 ",100%," 12,747.19 ",100%," 13,336.61 ",100%," 13,910.29 ",100%," 14,487.58 ",100%," 15,065.95 ",100%," 15,642.94 ",100%," 16,215.64 ",100%," 16,751.26 ",100%," 17,306.31 ",100%," 17,881.56 ",100%," 18,477.70 ",100%," 19,095.29 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
