,snapshot,objective,stores,generators
407,2045-01-17 23:00:00,1,1,1
408,2045-01-18 00:00:00,1,1,1
409,2045-01-18 01:00:00,1,1,1
410,2045-01-18 02:00:00,1,1,1
411,2045-01-18 03:00:00,1,1,1
412,2045-01-18 04:00:00,1,1,1
413,2045-01-18 05:00:00,1,1,1
414,2045-01-18 06:00:00,1,1,1
415,2045-01-18 07:00:00,1,1,1
416,2045-01-18 08:00:00,1,1,1
417,2045-01-18 09:00:00,1,1,1
418,2045-01-18 10:00:00,1,1,1
419,2045-01-18 11:00:00,1,1,1
420,2045-01-18 12:00:00,1,1,1
421,2045-01-18 13:00:00,1,1,1
422,2045-01-18 14:00:00,1,1,1
423,2045-01-18 15:00:00,1,1,1
424,2045-01-18 16:00:00,1,1,1
425,2045-01-18 17:00:00,1,1,1
426,2045-01-18 18:00:00,1,1,1
427,2045-01-18 19:00:00,1,1,1
428,2045-01-18 20:00:00,1,1,1
429,2045-01-18 21:00:00,1,1,1
430,2045-01-18 22:00:00,1,1,1
431,2045-01-18 23:00:00,1,1,1
432,2045-01-19 00:00:00,1,1,1
433,2045-01-19 01:00:00,1,1,1
434,2045-01-19 02:00:00,1,1,1
435,2045-01-19 03:00:00,1,1,1
436,2045-01-19 04:00:00,1,1,1
437,2045-01-19 05:00:00,1,1,1
438,2045-01-19 06:00:00,1,1,1
439,2045-01-19 07:00:00,1,1,1
440,2045-01-19 08:00:00,1,1,1
441,2045-01-19 09:00:00,1,1,1
442,2045-01-19 10:00:00,1,1,1
443,2045-01-19 11:00:00,1,1,1
444,2045-01-19 12:00:00,1,1,1
445,2045-01-19 13:00:00,1,1,1
446,2045-01-19 14:00:00,1,1,1
447,2045-01-19 15:00:00,1,1,1
448,2045-01-19 16:00:00,1,1,1
449,2045-01-19 17:00:00,1,1,1
450,2045-01-19 18:00:00,1,1,1
451,2045-01-19 19:00:00,1,1,1
452,2045-01-19 20:00:00,1,1,1
453,2045-01-19 21:00:00,1,1,1
454,2045-01-19 22:00:00,1,1,1
455,2045-01-19 23:00:00,1,1,1
456,2045-01-20 00:00:00,1,1,1
457,2045-01-20 01:00:00,1,1,1
458,2045-01-20 02:00:00,1,1,1
459,2045-01-20 03:00:00,1,1,1
460,2045-01-20 04:00:00,1,1,1
461,2045-01-20 05:00:00,1,1,1
462,2045-01-20 06:00:00,1,1,1
463,2045-01-20 07:00:00,1,1,1
464,2045-01-20 08:00:00,1,1,1
465,2045-01-20 09:00:00,1,1,1
466,2045-01-20 10:00:00,1,1,1
467,2045-01-20 11:00:00,1,1,1
468,2045-01-20 12:00:00,1,1,1
469,2045-01-20 13:00:00,1,1,1
470,2045-01-20 14:00:00,1,1,1
471,2045-01-20 15:00:00,1,1,1
472,2045-01-20 16:00:00,1,1,1
473,2045-01-20 17:00:00,1,1,1
474,2045-01-20 18:00:00,1,1,1
475,2045-01-20 19:00:00,1,1,1
476,2045-01-20 20:00:00,1,1,1
477,2045-01-20 21:00:00,1,1,1
478,2045-01-20 22:00:00,1,1,1
479,2045-01-20 23:00:00,1,1,1
480,2045-01-21 00:00:00,1,1,1
481,2045-01-21 01:00:00,1,1,1
482,2045-01-21 02:00:00,1,1,1
483,2045-01-21 03:00:00,1,1,1
484,2045-01-21 04:00:00,1,1,1
485,2045-01-21 05:00:00,1,1,1
486,2045-01-21 06:00:00,1,1,1
487,2045-01-21 07:00:00,1,1,1
488,2045-01-21 08:00:00,1,1,1
489,2045-01-21 09:00:00,1,1,1
490,2045-01-21 10:00:00,1,1,1
491,2045-01-21 11:00:00,1,1,1
492,2045-01-21 12:00:00,1,1,1
493,2045-01-21 13:00:00,1,1,1
494,2045-01-21 14:00:00,1,1,1
495,2045-01-21 15:00:00,1,1,1
496,2045-01-21 16:00:00,1,1,1
497,2045-01-21 17:00:00,1,1,1
498,2045-01-21 18:00:00,1,1,1
499,2045-01-21 19:00:00,1,1,1
500,2045-01-21 20:00:00,1,1,1
501,2045-01-21 21:00:00,1,1,1
502,2045-01-21 22:00:00,1,1,1
503,2045-01-21 23:00:00,1,1,1
504,2045-01-22 00:00:00,1,1,1
505,2045-01-22 01:00:00,1,1,1
506,2045-01-22 02:00:00,1,1,1
507,2045-01-22 03:00:00,1,1,1
508,2045-01-22 04:00:00,1,1,1
509,2045-01-22 05:00:00,1,1,1
510,2045-01-22 06:00:00,1,1,1
511,2045-01-22 07:00:00,1,1,1
512,2045-01-22 08:00:00,1,1,1
513,2045-01-22 09:00:00,1,1,1
514,2045-01-22 10:00:00,1,1,1
515,2045-01-22 11:00:00,1,1,1
516,2045-01-22 12:00:00,1,1,1
517,2045-01-22 13:00:00,1,1,1
518,2045-01-22 14:00:00,1,1,1
519,2045-01-22 15:00:00,1,1,1
520,2045-01-22 16:00:00,1,1,1
521,2045-01-22 17:00:00,1,1,1
