,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland,Ireland2,Denmark,Germany,Norway
27,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-0.9999999999999996,-0.9999999999999997,-0.9999999999999997,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
28,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-0.9999999999999996,-0.9999999999999997,-0.9999999999999997,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-0.9999999999999997,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-0.9999999999999996,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-1.0000000000000018,-1.0000000000000007,-1.0000000000000007,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000004,-0.9999999999999998,-0.9999999999999998,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-0.9999999999999999,-0.9999999999999997,-0.9999999999999997,-0.9999999999999997,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999993,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
31,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.9999999999999997,-0.9999999999999997,-0.9999999999999999,-0.9999999999999998,-0.9999999999999998,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-8.0,-21.0,-2.0
32,-1.0,-1.0000000000000002,-1.0000000000000016,-1.0000000000000016,-1.0000000000000016,-0.9999999999999988,-1.0000000000000016,-1.000000000000001,-0.9999999999999988,-1.000000000000001,-0.9999999999999988,-1.0000000000000078,-0.9999999999999929,-0.9999999999999929,-1.000000000000001,-1.0000000000000004,-1.0000000000000004,-1.0000000000000002,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-21.0,-21.0,-16.0,-16.0,-8.000000000000007,-8.000000000000002,-8.0,-8.0,-21.0,-2.000000000000001
33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999998,-0.9999999999999998,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999996,-0.9999999999999964,-0.9999999999999964,-0.9999999999999964,-0.9999999999999987,-1.0,-0.9999999999999899,-0.9999999999999899,-0.9999999999999964,-0.9999999999999899,-0.9999999999999899,-0.9999999999999899,-20.999999999999996,-20.99999999999999,-15.99999999999999,-15.99999999999999,-8.0,-8.0,-8.0,-7.9999999999999964,-20.999999999999996,-2.0
34,-1.0,-1.0,-1.0000000000000013,-1.0000000000000013,-1.0000000000000013,-1.0000000000000009,-1.0000000000000013,-1.000000000000001,-1.0000000000000009,-1.000000000000001,-1.0000000000000009,-1.0000000000000018,-1.0000000000000007,-1.0000000000000007,-1.000000000000001,-1.000000000000001,-1.000000000000001,-1.0000000000000009,-1.000000000000001,-1.000000000000001,-1.000000000000001,-1.0000000000000009,-1.0000000000000009,-1.0000000000000009,-1.0000000000000009,-1.000000000000001,-1.0000000000000009,-1.0000000000000009,-1.0000000000000009,-21.0,-21.0,-16.0,-16.0,-8.000000000000002,-8.000000000000002,-8.0,-8.000000000000002,-21.0,-2.000000000000001
35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999993,-0.9999999999999993,-0.9999999999999993,-0.9999999999999996,-0.9999999999999993,-0.9999999999999993,-0.9999999999999993,-0.9999999999999993,-0.9999999999999993,-0.9999999999999993,-0.9999999999999993,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-7.999999999999999,-7.999999999999999,-21.0,-2.0
36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0000000000000004,-1.0000000000000004,-0.9999999999999982,-1.0000000000000004,-1.0000000000000004,-1.0000000000000004,-0.9999999999999982,-0.9999999999999982,-0.9999999999999982,-1.0000000000000004,-1.0000000000000009,-1.0000000000000009,-1.0,-0.9999999999999982,-1.0000000000000009,-1.0000000000000009,-1.0000000000000009,-21.0,-21.0,-16.0,-16.0,-8.0,-8.0,-8.0,-7.999999999999998,-21.0,-2.0
