name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,build_year,p_nom_opt
Feckenham Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Feckenham,0,69.12413793103448
Walpole Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Walpole,0,69.12413793103448
Bramford Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Bramford,0,69.12413793103448
Pelham Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Pelham,0,69.12413793103448
Sundon/East Claydon Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Sundon/East Claydon,0,69.12413793103448
Melksham Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Melksham,0,69.12413793103448
Bramley Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Bramley,0,69.12413793103448
London Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,London,0,69.12413793103448
Kemsley Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Kemsley,0,69.12413793103448
Sellindge Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Sellindge,0,69.12413793103448
Lovedean Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,Lovedean,0,69.12413793103448
S.W.Penisula Liquid Air,69.12413793103448,Liquid Air,0.0,4.196647710266388,0.69,0.69,290.0896551724138,S.W.Penisula,0,69.12413793103448
Beauly P2G,2967.498543516413,P2G,500.0,999999999.0,0.75,0.75,0.0,Beauly,0,2967.498543516413
Denny/Bonnybridge P2G,191.18062219426156,P2G,500.0,999999999.0,0.75,0.75,0.0,Denny/Bonnybridge,0,191.18062219426156
Eccles P2G,50.60794287129112,P2G,500.0,999999999.0,0.75,0.75,0.0,Eccles,0,50.60794287129112
Errochty P2G,119.81346924286396,P2G,500.0,999999999.0,0.75,0.75,0.0,Errochty,0,119.81346924286396
Neilston P2G,1439.986943114838,P2G,500.0,999999999.0,0.75,0.75,0.0,Neilston,0,1439.986943114838
Peterhead P2G,5533.609477791489,P2G,500.0,999999999.0,0.75,0.75,0.0,Peterhead,0,5533.609477791489
Strathaven P2G,640.107454694104,P2G,500.0,999999999.0,0.75,0.75,0.0,Strathaven,0,640.107454694104
Torness P2G,918.003037826002,P2G,500.0,999999999.0,0.75,0.75,0.0,Torness,0,918.003037826002
Bramford P2G,4207.936059071534,P2G,500.0,999999999.0,0.75,0.75,0.0,Bramford,0,4207.936059071534
Bramley P2G,131.91417847928895,P2G,500.0,999999999.0,0.75,0.75,0.0,Bramley,0,131.91417847928895
Daines P2G,42.05358684300225,P2G,500.0,999999999.0,0.75,0.75,0.0,Daines,0,42.05358684300225
Deeside P2G,933.8977006726536,P2G,500.0,999999999.0,0.75,0.75,0.0,Deeside,0,933.8977006726536
Feckenham P2G,136.86391293244543,P2G,500.0,999999999.0,0.75,0.75,0.0,Feckenham,0,136.86391293244543
Harker P2G,217.73718845508657,P2G,500.0,999999999.0,0.75,0.75,0.0,Harker,0,217.73718845508657
Keadby P2G,1068.4925616173546,P2G,500.0,999999999.0,0.75,0.75,0.0,Keadby,0,1068.4925616173546
Kemsley P2G,210.0076345654097,P2G,500.0,999999999.0,0.75,0.75,0.0,Kemsley,0,210.0076345654097
London P2G,22.607720929779276,P2G,500.0,999999999.0,0.75,0.75,0.0,London,0,22.607720929779276
Lovedean P2G,378.31147298147033,P2G,500.0,999999999.0,0.75,0.75,0.0,Lovedean,0,378.31147298147033
Melksham P2G,949.9768630240832,P2G,500.0,999999999.0,0.75,0.75,0.0,Melksham,0,949.9768630240832
Pelham P2G,200.5280969353371,P2G,500.0,999999999.0,0.75,0.75,0.0,Pelham,0,200.5280969353371
Penwortham P2G,1126.906503473941,P2G,500.0,999999999.0,0.75,0.75,0.0,Penwortham,0,1126.906503473941
Ratcliffe P2G,229.5253619143525,P2G,500.0,999999999.0,0.75,0.75,0.0,Ratcliffe,0,229.5253619143525
S.W.Penisula P2G,712.3954297544175,P2G,500.0,999999999.0,0.75,0.75,0.0,S.W.Penisula,0,712.3954297544175
Sellindge P2G,288.1603045509663,P2G,500.0,999999999.0,0.75,0.75,0.0,Sellindge,0,288.1603045509663
Stella West P2G,3344.74740998756,P2G,500.0,999999999.0,0.75,0.75,0.0,Stella West,0,3344.74740998756
Sundon/East Claydon P2G,241.3885721479028,P2G,500.0,999999999.0,0.75,0.75,0.0,Sundon/East Claydon,0,241.3885721479028
Th. Marsh/Stocksbridge P2G,77.01954316972092,P2G,500.0,999999999.0,0.75,0.75,0.0,Th. Marsh/Stocksbridge,0,77.01954316972092
Thornton/Drax/Eggborough P2G,131.24256509711088,P2G,500.0,999999999.0,0.75,0.75,0.0,Thornton/Drax/Eggborough,0,131.24256509711088
Walpole P2G,4247.722369861816,P2G,500.0,999999999.0,0.75,0.75,0.0,Walpole,0,4247.722369861816
