,IFA,IFA2,NSL,ElecLink,GridLink,NorthConnect,FAB Link
119,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
120,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
121,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
122,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
123,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
124,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
125,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
126,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
127,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
128,1980.0,-990.0,1386.0,-594.0,-1386.0,-1386.0,990.0
129,1980.0,990.0,1386.0,-594.0,-1386.0,-1386.0,-990.0
130,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
131,1980.0,990.0,1386.0,-594.0,-1386.0,-1386.0,-990.0
132,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
133,1980.0,990.0,1386.0,-594.0,-1386.0,-1386.0,-990.0
134,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
135,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
136,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
137,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
138,-1980.0,990.0,1386.0,594.0,1386.0,-1386.0,-990.0
139,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
140,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
141,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
142,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
143,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
144,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
145,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
146,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
147,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
148,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
149,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
150,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
151,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
152,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
153,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
154,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
155,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
156,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
157,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
158,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
159,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
160,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
161,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
162,396.0,-990.0,1386.0,990.0,-1386.0,-1386.0,990.0
163,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
164,-396.0,990.0,1386.0,-990.0,1386.0,-1386.0,-990.0
165,396.0,990.0,1386.0,990.0,-1386.0,-1386.0,-990.0
