name,bus0,bus1,r,x,b,s_nom,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
75,Sundon/East Claydon,Keadby,0.00178,0.0172,0.8403,8040.0,0,AC,1.075e-07,1.1124999999999999e-08,8040.0,400.0
76,Sundon/East Claydon,Keadby,0.00178,0.0172,0.627,8040.0,0,AC,1.075e-07,1.1124999999999999e-08,8040.0,400.0
77,Sundon/East Claydon,London,0.00037,0.0041,0.4098,13100.0,0,AC,2.5625000000000003e-08,2.3125e-09,13100.0,400.0
78,Sundon/East Claydon,London,0.00034,0.0041,0.429,13100.0,0,AC,2.5625000000000003e-08,2.125e-09,13100.0,400.0
79,Sundon/East Claydon,Pelham,0.00019,0.00111,0.1232,11120.0,0,AC,6.937500000000001e-09,1.1875e-09,11120.0,400.0
80,Sundon/East Claydon,Pelham,0.00048,0.0061,0.3041,11120.0,0,AC,3.8125000000000006e-08,3e-09,11120.0,400.0
81,Melksham,S.W.Penisula,0.00151,0.0182,0.53,8040.0,0,AC,1.1375000000000001e-07,9.437500000000001e-09,8040.0,400.0
82,Melksham,Bramley,0.00086,0.0008,0.9622,11120.0,0,AC,5e-09,5.375e-09,11120.0,400.0
83,Melksham,Bramley,0.00023,0.0007,2.8447,17600.0,0,AC,4.375e-09,1.4375e-09,17600.0,400.0
84,Melksham,Sundon/East Claydon,0.00055,0.003,0.3468,11120.0,0,AC,1.875e-08,3.4375e-09,11120.0,400.0
85,Melksham,Sundon/East Claydon,0.00039,0.003,0.2466,11080.0,0,AC,1.875e-08,2.4375e-09,11080.0,400.0
86,Melksham,S.W.Penisula,0.00151,0.0182,0.53,8040.0,0,AC,1.1375000000000001e-07,9.437500000000001e-09,8040.0,400.0
87,Bramley,Lovedean,0.00068,0.007,0.2388,8840.0,0,AC,4.375e-08,4.25e-09,8840.0,400.0
88,Bramley,London,0.00104,0.0091,0.2918,5560.0,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,5560.0,400.0
89,Bramley,London,0.00104,0.0091,0.2918,5560.0,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,5560.0,400.0
90,Bramley,Lovedean,0.00068,0.007,0.2388,8840.0,0,AC,4.375e-08,4.25e-09,8840.0,400.0
91,London,Kemsley,0.0002,0.0057,0.532,27840.0,0,AC,3.5625e-08,1.25e-09,27840.0,400.0
92,London,Kemsley,0.0002,0.0057,0.532,22160.0,0,AC,3.5625e-08,1.25e-09,22160.0,400.0
93,Sellindge,Kemsley,0.0002,0.00503,0.1797,12400.0,0,AC,3.14375e-08,1.25e-09,12400.0,400.0
94,Sellindge,Kemsley,0.0002,0.00503,0.1797,12400.0,0,AC,3.14375e-08,1.25e-09,12400.0,400.0
95,Lovedean,Sellindge,0.00038,0.00711,0.2998,12280.0,0,AC,4.44375e-08,2.375e-09,12280.0,400.0
96,Lovedean,Sellindge,0.00038,0.00711,0.2998,12280.0,0,AC,4.44375e-08,2.375e-09,12280.0,400.0
97,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,11120.0,0,AC,4.975e-08,3.1875000000000004e-09,11120.0,400.0
98,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,11120.0,0,AC,4.975e-08,3.1875000000000004e-09,11120.0,400.0
