,Interconnector Deeside,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley
1928,0.8333333,0.8517187440625,0.135,0.8609091
1929,0.6066667,0.858125015625,0.135,0.9604545
1930,0.24583334,0.858125015625,0.125,0.96090907
1931,0.005,0.858125015625,0.0,0.96181816
1932,0.0,0.858125015625,0.0,0.9613636
1933,0.0,0.858125015625,0.0,0.91
1934,0.0,0.858125015625,0.0,0.90909094
1935,0.0,0.8578125109375,0.030833334,0.9086364
1936,0.07333333,0.8579687640625001,0.13416667,0.90909094
1937,0.16833334,0.858125015625,0.12583333,0.90818185
1938,0.0,0.8579687640625001,0.0,0.96
1939,0.0,0.858125015625,0.0,0.96090907
1940,0.0,0.858125015625,0.0,0.9613636
1941,0.0,0.858125015625,0.0,0.96181816
1942,0.0,0.858125015625,0.0,0.9095455
1943,0.0,0.76734375625,0.0,0.7781818
1944,0.0,0.701406278125,0.0,0.69
1945,0.0,0.700781265625,0.0,0.6881818
1946,0.0,0.64328126125,0.0,0.62863636
1947,0.0,0.64249999375,0.0,0.62772727
1948,0.0,0.636406255,0.0,0.6272727
1949,0.0,0.63625,0.0,0.62636364
1950,0.0,0.636093746875,0.0,0.62636364
1951,0.0,0.68421876625,0.0,0.6868182
1952,0.0,0.6871874796874999,0.0,0.37136364
1953,0.0,0.8764062734375,0.0,0.84409094
1954,0.0,0.8800000262500001,0.0,0.85636365
1955,0.0,0.8796874953125001,0.0,0.85636365
1956,0.0,0.8795312421875,0.0,0.8822727
1957,0.0,0.867656228125,0.0,0.8909091
1958,0.0,0.8673437353125,0.0,0.8881818
1959,0.0,0.867031261875,0.0,0.8909091
1960,0.0,0.8978125040624999,0.0,0.9086364
1961,0.0,0.9164062446875,0.0,0.90909094
1962,0.0,0.9357812459375,0.0,0.9604545
1963,0.0,0.9360937490625,0.0,0.9613636
1964,0.0,0.9360937490625,0.0,0.96090907
1965,0.0,0.936250021875,0.0,0.9613636
1966,0.0,0.9171874990625,0.0,0.91
1967,0.0,0.90156251875,0.0,0.9086364
1968,0.0,0.9012499875,0.0,0.90909094
1969,0.0,0.840937509375,0.0,0.86545455
1970,0.0,0.794375021875,0.0,0.8218182
1971,0.0,0.73281252625,0.0,0.73
1972,0.0,0.7320312737500001,0.0,0.72818184
1973,0.0,0.7320312325,0.0,0.72727275
1974,0.0,0.7321874875000001,0.0,0.7277273
1975,0.0,0.7320312737500001,0.0,0.72727275
1976,0.0,0.7320312737500001,0.0,0.72727275
1977,0.0,0.74078125,0.0,0.7772727
1978,0.0,0.7529687240625,0.0,0.7286364
1979,0.0,0.804531276875,0.0,0.7709091
1980,0.0,0.832968778125,0.0,0.81045455
1981,0.0,0.8331250228125,0.0,0.83772725
1982,0.0,0.8331250228125,0.0,0.8172727
1983,0.0,0.833281243125,0.0,0.81136364
1984,0.0,0.801718728125,0.0,0.7854546
1985,0.0,0.751093740625,0.0,0.8190909
1986,0.0,0.8570312490625,0.0,0.9581818
1987,0.0,0.858125015625,0.0,0.96181816
1988,0.0,0.858125015625,0.0,0.96181816
1989,0.0,0.8578124896875,0.0,0.9613636
1990,0.0,0.8578124896875,0.0,0.9104546
1991,0.0,0.8334375071875,0.0,0.8390909
1992,0.0,0.657031265625,0.0,0.6490909
1993,0.0,0.654687475,0.0,0.6463636
1994,0.0,0.6548437478125001,0.0,0.6459091
1995,0.0,0.636406253125,0.0,0.6281818
1996,0.0,0.63625,0.0,0.5672727
1997,0.0,0.63625,0.0,0.5618182
1998,0.0,0.63593749375,0.0,0.6259091
