,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula,Netherlands,Belgium,France1,France2,Ireland,N. Ireland
30,151.44351,213.5351,75.293434,561.2298,662.88434,192.72978,170.90732,49.2275,232.20502,1406.1627,713.4428,1528.2037,1551.4545,1237.8881,1127.5138,404.52905,977.4084,1989.4597,545.47003,683.5114,416.01855,1398.8265,2050.0637,641.98846,4409.704,769.14734,394.17886,1063.821,1291.7515,-0.0,-0.0,-0.0,1.0,500.5,454.5
31,170.25998,240.06628,84.64845,630.96124,745.24603,216.67596,192.14212,55.343895,261.0559,1580.8749,802.08624,1718.0792,1744.2188,1391.6925,1267.6045,454.79077,1098.849,2236.6453,613.2433,768.436,467.70782,1572.6272,2304.779,721.7539,4957.599,864.712,443.1546,1195.998,1452.2483,-0.0,-0.0,-0.0,1.0,306.5,410.5
32,194.99126,274.93735,96.94414,722.61206,853.49744,248.14943,220.0519,63.382923,298.97583,1810.5062,918.59406,1967.6404,1997.5768,1593.8441,1451.7316,520.8518,1258.4633,2561.531,702.3205,880.05585,535.64514,1801.0607,2639.5618,826.59296,5677.7197,990.3165,507.52542,1369.7239,1663.1959,-0.0,-0.0,-0.0,1.0,492.5,450.0
33,213.85838,301.53995,106.32434,792.5312,936.0809,272.1601,241.34387,69.51578,327.90436,1985.6887,1007.47614,2158.0269,2190.86,1748.0626,1592.1995,571.24884,1380.2307,2809.3818,770.27625,965.20905,587.4736,1975.3292,2894.9626,906.5731,6227.089,1086.1384,556.633,1502.2568,1824.1249,-0.0,-0.0,-0.0,1.0,535.5,454.0
34,228.73822,322.5205,113.72218,847.67395,1001.2115,291.09644,258.1361,74.352554,350.7193,2123.849,1077.5743,2308.1782,2343.2957,1869.6893,1702.9816,610.99524,1476.2644,3004.853,823.87054,1032.3663,628.3488,2112.7688,3096.3884,969.6507,6660.3574,1161.7097,595.3624,1606.7809,1951.0438,-0.0,-0.0,-0.0,1.0,535.5,454.0
35,236.04308,332.82034,117.35395,874.74475,1033.1857,300.39273,266.3798,76.727036,361.91968,2191.675,1111.9872,2381.8909,2418.13,1929.3987,1757.3671,630.5076,1523.4095,3100.8145,850.1812,1065.3354,648.4154,2180.241,3195.273,1000.6169,6873.059,1198.8094,614.37555,1658.0941,2013.3513,-0.0,-0.0,-0.0,1.0,535.5,454.0
36,237.40782,334.74463,118.032455,879.8023,1039.1592,302.12952,267.91992,77.17065,364.0122,2204.3467,1118.4164,2395.6624,2432.1108,1940.554,1767.5276,634.153,1532.2175,3118.7424,855.0967,1071.4949,652.16437,2192.8464,3213.7473,1006.40216,6912.7974,1205.7407,617.92773,1667.6808,2024.992,-0.0,-0.0,-0.0,1.0,535.5,454.0
37,238.11691,335.74445,118.385,882.4301,1042.2631,303.03195,268.72015,77.401146,365.09946,2210.931,1121.7568,2402.8179,2439.3752,1946.3501,1772.807,636.0471,1536.7941,3128.0576,857.65076,1074.6953,654.1123,2199.3962,3223.3462,1009.40814,6933.445,1209.342,619.7734,1672.6619,2031.0403,-0.0,-0.0,-0.0,1.0,536.0,454.0
38,237.9312,335.48257,118.29266,881.7419,1041.4502,302.7956,268.51056,77.340775,364.8147,2209.2065,1120.882,2400.9438,2437.4727,1944.832,1771.4243,635.5511,1535.5955,3125.618,856.9818,1073.8572,653.6021,2197.6807,3220.8323,1008.62085,6928.037,1208.3988,619.29,1671.3573,2029.4562,-0.0,-0.0,-0.0,1.0,535.5,454.0
39,238.80351,336.71252,118.72635,884.97455,1045.2683,303.9057,269.495,77.62432,366.1522,2217.306,1124.9913,2409.746,2446.409,1951.9623,1777.9187,637.8811,1541.2252,3137.0771,860.1237,1077.7941,655.99835,2205.7378,3232.6404,1012.31866,6953.4365,1212.8291,621.5604,1677.4849,2036.8966,-0.0,-0.0,-0.0,1.0,535.5,454.0
