,IFA2,GridLink,NorthConnect
69,-0.05248957317664105,-0.1441329859844076,-152.2750440762072
70,-0.05859792616944759,-0.15752779290137164,-116.33633597338537
71,-0.06038833479404504,-0.1603301723451258,-88.68747620443852
72,-0.06873779261441793,-0.1757961465267961,-73.69030815648013
73,-0.07419071283888767,-0.1898045190878741,-64.0668867145669
74,-0.0813963386276857,-0.2036618408435793,-56.649104388625375
75,-0.08178205751873424,-0.19837644969096768,-50.51743731890808
76,-0.09464310426394995,-0.2204887863791427,-48.538897754870895
77,-0.09538350617987246,-0.21890968057279814,-48.70183482536366
78,-0.0850556318413993,-0.2015335214908882,-52.39294135915212
79,-0.065203905583334,-0.1634482049903665,-62.093666367248595
80,-0.05429362152484951,-0.14105161888364348,-74.25493387004116
81,-0.05939075039185071,-0.14745791510852246,-85.87319071135066
82,-0.06660283515484178,-0.15721604119159038,-69.73540042202977
83,-0.061897296901396004,-0.15412615575823696,-11.21606442682221
84,-0.04180280321186869,-0.12846386885827843,-33.48521333352034
85,-0.03762023058413688,-0.10921605234049547,-39.9069925399777
86,-0.038370160608073745,-0.11884484841815057,-58.82434370652795
87,-0.027949796356647294,-0.09505108536041695,-116.26742675449839
88,-0.0,-0.0567083837195308,-764706849.5855043
89,-0.052597615887852944,-0.14454562754845646,-764706923.6085478
90,-0.05138299680933511,-0.14049063399646444,-999999967.1443408
91,-0.05989884901362097,-0.15794694421713307,-999999970.9424572
92,-0.07948689082971372,-0.20801133421460016,-999999955.907295
93,-0.21614373796686337,-0.5381771590742495,-999999854.4342146
94,-219991.81862841544,-523126.6673867724,-841088199.6665738
95,-0.12661825145814998,-0.3357708913871147,-551.1322266898499
96,-0.027549696758113695,-0.10185585615079162,-168.16687409211977
97,-0.030001454894439172,-0.10502139316226433,-136.65395717958634
98,-0.029495272384375992,-0.10278317890303934,-125.21911517058874
99,-0.03216306164761207,-0.1081604195111252,-108.73594499620333
100,-0.03811873788324727,-0.11702354405772897,-98.41933674913427
101,-0.04507623156262541,-0.12992385860556133,-91.277387968215
102,-0.048628272938281425,-0.13650833675579288,-88.03017980414027
103,-0.05099056307782379,-0.14061092609017223,-88.19362624805227
104,-0.04744988458081534,-0.1340970626581146,-91.66681439487115
105,-0.041238132942256644,-0.12568021383038053,-97.88567602314787
106,-0.03281228850117057,-0.11071064811217668,-105.32772163425086
107,-0.019409903483077695,-0.09684657128875562,-108.18365741690185
108,-0.012796813766729365,-0.08801073945398041,-107.28439966313148
109,-0.005447590199945118,-0.08182841707004784,-107.61875114150403
110,-0.012457441876571496,-0.09488622357623422,-110.1437657782987
111,-0.01876539744738004,-0.10397335367147309,-119.57832794856364
112,-0.002255220813433212,-0.09648796576786589,-158.95368926085354
113,-0.04048364077371547,-0.12230344343096844,-200.2286818649827
114,-0.032301883089047356,-0.11689253298706426,-205.70418714135673
115,-0.03220585569611423,-0.11375761173415544,-203.64997466627548
116,-0.03730148342429329,-0.1167596480729931,-193.45225547089805
117,-0.03931912342583388,-0.12058679420137985,-163.75870266620456
118,-0.04153785871437221,-0.12168035260892096,-134.5278156378803
119,-0.04145270632191611,-0.12518176410766868,-106.51699324640994
120,-0.049270857300379944,-0.14620933744843323,-81.8657035529743
121,-0.05147052859996459,-0.15598108499708152,-72.5291362974663
122,-0.050336654732099584,-0.1560697689349133,-67.72250955143339
123,-0.04823015585509216,-0.15362648321544237,-64.61611852196484
124,-0.05030802661613487,-0.15650726360344658,-62.07014163496243
125,-0.06661728452134419,-0.17852821958437248,-57.0358953179506
126,-0.06737654542888527,-0.18171315251739895,-58.31482618258378
127,-0.05422500539648123,-0.16634801129424726,-70.14953800952763
128,-0.0495197155432312,-0.15696542192080187,-82.57002323168265
129,-0.042453023776865884,-0.14583701117085734,-89.95489895946277
130,-0.03427738188091589,-0.13486446954432685,-93.8223992296524
131,-0.05403242173830747,-0.16087299910025088,-90.32980045657197
132,-0.0760069292995369,-0.18728549252970605,-89.5749395629284
133,-0.09170635702340135,-0.21002672404747802,-90.74532802140178
134,-0.08928216813851608,-0.21605835382596839,-92.61033721485036
135,-0.06273736923785878,-0.19148508979442003,-97.38151682229466
136,-0.0,-0.11382935757689916,-109.42873654955179
137,-0.061376143439275666,-0.163153256372359,-128.11314794692402
138,-0.060496384260483316,-0.16445248414031077,-134.52226368419983
139,-0.061156428887782166,-0.16124324073722351,-133.820792840615
140,-0.06307689945697259,-0.1620333247823873,-131.34092970942615
141,-0.06459819364608244,-0.16153938132015666,-126.35874727876131
142,-0.05952281068961329,-0.15060511615685357,-117.44004240416504
143,-0.041170429253982954,-0.11621832791634867,-102.34841196270067
144,-0.054820823588521694,-0.13717547397038432,-91.26932492314462
145,-0.06292997562238911,-0.14592615642470808,-87.70152717387009
146,-0.054550833692765144,-0.13764255514917867,-85.98290351897452
147,-0.05092335264997905,-0.13944804037201175,-82.90586597587372
148,-0.04782160455143858,-0.13753077644374123,-78.88281268591157
149,-0.0423406090023708,-0.1342822819456213,-76.27922090019409
150,-0.03492063568399284,-0.12507455388961186,-78.15506754565581
151,-0.03495826257097745,-0.12790558064918445,-83.9692090638248
152,-0.03547301532189051,-0.12887189266207555,-93.17631284075388
153,-0.039290159857796825,-0.1333514756313372,-96.28273699900267
154,-0.04997464571649646,-0.1503960117788501,-95.45535616845241
155,-0.06035856398620876,-0.16238932699381303,-92.11485818119
156,-0.07582018257934431,-0.17789480443443706,-90.44786405579833
157,-0.07995057098867386,-0.18616307124785814,-91.77241897859973
158,-0.06716377107039384,-0.16868526082509172,-94.57613740751482
159,-0.05712505338376106,-0.15853912534656867,-98.13760985889036
160,-0.05437933668538664,-0.15677579831255106,-107.09411166270418
161,-0.050154859542338226,-0.1542883639582615,-112.88201741339363
162,-0.05100202992174485,-0.15852515865393357,-111.72540633163158
163,-0.05391855466569373,-0.1598582339560204,-107.80477945668444
164,-0.055377213563030825,-0.15862049719061666,-98.30663034269865
165,-0.06062168086103337,-0.1678943320921984,-84.59311280049785
166,-0.06298472360588758,-0.1744109128471556,-69.41532689183552
167,-0.06052335115546059,-0.17238265629506144,-45.46791277999457
168,-0.07969034124190588,-0.19565462337078432,-29.44700720771039
169,-0.09173397703196762,-0.2107431021812649,-24.71035091567528
170,-0.09368112322373556,-0.21005135245376216,-24.067797532246008
171,-0.0886283608357552,-0.19968540966131232,-25.61863591370727
172,-0.08313104664010673,-0.19059442158822382,-29.876093594293955
173,-0.07010704089530817,-0.16870421184659112,-38.38841244986321
174,-0.05938540747974308,-0.14578251584038782,-64.84400239196692
175,-0.052263929105789364,-0.12581199246345864,-115.21558774008413
176,-219991.8414589962,-523126.70097099815,-841088197.3631904
177,-219991.83307850765,-523126.6875444531,-841088201.547181
178,-219991.8229252118,-523126.67265999224,-841088203.6937786
179,-219991.81861357228,-523126.6694291493,-841088201.4519055
180,-219991.81486634866,-523126.6613948285,-841088200.4812397
181,-219991.8149141383,-523126.65857574577,-841088199.3852564
182,-219991.81636592324,-523126.6724907971,-841088197.6688403
183,-219991.81110244596,-523126.6663865837,-841088204.1720046
184,-0.0328906747559794,-0.10001335625369956,-999999982.1166856
185,-0.021843834541483087,-0.052329508409735936,-999999992.5994577
186,-0.017066812858376634,-0.03206837322598877,-999999995.538294
187,-0.009304406825906941,-0.0197234727724378,-999999996.5251938
188,-0.0029989100179532713,-0.014679838327479544,-999999996.7159235
189,-0.0,-0.01398581389416953,-999999996.4330772
190,-0.0,-0.012827350062515563,-999999995.6806782
191,-0.0,-0.018744933117476714,-999999992.3352253
192,-0.016918399721311816,-0.0436440908072917,-999999953.5636269
193,-0.04735601554765867,-0.09800202244708123,-613205859.5707849
194,-0.060258957739958596,-0.13006904600276203,-476100164.2401307
195,-0.08169707405860627,-0.17587121531791716,-476099996.20128566
196,-0.09404765278501537,-0.1975733202193184,-364077065.7154466
197,-0.08302322097587589,-0.16711760217636473,-364077061.30866796
198,-0.09559591400146217,-0.19867583460254412,-364077047.50701296
199,-0.08847563315621376,-0.197177598033198,-6.907974365448155
200,-0.09385429944266965,-0.20351789492026406,-2.327586174324305
201,-0.103877625335699,-0.2186893745419629,-1.6924531250647399
202,-0.12424625451403704,-0.2550694251853418,-2.420215934497258
203,-0.1255003879139569,-0.2705163500624974,-1.5959023033167496
204,-0.12350244627908746,-0.2826001612571656,-1.2011299958257655
205,-0.128206289846019,-0.29137486979314997,-1.5788513495702547
206,-0.1062419405042121,-0.23376433942246821,-1.637711107465991
