name,p_nom,carrier,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,build_year,p_nom_opt
Bramley Compressed Air,114.46258039433928,Compressed Air,5.0,0.69,0.69,572.3129019716964,Bramley,0,114.46258039433928
London Compressed Air,335.4639448413979,Compressed Air,5.0,0.69,0.69,1677.3197242069896,London,0,335.4639448413979
Kemsley Compressed Air,274.5223371732151,Compressed Air,5.0,0.69,0.69,1372.6116858660753,Kemsley,0,274.5223371732151
Sellindge Compressed Air,155.92460646387866,Compressed Air,5.0,0.69,0.69,779.6230323193934,Sellindge,0,155.92460646387866
Lovedean Compressed Air,208.07914417543972,Compressed Air,5.0,0.69,0.69,1040.3957208771988,Lovedean,0,208.07914417543972
S.W.Penisula Compressed Air,483.45081513596347,Compressed Air,5.0,0.69,0.69,2417.254075679817,S.W.Penisula,0,483.45081513596347
Beauly Liquid Air,13.992488675819924,Liquid Air,4.000000000000001,0.69,0.69,55.96995470327971,Beauly,0,13.992488675819924
Peterhead Liquid Air,50.50504286826413,Liquid Air,4.000000000000001,0.69,0.69,202.0201714730565,Peterhead,0,50.50504286826413
Errochty Liquid Air,5.929730512406191,Liquid Air,4.000000000000001,0.69,0.69,23.71892204962477,Errochty,0,5.929730512406191
Denny/Bonnybridge Liquid Air,108.87314242451868,Liquid Air,4.000000000000001,0.69,0.69,435.4925696980749,Denny/Bonnybridge,0,108.87314242451868
Neilston Liquid Air,113.8669746710223,Liquid Air,4.000000000000001,0.69,0.69,455.4678986840893,Neilston,0,113.8669746710223
Strathaven Liquid Air,10.067760976663436,Liquid Air,4.000000000000001,0.69,0.69,40.27104390665375,Strathaven,0,10.067760976663436
Torness Liquid Air,13.431381503252252,Liquid Air,4.000000000000001,0.69,0.69,53.725526013009016,Torness,0,13.431381503252252
Eccles Liquid Air,8.050668128144865,Liquid Air,4.000000000000001,0.69,0.69,32.20267251257947,Eccles,0,8.050668128144865
Harker Liquid Air,35.462664165435115,Liquid Air,4.000000000000001,0.69,0.69,141.8506566617405,Harker,0,35.462664165435115
Stella West Liquid Air,159.66920971318345,Liquid Air,4.000000000000001,0.69,0.69,638.6768388527339,Stella West,0,159.66920971318345
Penwortham Liquid Air,131.93618006080732,Liquid Air,4.000000000000001,0.69,0.69,527.7447202432294,Penwortham,0,131.93618006080732
Deeside Liquid Air,192.90406898684256,Liquid Air,4.000000000000001,0.69,0.69,771.6162759473705,Deeside,0,192.90406898684256
Daines Liquid Air,207.1551980600215,Liquid Air,4.000000000000001,0.69,0.69,828.6207922400862,Daines,0,207.1551980600215
Th. Marsh/Stocksbridge Liquid Air,210.59826738980573,Liquid Air,4.000000000000001,0.69,0.69,842.3930695592231,Th. Marsh/Stocksbridge,0,210.59826738980573
Thornton/Drax/Eggborough Liquid Air,141.55207596929682,Liquid Air,4.000000000000001,0.69,0.69,566.2083038771874,Thornton/Drax/Eggborough,0,141.55207596929682
Keadby Liquid Air,67.79854295945907,Liquid Air,4.000000000000001,0.69,0.69,271.19417183783634,Keadby,0,67.79854295945907
Ratcliffe Liquid Air,124.77995864907182,Liquid Air,4.000000000000001,0.69,0.69,499.1198345962874,Ratcliffe,0,124.77995864907182
Feckenham Liquid Air,252.37948623763336,Liquid Air,4.000000000000001,0.69,0.69,1009.5179449505335,Feckenham,0,252.37948623763336
Walpole Liquid Air,71.44692699532715,Liquid Air,4.000000000000001,0.69,0.69,285.78770798130864,Walpole,0,71.44692699532715
Bramford Liquid Air,159.7033208841206,Liquid Air,4.000000000000001,0.69,0.69,638.8132835364826,Bramford,0,159.7033208841206
Pelham Liquid Air,167.55515111078998,Liquid Air,4.000000000000001,0.69,0.69,670.2206044431601,Pelham,0,167.55515111078998
Sundon/East Claydon Liquid Air,328.40443462360986,Liquid Air,4.000000000000001,0.69,0.69,1313.6177384944397,Sundon/East Claydon,0,328.40443462360986
Melksham Liquid Air,306.45152129718764,Liquid Air,4.000000000000001,0.69,0.69,1225.8060851887508,Melksham,0,306.45152129718764
Bramley Liquid Air,74.45518684240601,Liquid Air,4.000000000000001,0.69,0.69,297.8207473696241,Bramley,0,74.45518684240601
London Liquid Air,218.21131941991496,Liquid Air,4.000000000000001,0.69,0.69,872.8452776796601,London,0,218.21131941991496
Kemsley Liquid Air,178.57025270816405,Liquid Air,4.000000000000001,0.69,0.69,714.2810108326563,Kemsley,0,178.57025270816405
Sellindge Liquid Air,101.42524891192171,Liquid Air,4.000000000000001,0.69,0.69,405.70099564768697,Sellindge,0,101.42524891192171
Lovedean Liquid Air,135.35053555682802,Liquid Air,4.000000000000001,0.69,0.69,541.4021422273122,Lovedean,0,135.35053555682802
S.W.Penisula Liquid Air,314.473259698082,Liquid Air,4.000000000000001,0.69,0.69,1257.8930387923283,S.W.Penisula,0,314.473259698082
Dinorwig,2932.8950495049503,Pumped Storage Hydroelectric,17.401322871313617,0.865,0.865,51036.253704112976,Deeside,0,2932.8950495049503
Ffestiniog,611.0198019801979,Pumped Storage Hydroelectric,12.851071904014177,0.85,0.85,7852.259410024028,Deeside,0,611.0198019801979
Cruachan,746.8019801980197,Pumped Storage Hydroelectric,53.32087843743192,0.865,0.865,39820.13760297205,Errochty,0,746.8019801980197
Foyers,509.18316831683165,Pumped Storage Hydroelectric,69.3938056015165,0.865,0.865,35334.157797742475,Beauly,0,509.18316831683165
